Left	Right	Norm	RAS	StdErr
<12880A>	CEU2	2548137	5.380927401542983e-6	2.4127883250240425e-7
<12880A>	FIN2	2548137	4.3613832623032614e-6	2.32596991380619e-7
<12880A>	GBR2	2548137	5.249484032601873e-6	2.234345623479191e-7
<12880A>	IBS2	2548137	4.574770845187221e-6	2.183919554550857e-7
<12880A>	TSI2	2548137	4.296322783123129e-6	2.0031228105813625e-7
<12880A>	CHB2	2548137	4.2352821720028393e-7	8.164817593806774e-8
<12880A>	YRI2	2548137	5.41945892607964e-7	8.604589117136358e-8
<12881A>	CEU2	9998598	5.240940965490367e-6	1.48582601173322e-7
<12881A>	FIN2	9998598	4.357311926059865e-6	1.4676998315998494e-7
<12881A>	GBR2	9998598	5.236689240011229e-6	1.557683389405267e-7
<12881A>	IBS2	9998598	4.2991741727904505e-6	1.1601568451599172e-7
<12881A>	TSI2	9998598	4.236308216126186e-6	1.2613362200886215e-7
<12881A>	CHB2	9998598	5.253211747811799e-7	7.43395236887284e-8
<12881A>	YRI2	9998598	6.758090341408715e-7	9.647144567569585e-8
<12883A>	CEU2	10001088	5.3999279517563666e-6	1.4077606827774454e-7
<12883A>	FIN2	10001088	4.72268204848178e-6	1.560996479726687e-7
<12883A>	GBR2	10001088	5.1808969925645186e-6	1.4641717905727054e-7
<12883A>	IBS2	10001088	4.4833217384043835e-6	1.218189719088325e-7
<12883A>	TSI2	10001088	4.319053896459872e-6	1.4869485777597883e-7
<12883A>	CHB2	10001088	7.771431695954249e-7	1.2743043196766386e-7
<12883A>	YRI2	10001088	6.951624615622763e-7	6.90666698530911e-8
<12884A>	CEU2	15075367	4.818743709317801e-6	1.2124697259691648e-7
<12884A>	FIN2	15075367	4.1277140466106885e-6	1.2619527853631157e-7
<12884A>	GBR2	15075367	5.115495863423426e-6	1.7386016695387616e-7
<12884A>	IBS2	15075367	4.49424421656739e-6	1.0590882784135368e-7
<12884A>	TSI2	15075367	4.520777567297759e-6	1.2780233680188765e-7
<12884A>	CHB2	15075367	7.21785951798844e-7	8.176613683440246e-8
<12884A>	YRI2	15075367	9.845768360304014e-7	1.0692483314967896e-7
<12885A>	CEU2	1089962	4.81904627829926e-6	3.33695239776362e-7
<12885A>	FIN2	1089962	4.095479957808794e-6	3.2830050556250873e-7
<12885A>	GBR2	1089962	4.757407376061706e-6	3.8751263143427323e-7
