Left	Right	Norm	RAS	StdErr
<12880A>	CEU2	2548137	1.0660792490283854e-2	9.92018581417003e-5
<12880A>	FIN2	2548137	1.0606467375483685e-2	9.999685162609356e-5
<12880A>	GBR2	2548137	1.0670485751182844e-2	9.962453038261685e-5
<12880A>	IBS2	2548137	1.0571609581356702e-2	9.726606853990326e-5
<12880A>	TSI2	2548137	1.0560277305864377e-2	9.684231349403874e-5
<12880A>	CHB2	2548137	9.55473635354879e-3	9.248310941865169e-5
<12880A>	YRI2	2548137	7.316120047892319e-3	7.460417247065018e-5
<12881A>	CEU2	9998598	1.0772536082754677e-2	8.997558703978154e-5
<12881A>	FIN2	9998598	1.0720402484964473e-2	9.05424863713545e-5
<12881A>	GBR2	9998598	1.0783330924119157e-2	9.101537151426692e-5
<12881A>	IBS2	9998598	1.0653635544465235e-2	8.852656044545448e-5
<12881A>	TSI2	9998598	1.0656173995594183e-2	8.823245866118002e-5
<12881A>	CHB2	9998598	9.631202274756947e-3	8.490896230203528e-5
<12881A>	YRI2	9998598	7.387193303548773e-3	6.955072564513932e-5
<12883A>	CEU2	10001088	1.0781603765634014e-2	9.151482903912034e-5
<12883A>	FIN2	10001088	1.0732222540373176e-2	9.245570876514585e-5
<12883A>	GBR2	10001088	1.0784099161921301e-2	9.244131605380482e-5
<12883A>	IBS2	10001088	1.0657371906508008e-2	8.909779672666306e-5
<12883A>	TSI2	10001088	1.0652272461327631e-2	8.935542076323274e-5
<12883A>	CHB2	10001088	9.658679333708299e-3	8.804459837442419e-5
<12883A>	YRI2	10001088	7.38074840314517e-3	7.56777053181064e-5
<12884A>	CEU2	15075367	1.0861076648737339e-2	9.362362496306942e-5
<12884A>	FIN2	15075367	1.0813501940568236e-2	9.534298612056763e-5
<12884A>	GBR2	15075367	1.0875801713297654e-2	9.312023195358837e-5
<12884A>	IBS2	15075367	1.0770550079350983e-2	9.002569806964615e-5
<12884A>	TSI2	15075367	1.076705746912449e-2	8.98163273808919e-5
<12884A>	CHB2	15075367	9.760154816899924e-3	8.677792774543579e-5
<12884A>	YRI2	15075367	7.478769521040201e-3	7.551582231922618e-5
<12885A>	CEU2	1089962	1.061889852700246e-2	1.1173427340505383e-4
<12885A>	FIN2	1089962	1.0561027408938136e-2	1.1258123953001979e-4
<12885A>	GBR2	1089962	1.0626584260467663e-2	1.1193800040202146e-4
<12885A>	IBS2	1089962	1.052009589499888e-2	1.0993512334324233e-4
<12885A>	TSI2	1089962	1.0517024577790007e-2	1.1008558963069982e-4
<12885A>	CHB2	1089962	9.53336896239511e-3	1.1426569006663632e-4
<12885A>	YRI2	1089962	7.2172939886676725e-3	8.199713134934772e-5
<15558A>	CEU2	8089938	1.0760596911332332e-2	9.438773898563853e-5
<15558A>	FIN2	8089938	1.0720998911839056e-2	9.681877764454092e-5
<15558A>	GBR2	8089938	1.0765566317683004e-2	9.536131007848564e-5
<15558A>	IBS2	8089938	1.0635366103047068e-2	9.241994949660277e-5
<15558A>	TSI2	8089938	1.063732562127235e-2	9.282580554724342e-5
<15558A>	CHB2	8089938	9.637974217031848e-3	9.179232255601403e-5
<15558A>	YRI2	8089938	7.356697147681952e-3	7.576212249536246e-5
<15569A>	CEU2	5763361	1.0647688775144246e-2	9.396891851558035e-5
<15569A>	FIN2	5763361	1.0604801429074485e-2	9.443981102967332e-5
<15569A>	GBR2	5763361	1.0655048895675099e-2	9.321735098907886e-5
<15569A>	IBS2	5763361	1.053007503946461e-2	9.147440946935389e-5
<15569A>	TSI2	5763361	1.0531816748033293e-2	9.19241974770626e-5
<15569A>	CHB2	5763361	9.524110347870601e-3	8.78136448647075e-5
<15569A>	YRI2	5763361	7.2934872550929905e-3	7.306371057918576e-5
<15570A>	CEU2	14423568	1.0851314328264193e-2	8.964277429258553e-5
<15570A>	FIN2	14423568	1.0803217574109888e-2	8.98585946070768e-5
<15570A>	GBR2	14423568	1.085275147428185e-2	9.061095477889733e-5
<15570A>	IBS2	14423568	1.0753811962146819e-2	8.7913118403374e-5
<15570A>	TSI2	14423568	1.0741903542207871e-2	8.800453821504215e-5
<15570A>	CHB2	14423568	9.726931259688694e-3	8.74624158841075e-5
<15570A>	YRI2	14423568	7.451568485821594e-3	7.363754256975944e-5
<15577A>	CEU2	13739052	1.0780648603162525e-2	9.40288928070841e-5
<15577A>	FIN2	13739052	1.0734032667588028e-2	9.559077054188649e-5
<15577A>	GBR2	13739052	1.0791936147422134e-2	9.482751361040427e-5
<15577A>	IBS2	13739052	1.0690051353511979e-2	9.15735202484616e-5
<15577A>	TSI2	13739052	1.069017924755133e-2	9.096671930864899e-5
<15577A>	CHB2	13739052	9.654086038760898e-3	9.047508426707233e-5
<15577A>	YRI2	13739052	7.397848396637833e-3	7.537772548429873e-5
<15579A>	CEU2	2331238	1.0090601124168853e-2	9.683362688242835e-5
<15579A>	FIN2	2331238	1.0053124907934636e-2	9.715748301610856e-5
<15579A>	GBR2	2331238	1.0112242912915898e-2	9.723216228713425e-5
<15579A>	IBS2	2331238	1.0020866084682821e-2	9.544453690114579e-5
<15579A>	TSI2	2331238	1.0018294387543678e-2	9.56792286954535e-5
<15579A>	CHB2	2331238	9.046856750629394e-3	9.267657083586377e-5
<15579A>	YRI2	2331238	6.933381278428847e-3	7.713249769772146e-5
<3DT16>	CEU2	645155	1.0246694492900176e-2	1.2679368488326055e-4
<3DT16>	FIN2	645155	1.0197373651197222e-2	1.2739066451570493e-4
<3DT16>	GBR2	645155	1.0256493540137862e-2	1.2644637178345214e-4
<3DT16>	IBS2	645155	1.0173132997570531e-2	1.2449211274773967e-4
<3DT16>	TSI2	645155	1.016582578346805e-2	1.2600663506226955e-4
<3DT16>	CHB2	645155	9.18883488816986e-3	1.242101163815652e-4
<3DT16>	YRI2	645155	7.017892710168213e-3	9.739577364631303e-5
<3DT26>	CEU2	2169425	1.0034201898479206e-2	1.0063138627563633e-4
<3DT26>	FIN2	2169425	9.920403869665207e-3	1.0083462456312205e-4
<3DT26>	GBR2	2169425	1.0024183128315598e-2	1.0160326599028562e-4
<3DT26>	IBS2	2169425	1.0035724849189246e-2	1.0016041230908678e-4
<3DT26>	TSI2	2169425	1.0081960493152398e-2	1.0001407931148625e-4
<3DT26>	CHB2	2169425	9.097893690633225e-3	1.0010966210529587e-4
<3DT26>	YRI2	2169425	7.273693874336902e-3	7.823664780685215e-5
<6DT18>	CEU2	1809523	1.0583056145268464e-2	1.0037250242139657e-4
<6DT18>	FIN2	1809523	1.0527525192590627e-2	1.024204240801062e-4
<6DT18>	GBR2	1809523	1.059989445228868e-2	1.006379484148002e-4
<6DT18>	IBS2	1809523	1.0495852063933818e-2	9.78345550655984e-5
<6DT18>	TSI2	1809523	1.0487515218098915e-2	9.845236475018943e-5
<6DT18>	CHB2	1809523	9.450526765647331e-3	9.737585005787616e-5
<6DT18>	YRI2	1809523	7.261840090823206e-3	7.601085502255025e-5
<6DT21>	CEU2	2179206	1.0526384285751058e-2	1.0143875264127385e-4
<6DT21>	FIN2	2179206	1.0481773315129025e-2	1.0203005219822648e-4
<6DT21>	GBR2	2179206	1.0526256821278897e-2	1.015447683709712e-4
<6DT21>	IBS2	2179206	1.0438209845149808e-2	1.0019159259417991e-4
<6DT21>	TSI2	2179206	1.0434003420118548e-2	1.0020068549072963e-4
<6DT21>	CHB2	2179206	9.428906538881726e-3	9.691481042941286e-5
