Left	Right	Norm	RAS	StdErr
<12880A>	CEU2	3246123	9.929418386814623e-3	8.976467879019975e-5
<12880A>	FIN2	3246123	9.875941428761852e-3	9.030779223139598e-5
<12880A>	GBR2	3246123	9.93592885759758e-3	9.116006225309569e-5
<12880A>	IBS2	3246123	9.840113590156331e-3	8.855348228459131e-5
<12880A>	TSI2	3246123	9.830285015606089e-3	8.808219895549875e-5
<12880A>	CHB2	3246123	8.833756575471596e-3	8.421259847211888e-5
<12880A>	YRI2	3246123	6.694190782871344e-3	6.632622424816434e-5
<12881A>	CEU2	13377430	1.0099747481276573e-2	8.343463573517207e-5
<12881A>	FIN2	13377430	1.0049179541682421e-2	8.421680700798494e-5
<12881A>	GBR2	13377430	1.0108180114574492e-2	8.391874048154692e-5
<12881A>	IBS2	13377430	9.982464067142507e-3	8.179054585196848e-5
<12881A>	TSI2	13377430	9.983240428094179e-3	8.215629730023957e-5
<12881A>	CHB2	13377430	8.966559701861668e-3	7.889140772119417e-5
<12881A>	YRI2	13377430	6.784039200639398e-3	6.248864671462143e-5
<12883A>	CEU2	13297297	1.0118632287666173e-2	8.98589671413265e-5
<12883A>	FIN2	13297297	1.007078906306118e-2	9.087132949975629e-5
<12883A>	GBR2	13297297	1.0119448682445877e-2	8.941644999514382e-5
<12883A>	IBS2	13297297	9.997749023372056e-3	8.642603217285932e-5
<12883A>	TSI2	13297297	9.989711227992963e-3	8.650131348272913e-5
<12883A>	CHB2	13297297	9.011335979867875e-3	8.564439471881442e-5
<12883A>	YRI2	13297297	6.794049590536724e-3	7.084357500713529e-5
<12884A>	CEU2	21593140	1.0292419712640893e-2	9.517963077490047e-5
<12884A>	FIN2	21593140	1.0247326162550162e-2	9.596869525286174e-5
<12884A>	GBR2	21593140	1.0305738173837207e-2	9.366955177119663e-5
<12884A>	IBS2	21593140	1.0201739555997439e-2	8.981444129636668e-5
<12884A>	TSI2	21593140	1.0198046804723741e-2	8.964111998009863e-5
<12884A>	CHB2	21593140	9.188330228493819e-3	8.844642680480873e-5
<12884A>	YRI2	21593140	6.957160821401968e-3	7.515622602880037e-5
<12885A>	CEU2	1387634	9.90092919269882e-3	1.014444994591186e-4
<12885A>	FIN2	1387634	9.83837370349105e-3	1.0348234385700965e-4
<12885A>	GBR2	1387634	9.902297035777314e-3	1.0162576259758866e-4
<12885A>	IBS2	1387634	9.795951409446032e-3	1.0030710248085038e-4
<12885A>	TSI2	1387634	9.80022384110206e-3	1.0019938629553948e-4
<12885A>	CHB2	1387634	8.817430487170014e-3	1.025153165199171e-4
