Left	Right	Norm	RAS	StdErr
<12880A>	CEU2	2548137	0.0	0.0
<12880A>	FIN2	2548137	0.0	0.0
<12880A>	GBR2	2548137	0.0	0.0
<12880A>	IBS2	2548137	0.0	0.0
<12880A>	TSI2	2548137	0.0	0.0
<12880A>	CHB2	2548137	0.0	0.0
<12880A>	YRI2	2548137	0.0	0.0
<12881A>	CEU2	9998598	0.0	0.0
<12881A>	FIN2	9998598	0.0	0.0
<12881A>	GBR2	9998598	0.0	0.0
<12881A>	IBS2	9998598	0.0	0.0
<12881A>	TSI2	9998598	0.0	0.0
<12881A>	CHB2	9998598	0.0	0.0
<12881A>	YRI2	9998598	0.0	0.0
<12883A>	CEU2	10001088	0.0	0.0
<12883A>	FIN2	10001088	0.0	0.0
<12883A>	GBR2	10001088	0.0	0.0
<12883A>	IBS2	10001088	0.0	0.0
<12883A>	TSI2	10001088	0.0	0.0
<12883A>	CHB2	10001088	0.0	0.0
<12883A>	YRI2	10001088	0.0	0.0
<12884A>	CEU2	15075367	0.0	0.0
<12884A>	FIN2	15075367	0.0	0.0
<12884A>	GBR2	15075367	0.0	0.0
<12884A>	IBS2	15075367	0.0	0.0
<12884A>	TSI2	15075367	0.0	0.0
<12884A>	CHB2	15075367	0.0	0.0
<12884A>	YRI2	15075367	0.0	0.0
<12885A>	CEU2	1089962	0.0	0.0
<12885A>	FIN2	1089962	0.0	0.0
<12885A>	GBR2	1089962	0.0	0.0
<12885A>	IBS2	1089962	0.0	0.0
<12885A>	TSI2	1089962	0.0	0.0
<12885A>	CHB2	1089962	0.0	0.0
<12885A>	YRI2	1089962	0.0	0.0
<15558A>	CEU2	8089938	0.0	0.0
<15558A>	FIN2	8089938	0.0	0.0
<15558A>	GBR2	8089938	0.0	0.0
<15558A>	IBS2	8089938	0.0	0.0
<15558A>	TSI2	8089938	0.0	0.0
<15558A>	CHB2	8089938	0.0	0.0
<15558A>	YRI2	8089938	0.0	0.0
<15569A>	CEU2	5763361	0.0	0.0
<15569A>	FIN2	5763361	0.0	0.0
<15569A>	GBR2	5763361	0.0	0.0
<15569A>	IBS2	5763361	0.0	0.0
<15569A>	TSI2	5763361	0.0	0.0
<15569A>	CHB2	5763361	0.0	0.0
<15569A>	YRI2	5763361	0.0	0.0
<15570A>	CEU2	14423568	0.0	0.0
<15570A>	FIN2	14423568	0.0	0.0
<15570A>	GBR2	14423568	0.0	0.0
<15570A>	IBS2	14423568	0.0	0.0
<15570A>	TSI2	14423568	0.0	0.0
<15570A>	CHB2	14423568	0.0	0.0
<15570A>	YRI2	14423568	0.0	0.0
<15577A>	CEU2	13739052	0.0	0.0
<15577A>	FIN2	13739052	0.0	0.0
<15577A>	GBR2	13739052	0.0	0.0
<15577A>	IBS2	13739052	0.0	0.0
<15577A>	TSI2	13739052	0.0	0.0
<15577A>	CHB2	13739052	0.0	0.0
<15577A>	YRI2	13739052	0.0	0.0
<15579A>	CEU2	2331238	0.0	0.0
