Left	Right	Norm	RAS	StdErr
<I0156.SG>	Basque2	641450	4.7489628532578106e-3	6.406753653523273e-5
<I0156.SG>	BergamoItalian2	641450	4.774680411567542e-3	6.221338828730794e-5
<I0156.SG>	French2	641450	4.894312139276843e-3	6.392816329167116e-5
<I0156.SG>	Han2	641450	3.399953230961105e-3	4.980235271025249e-5
<I0156.SG>	Karitiana2	641450	3.4630134850728795e-3	7.474229900873694e-5
<I0156.SG>	Mbuti2	641450	5.392383575406413e-3	9.930547426406241e-5
<I0156.SG>	Orcadian2	641450	4.844492945669965e-3	7.054624972985108e-5
<I0156.SG>	Russian2	641450	4.689340202240663e-3	6.127121615531643e-5
<I0156.SG>	Sardinian2	641450	4.669856055291397e-3	6.20766522725382e-5
<I0157.SG>	Basque2	1063039	4.768587459579981e-3	5.3110284719473406e-5
<I0157.SG>	BergamoItalian2	1063039	4.77848766602166e-3	5.074105991699136e-5
<I0157.SG>	French2	1063039	4.8820246563819865e-3	5.041164236896231e-5
<I0157.SG>	Han2	1063039	3.56378035048573e-3	5.174553188743172e-5
<I0157.SG>	Karitiana2	1063039	3.5635569344116243e-3	8.285265976177063e-5
<I0157.SG>	Mbuti2	1063039	5.3972620007356285e-3	8.327521089083856e-5
<I0157.SG>	Orcadian2	1063039	4.8850512539991495e-3	5.5777765623943304e-5
<I0157.SG>	Russian2	1063039	4.773407355532749e-3	5.026194113123689e-5
<I0157.SG>	Sardinian2	1063039	4.697224968541445e-3	5.352374709076632e-5
<I0159.SG>	Basque2	1042128	4.806937770067059e-3	6.457634818506014e-5
<I0159.SG>	BergamoItalian2	1042128	4.798174984262969e-3	5.9293451124787974e-5
<I0159.SG>	French2	1042128	4.966030209758094e-3	6.432066556263962e-5
<I0159.SG>	Han2	1042128	3.600133572843259e-3	4.5848335087306256e-5
<I0159.SG>	Karitiana2	1042128	3.507726498088528e-3	6.89962429234711e-5
<I0159.SG>	Mbuti2	1042128	5.453957884465457e-3	8.656337749210288e-5
<I0159.SG>	Orcadian2	1042128	4.919372077724988e-3	6.070554339522228e-5
<I0159.SG>	Russian2	1042128	4.7733841454478424e-3	5.932889404507343e-5
<I0159.SG>	Sardinian2	1042128	4.743819057415851e-3	5.9278329878517105e-5
<I0160.SG>	Basque2	1129809	4.743156684989339e-3	5.3661228901841275e-5
<I0160.SG>	BergamoItalian2	1129809	4.820726335159306e-3	5.52754657979712e-5
<I0160.SG>	French2	1129809	4.933288647057579e-3	5.791251684829695e-5
<I0160.SG>	Han2	1129809	3.5000163744491326e-3	5.7523513426506705e-5
<I0160.SG>	Karitiana2	1129809	3.5160810367062052e-3	7.896643322100452e-5
<I0160.SG>	Mbuti2	1129809	5.338021244692198e-3	8.070119764375401e-5
<I0160.SG>	Orcadian2	1129809	4.904300706511525e-3	6.434975571130404e-5
<I0160.SG>	Russian2	1129809	4.7243303152045245e-3	5.676192181694601e-5
<I0160.SG>	Sardinian2	1129809	4.687278262667992e-3	5.267861971795274e-5
<I0161.SG>	Basque2	579520	4.6753251733235145e-3	6.45220654734079e-5
<I0161.SG>	BergamoItalian2	579520	4.6841027919657646e-3	5.94930742029443e-5
<I0161.SG>	French2	579520	4.841563032674717e-3	5.8551367600669416e-5
<I0161.SG>	Han2	579520	3.451563362782991e-3	5.683083109587313e-5
<I0161.SG>	Karitiana2	579520	3.4588970182219763e-3	8.097680273717135e-5
<I0161.SG>	Mbuti2	579520	5.4024595067182065e-3	9.679708036163082e-5
<I0161.SG>	Orcadian2	579520	4.793954147729687e-3	6.451415622748395e-5
<I0161.SG>	Russian2	579520	4.673185645800912e-3	6.239839593199155e-5
<I0161.SG>	Sardinian2	579520	4.619735585772134e-3	6.045274798643501e-5
<I0769.SG>	Basque2	923720	4.66122490220702e-3	5.396634144512362e-5
<I0769.SG>	BergamoItalian2	923720	4.709625211102931e-3	5.624762474578992e-5
<I0769.SG>	French2	923720	4.881090449016172e-3	5.945238802612325e-5
<I0769.SG>	Han2	923720	3.479869440956136e-3	5.6426117365712816e-5
<I0769.SG>	Karitiana2	923720	3.5420365478716492e-3	8.162223826854297e-5
<I0769.SG>	Mbuti2	923720	5.437855146100069e-3	8.98013601454303e-5
<I0769.SG>	Orcadian2	923720	4.8771855607260255e-3	5.885223519642244e-5
<I0769.SG>	Russian2	923720	4.722923711632412e-3	5.750448423279038e-5
<I0769.SG>	Sardinian2	923720	4.607344036432396e-3	5.486249029462005e-5
<I0773.SG>	Basque2	820790	4.7387273236759704e-3	6.0742643057126986e-5
<I0773.SG>	BergamoItalian2	820790	4.726429720147663e-3	5.7797979398186726e-5
<I0773.SG>	French2	820790	4.846470817881182e-3	5.8926243518847534e-5
<I0773.SG>	Han2	820790	3.5103223723485914e-3	5.5522462374033295e-5
<I0773.SG>	Karitiana2	820790	3.4630051535715586e-3	8.177513069239652e-5
<I0773.SG>	Mbuti2	820790	5.295846413550089e-3	8.796751356296381e-5
<I0773.SG>	Orcadian2	820790	4.829071804181145e-3	5.7929191360378356e-5
<I0773.SG>	Russian2	820790	4.71314221664494e-3	5.712957651249985e-5
<I0773.SG>	Sardinian2	820790	4.592932824880094e-3	5.806616034457402e-5
<I0774.SG>	Basque2	1116803	4.834857475609697e-3	6.181750830790549e-5
<I0774.SG>	BergamoItalian2	1116803	4.858259469217042e-3	5.83833714063152e-5
<I0774.SG>	French2	1116803	4.950641522585294e-3	5.72948848231387e-5
<I0774.SG>	Han2	1116803	3.568892633705316e-3	5.00835641724787e-5
<I0774.SG>	Karitiana2	1116803	3.5280170271748943e-3	7.404624478006021e-5
<I0774.SG>	Mbuti2	1116803	5.46619830593817e-3	9.126897960234307e-5
<I0774.SG>	Orcadian2	1116803	4.93944286985674e-3	6.353156405174106e-5
<I0774.SG>	Russian2	1116803	4.78421236983848e-3	5.602421209569683e-5
<I0774.SG>	Sardinian2	1116803	4.780106697421117e-3	5.800534381980429e-5
