Left	Right	Norm	RAS	StdErr
<12880A>	Basque2	7574391	1.443303211722613e-4	3.2278537840158616e-6
<12880A>	BergamoItalian2	7574391	1.4665205427076596e-4	3.852987651297848e-6
<12880A>	French2	7574391	1.5608769480862953e-4	4.130278656071728e-6
<12880A>	Han2	7574391	8.5004172442336e-5	4.176064777155105e-6
<12880A>	Karitiana2	7574391	8.152470607868023e-5	4.8613175796001464e-6
<12880A>	Mbuti2	7574391	1.7732598748022973e-4	6.9406771823334285e-6
<12880A>	Orcadian2	7574391	1.5171059754049974e-4	3.5932151409615074e-6
<12880A>	Russian2	7574391	1.4479855470429475e-4	3.7568679195397694e-6
<12880A>	Sardinian2	7574391	1.384371262424825e-4	3.6555762641236614e-6
<12880A>	Tuscan2	7574391	1.447421097396918e-4	4.137021270031564e-6
<12881A>	Basque2	31745538	1.415384513475336e-4	3.068946675147024e-6
<12881A>	BergamoItalian2	31745538	1.426483936104659e-4	3.055793681471078e-6
<12881A>	French2	31745538	1.5406647311893312e-4	3.465494484605296e-6
<12881A>	Han2	31745538	8.765112936704729e-5	3.8256541521049095e-6
<12881A>	Karitiana2	31745538	8.6977577762267e-5	4.593777924325194e-6
<12881A>	Mbuti2	31745538	1.7391706856853106e-4	6.065149496256921e-6
<12881A>	Orcadian2	31745538	1.5081101864069594e-4	3.121024315742843e-6
<12881A>	Russian2	31745538	1.460869460033145e-4	3.3596896274200694e-6
<12881A>	Sardinian2	31745538	1.3659702833973564e-4	3.011491876862779e-6
<12881A>	Tuscan2	31745538	1.4050531027909072e-4	3.496524656624344e-6
<12883A>	Basque2	31279125	1.418693016204136e-4	3.054785804556704e-6
<12883A>	BergamoItalian2	31279125	1.4350785068316336e-4	3.0548597396312004e-6
<12883A>	French2	31279125	1.5624945243340898e-4	3.5383975256248474e-6
<12883A>	Han2	31279125	8.945417709404508e-5	3.547122611405241e-6
<12883A>	Karitiana2	31279125	9.152909488356847e-5	5.084920529547663e-6
<12883A>	Mbuti2	31279125	1.8180437650291742e-4	6.494812661901165e-6
<12883A>	Orcadian2	31279125	1.5195806738888567e-4	3.052198818357753e-6
<12883A>	Russian2	31279125	1.4671126510092602e-4	3.2023034715374896e-6
<12883A>	Sardinian2	31279125	1.3998461126537762e-4	3.137901955412792e-6
<12883A>	Tuscan2	31279125	1.452539566457396e-4	3.715170958237424e-6
<12884A>	Basque2	50146916	1.4621323586764244e-4	3.054482436266598e-6
<12884A>	BergamoItalian2	50146916	1.4574674941127e-4	3.117658590516313e-6
<12884A>	French2	50146916	1.5660139345512154e-4	3.443359647408116e-6
<12884A>	Han2	50146916	8.376001530408981e-5	3.427333875651065e-6
<12884A>	Karitiana2	50146916	8.777807991223228e-5	4.434326594130998e-6
<12884A>	Mbuti2	50146916	1.755577913940274e-4	6.311211917535358e-6
<12884A>	Orcadian2	50146916	1.5448990537508434e-4	3.3100555800763296e-6
<12884A>	Russian2	50146916	1.4618437656612628e-4	3.1628907643282572e-6
<12884A>	Sardinian2	50146916	1.4136194107361232e-4	2.9171224324477285e-6
<12884A>	Tuscan2	50146916	1.491932890416101e-4	3.634579014380207e-6
<12885A>	Basque2	3305708	1.4148687231730253e-4	3.7484384325848293e-6
<12885A>	BergamoItalian2	3305708	1.4110441696604779e-4	4.123730119247433e-6
<12885A>	French2	3305708	1.5384229106372736e-4	4.463811805878351e-6
<12885A>	Han2	3305708	8.580466311311298e-5	4.514587039297242e-6
<12885A>	Karitiana2	3305708	8.259955204754923e-5	6.118565821066579e-6
<12885A>	Mbuti2	3305708	1.8069296556688663e-4	8.216733438990304e-6
<12885A>	Orcadian2	3305708	1.444703897249616e-4	4.066991859870869e-6
<12885A>	Russian2	3305708	1.4153384546287544e-4	4.186685314672249e-6
<12885A>	Sardinian2	3305708	1.3818173339522465e-4	4.034600535959951e-6
<12885A>	Tuscan2	3305708	1.3741383086467412e-4	4.039864436415356e-6
<15558A>	Basque2	25977407	1.4033989869222368e-4	2.8725431198392587e-6
<15558A>	BergamoItalian2	25977407	1.4668130656766485e-4	3.1893146662349082e-6
<15558A>	French2	25977407	1.590753605475475e-4	3.6467935149471352e-6
<15558A>	Han2	25977407	8.51347728878903e-5	3.490497086212576e-6
<15558A>	Karitiana2	25977407	8.990504710497082e-5	5.040545334785327e-6
<15558A>	Mbuti2	25977407	1.889036605049639e-4	6.6573586588577316e-6
<15558A>	Orcadian2	25977407	1.5379488444294324e-4	3.0568450605803595e-6
<15558A>	Russian2	25977407	1.479889646113406e-4	3.2452556334116775e-6
<15558A>	Sardinian2	25977407	1.3674308483640305e-4	3.0722806081670567e-6
<15558A>	Tuscan2	25977407	1.4439791212931055e-4	3.655231392694191e-6
<15569A>	Basque2	18716980	1.4687580093430825e-4	3.4601152003370393e-6
<15569A>	BergamoItalian2	18716980	1.4859769043937642e-4	3.7586997866405873e-6
<15569A>	French2	18716980	1.61234714311653e-4	3.920297688869994e-6
<15569A>	Han2	18716980	9.042677445999607e-5	3.6088962827685246e-6
<15569A>	Karitiana2	18716980	8.44126563152816e-5	4.179617619208226e-6
<15569A>	Mbuti2	18716980	1.9086703867047717e-4	6.773537984971382e-6
<15569A>	Orcadian2	18716980	1.5389152605733487e-4	3.4354341110801403e-6
<15569A>	Russian2	18716980	1.501043437563112e-4	3.435883833380535e-6
<15569A>	Sardinian2	18716980	1.3959866306505574e-4	4.113319475574093e-6
<15569A>	Tuscan2	18716980	1.5015777117889743e-4	4.017183177911676e-6
<15570A>	Basque2	46296646	1.4539313032987928e-4	3.212308402742461e-6
<15570A>	BergamoItalian2	46296646	1.481997205585907e-4	3.3868130885959736e-6
<15570A>	French2	46296646	1.559832217651362e-4	3.6067223953403443e-6
<15570A>	Han2	46296646	8.737134003184596e-5	3.3785041948480444e-6
<15570A>	Karitiana2	46296646	8.012999473007181e-5	4.010194716698361e-6
<15570A>	Mbuti2	46296646	1.7693211807100754e-4	6.237383944527383e-6
<15570A>	Orcadian2	46296646	1.504893863402943e-4	3.11363900413692e-6
<15570A>	Russian2	46296646	1.447226633446292e-4	3.1290186761007563e-6
<15570A>	Sardinian2	46296646	1.422880944434193e-4	3.1453250788997763e-6
<15570A>	Tuscan2	46296646	1.4876707627301276e-4	3.77356869244151e-6
<15577A>	Basque2	44081970	1.480272622419852e-4	3.35066469428192e-6
<15577A>	BergamoItalian2	44081970	1.469988750502756e-4	3.6416114375876163e-6
<15577A>	French2	44081970	1.566216824632e-4	3.576244464705199e-6
<15577A>	Han2	44081970	8.338315071642882e-5	3.271350859288714e-6
<15577A>	Karitiana2	44081970	8.104220387609717e-5	3.924195048770453e-6
<15577A>	Mbuti2	44081970	1.8277829399927607e-4	6.1928732064423e-6
<15577A>	Orcadian2	44081970	1.548749365713985e-4	3.784759258313516e-6
<15577A>	Russian2	44081970	1.460017208455265e-4	3.03210384507447e-6
<15577A>	Sardinian2	44081970	1.4442499873618323e-4	4.44139928583373e-6
<15577A>	Tuscan2	44081970	1.4898381356368595e-4	3.7791560084053733e-6
<15579A>	Basque2	6623553	1.4487620739129546e-4	3.4122315668956197e-6
<15579A>	BergamoItalian2	6623553	1.45307208985872e-4	3.803865478714423e-6
<15579A>	French2	6623553	1.535516802398489e-4	3.902131089163332e-6
<15579A>	Han2	6623553	8.995269632671513e-5	4.048537099152873e-6
<15579A>	Karitiana2	6623553	8.958937899341938e-5	5.058749928619738e-6
<15579A>	Mbuti2	6623553	1.9379189825927427e-4	7.097698001574447e-6
<15579A>	Orcadian2	6623553	1.474690744935883e-4	4.369784707961664e-6
<15579A>	Russian2	6623553	1.4231164084475104e-4	3.5760848939820704e-6
<15579A>	Sardinian2	6623553	1.403993155474574e-4	4.511937466710901e-6
<15579A>	Tuscan2	6623553	1.451260373397783e-4	4.241234679174446e-6
<3DT16>	Basque2	2143168	1.405684970855785e-4	5.443272775249695e-6
<3DT16>	BergamoItalian2	2143168	1.4338586615701628e-4	5.266617078189174e-6
<3DT16>	French2	2143168	1.5823089212576167e-4	7.187483566274898e-6
<3DT16>	Han2	2143168	8.925586915288263e-5	7.660629194408744e-6
<3DT16>	Karitiana2	2143168	8.61108415205901e-5	7.997385669579544e-6
<3DT16>	Mbuti2	2143168	1.951868364114162e-4	1.3589144352444597e-5
<3DT16>	Orcadian2	2143168	1.4624288759587515e-4	5.051545784814011e-6
<3DT16>	Russian2	2143168	1.4534558186759047e-4	5.391052840053386e-6
<3DT16>	Sardinian2	2143168	1.3952206769102135e-4	6.577105660389134e-6
<3DT16>	Tuscan2	2143168	1.5102253610853965e-4	9.406749650766763e-6
<3DT26>	Basque2	6877701	1.4181787669759882e-4	3.830324471984524e-6
<3DT26>	BergamoItalian2	6877701	1.5295081888555486e-4	3.961386428186497e-6
<3DT26>	French2	6877701	1.5470845003853198e-4	5.2580952181661615e-6
<3DT26>	Han2	6877701	1.0817099230331236e-4	5.312501648279647e-6
<3DT26>	Karitiana2	6877701	8.320367518157597e-5	5.359951490547826e-6
<3DT26>	Mbuti2	6877701	2.8353819235394306e-4	1.090950059828551e-5
<3DT26>	Orcadian2	6877701	1.4280823020545785e-4	3.5532678874499155e-6
<3DT26>	Russian2	6877701	1.3607618364738832e-4	3.930957893428814e-6
<3DT26>	Sardinian2	6877701	1.597106806027637e-4	4.931188037142701e-6
<3DT26>	Tuscan2	6877701	1.6245738704449841e-4	6.253536875842924e-6
<6DT18>	Basque2	6049966	1.477694254810687e-4	4.561072477843879e-6
<6DT18>	BergamoItalian2	6049966	1.5089340997949413e-4	5.0876821734008745e-6
<6DT18>	French2	6049966	1.587485081607197e-4	5.5082422238056965e-6
<6DT18>	Han2	6049966	8.812366239584191e-5	5.441168262780991e-6
<6DT18>	Karitiana2	6049966	9.210795564801529e-5	6.095539149692784e-6
<6DT18>	Mbuti2	6049966	1.8499728308014852e-4	9.63193138705309e-6
<6DT18>	Orcadian2	6049966	1.498164808504072e-4	4.253893636902281e-6
<6DT18>	Russian2	6049966	1.483156017448838e-4	4.58833968033409e-6
<6DT18>	Sardinian2	6049966	1.4309679909453528e-4	5.992990714304131e-6
<6DT18>	Tuscan2	6049966	1.5327909831779773e-4	6.789637535165532e-6
<6DT21>	Basque2	7203892	1.4459776280192243e-4	4.217646503054884e-6
<6DT21>	BergamoItalian2	7203892	1.4839200809784483e-4	4.678129332214137e-6
<6DT21>	French2	7203892	1.568649920818443e-4	5.258060487211467e-6
<6DT21>	Han2	7203892	8.88811662613272e-5	5.133247724610672e-6
<6DT21>	Karitiana2	7203892	8.48846706752405e-5	5.557458695781054e-6
<6DT21>	Mbuti2	7203892	1.7404733188923174e-4	8.743761773957523e-6
<6DT21>	Orcadian2	7203892	1.5448380061564156e-4	5.5308235826454356e-6
<6DT21>	Russian2	7203892	1.4400126559606827e-4	4.21066715353585e-6
<6DT21>	Sardinian2	7203892	1.4504712815709153e-4	5.999662980734501e-6
<6DT21>	Tuscan2	7203892	1.4865806798140035e-4	5.657015903704831e-6
<6DT22>	Basque2	6601947	1.439510409364302e-4	3.863686777409559e-6
<6DT22>	BergamoItalian2	6601947	1.4415444413594955e-4	3.94206117784791e-6
<6DT22>	French2	6601947	1.5289778559613958e-4	4.852066055575683e-6
<6DT22>	Han2	6601947	8.698069455629836e-5	5.092458241394864e-6
<6DT22>	Karitiana2	6601947	8.178647904928657e-5	5.455061651428955e-6
<6DT22>	Mbuti2	6601947	1.7585721303124664e-4	8.690561536794965e-6
<6DT22>	Orcadian2	6601947	1.508820632179242e-4	3.91830452984668e-6
<6DT22>	Russian2	6601947	1.4480576714717637e-4	4.021884671597373e-6
<6DT22>	Sardinian2	6601947	1.4127825298529927e-4	4.605152917460026e-6
<6DT22>	Tuscan2	6601947	1.4596704073308492e-4	5.879217464386046e-6
<6DT23>	Basque2	1934046	1.4394940032696346e-4	6.272456406105976e-6
<6DT23>	BergamoItalian2	1934046	1.4624781416781212e-4	6.056278250837213e-6
<6DT23>	French2	1934046	1.6308974911820965e-4	8.771558080640766e-6
<6DT23>	Han2	1934046	9.136787719596892e-5	8.280560508058665e-6
<6DT23>	Karitiana2	1934046	9.909278269493071e-5	9.612093534634052e-6
<6DT23>	Mbuti2	1934046	1.8508067825405674e-4	1.4007259031304415e-5
