Left	Right	Norm	RAS	StdErr
<I0156.SG>	CEU2	122625	2.5221476086887985e-7	1.6142832310894137e-7
<I0156.SG>	FIN2	122625	5.885011086940527e-7	2.5164135575362796e-7
<I0156.SG>	GBR2	122625	4.530524408200242e-7	1.5271919117445526e-7
<I0156.SG>	IBS2	122625	3.8833066356002177e-7	1.2649659974163227e-7
<I0156.SG>	TSI2	122625	5.385340334275766e-7	2.441806045798026e-7
<I0156.SG>	CHB2	122625	1.6148403831208823e-7	1.200048252096708e-7
<I0156.SG>	YRI2	122625	1.61560210028273e-6	7.95232778413821e-7
<I0157.SG>	CEU2	203131	1.0150374241760664e-7	7.565747228006597e-8
<I0157.SG>	FIN2	203131	5.075187120880348e-7	3.39264154799701e-7
<I0157.SG>	GBR2	203131	3.2819543381692923e-7	2.0879543020647927e-7
<I0157.SG>	IBS2	203131	3.281954338169287e-7	1.4019381167568696e-7
<I0157.SG>	TSI2	203131	4.1798475061590043e-7	5.534265525551225e-7
<I0157.SG>	CHB2	203131	3.411932727799763e-7	4.33047169929331e-7
<I0157.SG>	YRI2	203131	7.430840010949341e-7	5.166115615463787e-7
<I0159.SG>	CEU2	199537	6.199919824703473e-7	1.923149266184754e-7
<I0159.SG>	FIN2	199537	3.0999599123517336e-7	1.9142969452385702e-7
<I0159.SG>	GBR2	199537	4.4547572073795234e-7	3.8806144363913844e-7
<I0159.SG>	IBS2	199537	1.9091816603055108e-7	9.492711706407786e-8
<I0159.SG>	TSI2	199537	5.673511537700341e-7	1.7598630077351025e-7
<I0159.SG>	CHB2	199537	9.923964075845493e-8	2.7548322123413977e-8
<I0159.SG>	YRI2	199537	9.455852562833902e-8	2.624887296664914e-8
<I0160.SG>	CEU2	216539	3.3326536306904576e-7	1.8358248745513248e-7
<I0160.SG>	FIN2	216539	5.237027133942161e-7	5.446573240572633e-7
<I0160.SG>	GBR2	216539	3.591860024188609e-7	1.9810030471236143e-7
<I0160.SG>	IBS2	216539	3.078737163590243e-7	2.5711121840800955e-7
<I0160.SG>	TSI2	216539	2.6140221200294474e-7	3.232079913502649e-7
<I0160.SG>	CHB2	216539	3.6579055408992964e-7	4.78520140202135e-7
<I0160.SG>	YRI2	216539	4.356703533382412e-7	2.4221893118607106e-7
<I0161.SG>	CEU2	110358	9.341668343496101e-8	1.408910168909556e-7
<I0161.SG>	FIN2	110358	2.8025005030488406e-7	4.2267305067286827e-7
<I0161.SG>	GBR2	110358	3.020472764397083e-7	4.55547621280758e-7
<I0161.SG>	IBS2	110358	1.7259844367983374e-7	2.603129264461481e-7
<I0161.SG>	TSI2	110358	0.0	0.0
<I0161.SG>	CHB2	110358	0.0	0.0
<I0161.SG>	YRI2	110358	8.548507823765328e-8	1.2892857206059188e-7
<I0769.SG>	CEU2	176327	2.923340824296753e-7	1.9323938136076074e-7
<I0769.SG>	FIN2	176327	1.1108695132327658e-6	2.953091388123302e-7
<I0769.SG>	GBR2	176327	4.41099648821665e-7	1.875016088825372e-7
<I0769.SG>	IBS2	176327	4.3209761517224393e-7	2.1810260335260668e-7
<I0769.SG>	TSI2	176327	2.675132641101743e-7	1.2328920236616417e-7
<I0769.SG>	CHB2	176327	4.4921039201074867e-7	1.8053417883807891e-7
<I0769.SG>	YRI2	176327	4.280212225762789e-7	1.3712030797227537e-7
<I0773.SG>	CEU2	156043	2.642676275261423e-7	1.3349245786868682e-7
<I0773.SG>	FIN2	156043	2.64267627526143e-7	7.52734374507631e-8
<I0773.SG>	GBR2	156043	1.424108881668659e-7	1.2410269003387573e-7
<I0773.SG>	IBS2	156043	0.0	0.0
<I0773.SG>	TSI2	156043	1.8137235757100814e-7	7.235440987487685e-8
<I0773.SG>	CHB2	156043	4.4415277002537357e-7	2.032257916300634e-7
<I0773.SG>	YRI2	156043	1.8137235757100814e-7	7.144633009519866e-8
<I0774.SG>	CEU2	214020	4.8169696058851634e-8	4.201708067587133e-8
<I0774.SG>	FIN2	214020	6.74375744823925e-7	3.5793403953499164e-7
<I0774.SG>	GBR2	214020	3.114973678472416e-7	1.2108082106140813e-7
<I0774.SG>	IBS2	214020	4.449962397817738e-7	3.192436348919496e-7
<I0774.SG>	TSI2	214020	4.4079816204798334e-7	3.8449592693957847e-7
<I0774.SG>	CHB2	214020	2.775719119430869e-7	1.713064920416149e-7
<I0774.SG>	YRI2	214020	5.730376106623784e-7	3.2851614974983574e-7
<I0777.SG>	CEU2	212949	4.841195943871738e-8	4.2224739104005987e-8
<I0777.SG>	FIN2	212949	3.872956755097401e-7	1.966119275272089e-7
<I0777.SG>	GBR2	212949	2.0870933624691545e-7	2.2916264338471797e-7
<I0777.SG>	IBS2	212949	2.6834057517460594e-7	1.0481017124367993e-7
<I0777.SG>	TSI2	212949	2.2150755026205668e-7	1.7885131779223405e-7
<I0777.SG>	CHB2	212949	2.3247327057205973e-7	7.962141546556456e-8
<I0777.SG>	YRI2	212949	1.7720604020964533e-7	1.3293454445834475e-7
<I0789.SG>	CEU2	111246	2.78013007672603e-7	4.168024620911349e-7
<I0789.SG>	FIN2	111246	9.2671002557534e-8	1.3893415403037777e-7
<I0789.SG>	GBR2	111246	0.0	0.0
<I0789.SG>	IBS2	111246	8.561035474362665e-8	1.2834869467568237e-7
<I0789.SG>	TSI2	111246	2.5440812966266495e-7	3.81413573800378e-7
<I0789.SG>	CHB2	111246	2.670025915271536e-7	4.0029543388950615e-7
<I0789.SG>	YRI2	111246	2.5440812966266495e-7	3.81413573800378e-7
<3DT16.SG>	CEU2	107736	0.0	0.0
<3DT16.SG>	FIN2	107736	0.0	0.0
<3DT16.SG>	GBR2	107736	0.0	0.0
<3DT16.SG>	IBS2	107736	0.0	0.0
<3DT16.SG>	TSI2	107736	0.0	0.0
<3DT16.SG>	CHB2	107736	0.0	0.0
<3DT16.SG>	YRI2	107736	0.0	0.0
<3DT26.SG>	CEU2	147061	2.1030616581926135e-7	1.82576184468955e-7
<3DT26.SG>	FIN2	147061	1.0515308290963059e-6	2.9191212760852076e-7
<3DT26.SG>	GBR2	147061	5.288810614491783e-7	1.5644739980179828e-7
<3DT26.SG>	IBS2	147061	3.8856567779939654e-7	1.5067932154620556e-7
<3DT26.SG>	TSI2	147061	8.339499216921022e-7	2.7747121988592667e-7
<3DT26.SG>	CHB2	147061	4.039544175142251e-7	2.4848921950611536e-7
<3DT26.SG>	YRI2	147061	1.7961998313368355e-6	7.187197403027035e-7
<6DT18.SG>	CEU2	143471	7.185618243767331e-8	6.24390957409419e-8
<6DT18.SG>	FIN2	143471	4.311370946260414e-7	2.647060665084986e-7
<6DT18.SG>	GBR2	143471	2.3233498988181115e-7	9.077913349381599e-8
<6DT18.SG>	IBS2	143471	1.9914427704155252e-7	7.72635386252611e-8
<6DT18.SG>	TSI2	143471	0.0	0.0
<6DT18.SG>	CHB2	143471	6.901039303420141e-8	5.996626026605338e-8
<6DT18.SG>	YRI2	143471	2.630207432624277e-7	7.23959923820129e-8
<6DT21.SG>	CEU2	150392	1.3709875991429708e-7	1.192111539005625e-7
<6DT21.SG>	FIN2	150392	6.854937995714839e-7	4.354209357562805e-7
<6DT21.SG>	GBR2	150392	6.649289855843394e-7	4.3439316322904274e-7
<6DT21.SG>	IBS2	150392	4.4328599038956036e-7	2.8181980025842994e-7
<6DT21.SG>	TSI2	150392	4.3910404708399774e-7	2.7916112289750093e-7
<6DT21.SG>	CHB2	150392	5.266764242252199e-7	3.949659543238763e-7
<6DT21.SG>	YRI2	150392	4.3910404708399774e-7	3.8181308254000845e-7
<6DT22.SG>	CEU2	147448	2.0975418487566054e-7	1.8295075798148614e-7
<6DT22.SG>	FIN2	147448	1.398361232504406e-7	1.2196717198765766e-7
<6DT22.SG>	GBR2	147448	4.5213679850975703e-7	3.943605227600923e-7
<6DT22.SG>	IBS2	147448	1.9377291364703883e-7	1.6901165261146825e-7
<6DT22.SG>	TSI2	147448	4.4787135701438193e-7	3.9064014046990274e-7
<6DT22.SG>	CHB2	147448	1.342980589632943e-7	1.1713678893864141e-7
<6DT22.SG>	YRI2	147448	6.3981622430626e-8	5.5805734352843246e-8
<6DT23.SG>	CEU2	104874	3.932062608660089e-7	1.9581871663054047e-7
<6DT23.SG>	FIN2	104874	1.96603130433005e-7	1.7082048165603002e-7
<6DT23.SG>	GBR2	104874	6.356834550667149e-7	2.483764385337768e-7
<6DT23.SG>	IBS2	104874	9.081192215238753e-8	7.924831063412933e-8
<6DT23.SG>	TSI2	104874	4.4977602952833594e-7	2.557860441926645e-7
<6DT23.SG>	CHB2	104874	3.7763373568319737e-7	1.8680317247669145e-7
<6DT23.SG>	YRI2	104874	4.4977602952833594e-7	3.907921396376149e-7
<6DT3.SG>	CEU2	177878	2.897850872653012e-7	1.9350463333839766e-7
<6DT3.SG>	FIN2	177878	8.693552617959049e-7	7.578554991430511e-7
<6DT3.SG>	GBR2	177878	5.621830692946843e-7	2.762956239528215e-7
<6DT3.SG>	IBS2	177878	5.354124469473191e-7	2.973677549876644e-7
<6DT3.SG>	TSI2	177878	1.2728673267049472e-6	6.16047661075195e-7
<6DT3.SG>	CHB2	177878	3.8963183020423753e-7	2.145761803465836e-7
<6DT3.SG>	YRI2	177878	6.894698019651796e-7	3.6454210392291557e-7
<M1489.SG>	CEU2	84727	0.0	0.0
<M1489.SG>	FIN2	84727	0.0	0.0
<M1489.SG>	GBR2	84727	0.0	0.0
<M1489.SG>	IBS2	84727	0.0	0.0
<M1489.SG>	TSI2	84727	0.0	0.0
<M1489.SG>	CHB2	84727	0.0	0.0
<M1489.SG>	YRI2	84727	0.0	0.0
<NO3423.SG>	CEU2	142769	7.220950171616687e-8	6.287854138819047e-8
<NO3423.SG>	FIN2	142769	2.1662850514850137e-7	1.8863562416457208e-7
<NO3423.SG>	GBR2	142769	0.0	0.0
<NO3423.SG>	IBS2	142769	6.67078253949351e-8	5.808779537766167e-8
<NO3423.SG>	TSI2	142769	6.607850628743593e-8	5.7539797308061286e-8
<NO3423.SG>	CHB2	142769	1.386994389399647e-7	1.207766042505842e-7
<NO3423.SG>	YRI2	142769	3.964710377246156e-7	3.452387838483677e-7
<NA12889.SG>	CEU2	217361	1.422878761670511e-7	1.2375349770314115e-7
<NA12889.SG>	FIN2	217361	5.691515046682044e-7	4.950139908125646e-7
<NA12889.SG>	GBR2	217361	3.0670942196008785e-7	2.667575394934375e-7
<NA12889.SG>	IBS2	217361	1.7526252683433584e-7	1.5243287971053566e-7
<NA12889.SG>	TSI2	217361	1.3020683007739577e-7	1.1324612525664802e-7
<NA12889.SG>	CHB2	217361	1.8220361700599297e-7	1.5846982544164622e-7
<NA12889.SG>	YRI2	217361	1.7360910676986104e-7	1.5099483367553068e-7
<NA12890.SG>	CEU2	217114	2.848995002767799e-7	9.313545457233677e-8
<NA12890.SG>	FIN2	217114	1.377014251337769e-6	5.524365119085511e-7
<NA12890.SG>	GBR2	217114	6.652930923129986e-7	5.580382946227264e-7
<NA12890.SG>	IBS2	217114	5.263857433685268e-7	3.607948402961804e-7
<NA12890.SG>	TSI2	217114	6.95226453505601e-7	4.4237441441263176e-7
<NA12890.SG>	CHB2	217114	9.120545058365563e-7	5.965734557836275e-7
<NA12890.SG>	YRI2	217114	5.214198401292008e-7	2.515811150804645e-7
<HG00383.SG>	CEU2	216447	1.4288872126454234e-7	1.2458342058400334e-7
<HG00383.SG>	FIN2	216447	3.334070162839324e-7	1.0010015222100647e-7
<HG00383.SG>	GBR2	216447	0.0	0.0
<HG00383.SG>	IBS2	216447	4.400065384971605e-8	3.836378348142311e-8
<HG00383.SG>	TSI2	216447	8.71711066834e-8	7.600372199149887e-8
<HG00383.SG>	CHB2	216447	9.14865080043605e-8	2.521714052131079e-8
<HG00383.SG>	YRI2	216447	5.666121934421e-7	1.8958100875410092e-7
<HG00384.SG>	CEU2	217448	3.3187221061406965e-7	1.5710488995458175e-7
<HG00384.SG>	FIN2	217448	3.7928252641607994e-7	1.5743345766122938e-7
<HG00384.SG>	GBR2	217448	3.576844936618305e-7	1.9743554019401623e-7
<HG00384.SG>	IBS2	217448	2.189905063235696e-7	1.0441957241390085e-7
<HG00384.SG>	TSI2	217448	8.676982326028238e-8	2.389947470528663e-8
<HG00384.SG>	CHB2	217448	2.2766339766311737e-7	1.2930613849680555e-7
<HG00384.SG>	YRI2	217448	3.036943814109883e-7	5.304985061798017e-9
<HG01791.SG>	CEU2	210020	0.0	0.0
<HG01791.SG>	FIN2	210020	1.963485068186926e-7	1.7154386470497088e-7
<HG01791.SG>	GBR2	210020	5.290501433725871e-8	4.62215413232837e-8
<HG01791.SG>	IBS2	210020	4.534715514622174e-8	3.961846399138602e-8
<HG01791.SG>	TSI2	210020	4.4919351795785835e-8	3.9244704897127796e-8
<HG01791.SG>	CHB2	210020	9.428616416541196e-8	8.237502414050597e-8
<HG01791.SG>	YRI2	210020	1.3475805538735752e-7	1.177341146913834e-7
<HG02215.SG>	CEU2	216446	4.762979380776465e-8	4.1436286734263004e-8
<HG02215.SG>	FIN2	216446	9.525958761552981e-8	8.287257346852646e-8
<HG02215.SG>	GBR2	216446	0.0	0.0
<HG02215.SG>	IBS2	216446	8.800171427339425e-8	7.655847263282924e-8
<HG02215.SG>	TSI2	216446	4.3585754710879116e-8	3.791811144550496e-8
<HG02215.SG>	CHB2	216446	1.3723039602039181e-7	1.1938573702644146e-7
<HG02215.SG>	YRI2	216446	2.1792877355439557e-7	1.8959055722752475e-7
<HG02238.SG>	CEU2	216905	1.4258700837484742e-7	5.557680376851349e-8
<HG02238.SG>	FIN2	216905	6.654060390826244e-7	1.9891416593261008e-7
<HG02238.SG>	GBR2	216905	3.0735421805245046e-7	1.197988881232408e-7
<HG02238.SG>	IBS2	216905	3.0735421805245046e-7	1.3799411011012653e-7
<HG02238.SG>	TSI2	216905	4.34935214225165e-7	3.116763949198887e-7
<HG02238.SG>	CHB2	216905	9.12933320947872e-8	7.956086617673456e-8
<HG02238.SG>	YRI2	216905	4.784287356476815e-7	4.169439732186415e-7
<HG02239.SG>	CEU2	216724	2.854121837133533e-7	1.1092134427655948e-7
<HG02239.SG>	FIN2	216724	3.3298088099891207e-7	1.490804599384677e-7
