Left	Right	Norm	RAS	StdErr
<I0156.SG>	CEU2	113346	2.6867827931662886e-4	9.84575225483424e-6
<I0156.SG>	FIN2	113346	3.508097912404324e-4	9.935274972722416e-6
<I0156.SG>	GBR2	113346	3.028092938632342e-4	1.1040930292281915e-5
<I0156.SG>	IBS2	113346	2.8534625961972255e-4	1.0623216729507455e-5
<I0156.SG>	TSI2	113346	3.1111950085045974e-4	1.4794434798202684e-5
<I0156.SG>	CHB2	113346	2.445853605528886e-4	3.309198960489996e-6
<I0156.SG>	YRI2	113346	3.350901847041069e-4	2.788931717560857e-5
<I0157.SG>	CEU2	187688	3.0627709860232973e-4	3.39138676343658e-6
<I0157.SG>	FIN2	187688	3.9399670521422434e-4	1.0508608425483923e-5
<I0157.SG>	GBR2	187688	3.3163784815462127e-4	8.248321259671593e-6
<I0157.SG>	IBS2	187688	3.06384861604161e-4	1.039696206565337e-5
<I0157.SG>	TSI2	187688	3.290285845719068e-4	5.701946658165884e-6
<I0157.SG>	CHB2	187688	2.664523090986048e-4	1.5558002895666063e-5
<I0157.SG>	YRI2	187688	3.7316043566480825e-4	1.758366061001361e-5
<I0159.SG>	CEU2	184292	3.133753897053994e-4	1.406869191959491e-5
<I0159.SG>	FIN2	184292	4.1306031374235505e-4	1.8588403871842476e-5
<I0159.SG>	GBR2	184292	3.436575289938437e-4	2.583272385823184e-5
<I0159.SG>	IBS2	184292	3.176635835676914e-4	2.236095290643184e-5
<I0159.SG>	TSI2	184292	3.4563688715488e-4	2.415076853849701e-5
<I0159.SG>	CHB2	184292	2.900584156911552e-4	2.7584342638707516e-5
<I0159.SG>	YRI2	184292	3.478892602346803e-4	1.9567707544782106e-5
<I0160.SG>	CEU2	198866	3.100051518916371e-4	1.571994523296029e-5
<I0160.SG>	FIN2	198866	3.972005809019612e-4	1.993929219288e-5
<I0160.SG>	GBR2	198866	3.4283275058470496e-4	1.3234751233904128e-5
<I0160.SG>	IBS2	198866	3.207711533921133e-4	1.132975319488013e-5
<I0160.SG>	TSI2	198866	3.318817696338236e-4	7.938397446504731e-6
<I0160.SG>	CHB2	198866	2.577485630654522e-4	1.0050532992558185e-5
<I0160.SG>	YRI2	198866	3.5987065529476613e-4	3.842871814753803e-6
<I0161.SG>	CEU2	102368	3.253876050183201e-4	1.46079613766323e-5
<I0161.SG>	FIN2	102368	4.3656925650090297e-4	8.412992782111775e-6
<I0161.SG>	GBR2	102368	3.6317772915147044e-4	6.257735149002491e-6
