Left	Right	Norm	RAS	StdErr
<I0156.SG>	CEU2	556763	3.1133571409301013e-4	1.3218171067936791e-5
<I0156.SG>	FIN2	556763	4.067510188819527e-4	1.2605215653648305e-5
<I0156.SG>	GBR2	556763	3.5466916204321484e-4	1.3357630599095686e-5
<I0156.SG>	IBS2	556763	3.169682440754685e-4	1.2070745140247795e-5
<I0156.SG>	TSI2	556763	3.3930971407874203e-4	1.1829099008349843e-5
<I0156.SG>	CHB2	556763	2.7028582810792283e-4	1.2901276486269711e-5
<I0156.SG>	YRI2	556763	4.020205880765156e-4	1.3048622570805492e-5
<I0157.SG>	CEU2	920562	3.2687338440522693e-4	1.2045119782559682e-5
<I0157.SG>	FIN2	920562	4.325685674262138e-4	1.2809492786918424e-5
<I0157.SG>	GBR2	920562	3.664548878233571e-4	1.2443907409433264e-5
<I0157.SG>	IBS2	920562	3.22370361542084e-4	1.1861118763250331e-5
<I0157.SG>	TSI2	920562	3.463122383853044e-4	1.3228344290723102e-5
<I0157.SG>	CHB2	920562	2.8926582751935326e-4	1.1138226157824929e-5
<I0157.SG>	YRI2	920562	4.352652827786535e-4	1.472262178811665e-5
<I0159.SG>	CEU2	901935	3.3133802416442575e-4	6.860021433819722e-6
<I0159.SG>	FIN2	901935	4.4724003758471394e-4	1.122180011121554e-5
<I0159.SG>	GBR2	901935	3.7290196448007255e-4	7.00730347879287e-6
<I0159.SG>	IBS2	901935	3.2990446202041173e-4	7.913476769022559e-6
<I0159.SG>	TSI2	901935	3.549078077521168e-4	7.651044765142734e-6
<I0159.SG>	CHB2	901935	3.084128200276991e-4	1.1428906573768524e-5
<I0159.SG>	YRI2	901935	4.3952671567450694e-4	1.1210723039055628e-5
<I0160.SG>	CEU2	969821	3.1230122740154417e-4	9.389461173991854e-6
<I0160.SG>	FIN2	969821	4.0207228378215853e-4	9.185339752530327e-6
<I0160.SG>	GBR2	969821	3.52298688795837e-4	7.088911253826713e-6
<I0160.SG>	IBS2	969821	3.230247545435597e-4	6.563770260674135e-6
<I0160.SG>	TSI2	969821	3.388195755945079e-4	7.01075230879762e-6
<I0160.SG>	CHB2	969821	2.5757534658253374e-4	1.1016383933500336e-5
<I0160.SG>	YRI2	969821	3.903560262132009e-4	8.183885405689224e-6
<I0161.SG>	CEU2	505045	3.235396090559647e-4	1.1535217142072009e-5
<I0161.SG>	FIN2	505045	4.291135433170025e-4	1.5314555808170314e-5
<I0161.SG>	GBR2	505045	3.63685964177009e-4	1.2232067424098084e-5
<I0161.SG>	IBS2	505045	3.249686850158087e-4	1.0863117151956541e-5
<I0161.SG>	TSI2	505045	3.406010710422404e-4	1.2079971119599269e-5
<I0161.SG>	CHB2	505045	2.8608371237187066e-4	8.251120041422284e-6
<I0161.SG>	YRI2	505045	4.272176755405876e-4	1.68419806877005e-5
<I0769.SG>	CEU2	803057	3.163940719361184e-4	8.407201218025455e-6
<I0769.SG>	FIN2	803057	4.2401119053712814e-4	1.1208351300258169e-5
<I0769.SG>	GBR2	803057	3.6033141690648e-4	1.015222050483881e-5
<I0769.SG>	IBS2	803057	3.1566282106405575e-4	7.663693025080103e-6
<I0769.SG>	TSI2	803057	3.338539774697257e-4	8.570259781466527e-6
<I0769.SG>	CHB2	803057	2.734723206274752e-4	6.941778011328533e-6
<I0769.SG>	YRI2	803057	4.316289398005789e-4	1.3818832367724461e-5
<I0773.SG>	CEU2	717210	3.245681253114688e-4	1.262389240059836e-5
<I0773.SG>	FIN2	717210	4.3951813851411805e-4	1.3434502104396117e-5
<I0773.SG>	GBR2	717210	3.743828322403639e-4	1.2459139098583158e-5
<I0773.SG>	IBS2	717210	3.2123154472257163e-4	1.2427020913994823e-5
<I0773.SG>	TSI2	717210	3.390628202102853e-4	1.1597919235327936e-5
<I0773.SG>	CHB2	717210	2.7993513368151945e-4	1.0763282162583199e-5
<I0773.SG>	YRI2	717210	4.411881154778747e-4	8.777103609959382e-6
<I0774.SG>	CEU2	960366	3.345374060675441e-4	9.594767694870043e-6
<I0774.SG>	FIN2	960366	4.307421369486046e-4	9.449421419941385e-6
