Left	Right	Norm	RAS	StdErr
<I0156.SG>	CEU2	597300	0.18331282869131005	6.82784816073793e-4
<I0156.SG>	FIN2	597300	0.18178010670008143	6.732135880513851e-4
<I0156.SG>	GBR2	597300	0.18294971817623729	6.775753115891889e-4
<I0156.SG>	IBS2	597300	0.1822820310444619	6.785415041805854e-4
<I0156.SG>	TSI2	597300	0.18200534480634536	6.695158182017272e-4
<I0156.SG>	CHB2	597300	0.1722923949853549	7.115806651266234e-4
<I0156.SG>	YRI2	597300	0.13569632528769396	4.6941773153077717e-4
<I0157.SG>	CEU2	988516	0.18305718750418443	6.484498595069162e-4
<I0157.SG>	FIN2	988516	0.1815586692421123	6.214263967439614e-4
<I0157.SG>	GBR2	988516	0.1826127582490656	6.386972228541883e-4
<I0157.SG>	IBS2	988516	0.18168768229586663	6.389130945732086e-4
<I0157.SG>	TSI2	988516	0.18152097365389416	6.298336076869316e-4
<I0157.SG>	CHB2	988516	0.1718167875526105	6.614311707550195e-4
<I0157.SG>	YRI2	988516	0.13531243746581983	3.937611112884719e-4
<I0159.SG>	CEU2	968666	0.18342548507724518	6.404669170701936e-4
<I0159.SG>	FIN2	968666	0.18189040551272723	6.310502616603638e-4
<I0159.SG>	GBR2	968666	0.18295315413155816	6.423097110989851e-4
<I0159.SG>	IBS2	968666	0.18203381911677652	6.459824975244935e-4
<I0159.SG>	TSI2	968666	0.18181194257856836	6.390843983978157e-4
<I0159.SG>	CHB2	968666	0.17250390058734036	6.81809022699627e-4
<I0159.SG>	YRI2	968666	0.135586476075306	4.279709865334625e-4
<I0160.SG>	CEU2	1046667	0.18314338182116963	6.775858673383868e-4
<I0160.SG>	FIN2	1046667	0.18167631944775414	6.656933018785414e-4
<I0160.SG>	GBR2	1046667	0.1827960988972087	6.733969274639115e-4
<I0160.SG>	IBS2	1046667	0.18216826773531053	6.819375479566164e-4
<I0160.SG>	TSI2	1046667	0.1819018468886079	6.630984430173827e-4
<I0160.SG>	CHB2	1046667	0.17245796361778928	7.017316573791635e-4
<I0160.SG>	YRI2	1046667	0.13555373642381902	4.128439622115084e-4
<I0161.SG>	CEU2	540363	0.1829778954815234	7.23488154435101e-4
<I0161.SG>	FIN2	540363	0.18141502854963223	7.023644384593046e-4
<I0161.SG>	GBR2	540363	0.18253110511925405	7.175030824308115e-4
<I0161.SG>	IBS2	540363	0.18186050065286813	7.207329393922138e-4
<I0161.SG>	TSI2	540363	0.18157071142847048	7.161381850395452e-4
<I0161.SG>	CHB2	540363	0.17217390150804937	7.326503812258265e-4
<I0161.SG>	YRI2	540363	0.13525228446188808	4.8207422917263907e-4
<I0769.SG>	CEU2	861151	0.1830226572690464	7.37143898699722e-4
<I0769.SG>	FIN2	861151	0.18164818419059753	7.114433901778791e-4
<I0769.SG>	GBR2	861151	0.18256500118252586	7.235758647940406e-4
<I0769.SG>	IBS2	861151	0.1816731770563327	7.343664851976195e-4
<I0769.SG>	TSI2	861151	0.18148225182518454	7.195344256327832e-4
<I0769.SG>	CHB2	861151	0.17218220868131004	7.424206251143215e-4
<I0769.SG>	YRI2	861151	0.13529927245463913	4.3454088151948254e-4
<I0773.SG>	CEU2	766250	0.18255699702325875	6.526552930379947e-4
<I0773.SG>	FIN2	766250	0.18106160340391164	6.216064112557432e-4
<I0773.SG>	GBR2	766250	0.1821011274243248	6.423748859870601e-4
<I0773.SG>	IBS2	766250	0.1812561982443875	6.5825334088581e-4
<I0773.SG>	TSI2	766250	0.18106692111176084	6.503317863410846e-4
<I0773.SG>	CHB2	766250	0.17143580185098434	6.545571362076642e-4
<I0773.SG>	YRI2	766250	0.13478312044076443	4.2878413482683853e-4
<I0774.SG>	CEU2	1035004	0.18341067619560358	6.809947688648578e-4
<I0774.SG>	FIN2	1035004	0.18186669092807295	6.687866161405128e-4
<I0774.SG>	GBR2	1035004	0.18297973298224499	6.7085550893239e-4
<I0774.SG>	IBS2	1035004	0.1822892149853206	6.850536183191937e-4
<I0774.SG>	TSI2	1035004	0.1819622901101906	6.694694199654563e-4
<I0774.SG>	CHB2	1035004	0.1724171554356838	7.035913531948286e-4
<I0774.SG>	YRI2	1035004	0.13564091229836103	4.2302431067660703e-4
<I0777.SG>	CEU2	1029829	0.1830652837940372	6.771025007261983e-4
<I0777.SG>	FIN2	1029829	0.18160192404277928	6.733229079665088e-4
<I0777.SG>	GBR2	1029829	0.18273786769993425	6.750305613951337e-4
<I0777.SG>	IBS2	1029829	0.18192242641855164	6.740801984698977e-4
<I0777.SG>	TSI2	1029829	0.1817171533716985	6.616767617703075e-4
<I0777.SG>	CHB2	1029829	0.17200545713976984	7.015858829432161e-4
<I0777.SG>	YRI2	1029829	0.1353628831985789	4.250058990700505e-4
<I0789.SG>	CEU2	544526	0.18234110809548867	6.898205274473168e-4
<I0789.SG>	FIN2	544526	0.18084755526143578	6.661277654440978e-4
<I0789.SG>	GBR2	544526	0.18201895879270327	6.825506776518334e-4
<I0789.SG>	IBS2	544526	0.181477923219548	6.880098642825944e-4
<I0789.SG>	TSI2	544526	0.1812298894680013	6.807631482199026e-4
<I0789.SG>	CHB2	544526	0.1718375611118298	7.126534779107608e-4
<I0789.SG>	YRI2	544526	0.1351443169648881	4.800119880412628e-4
<3DT16.SG>	CEU2	525470	0.18229808601391495	7.162900247827574e-4
<3DT16.SG>	FIN2	525470	0.18086547556149526	7.018947783532191e-4
<3DT16.SG>	GBR2	525470	0.18191048014158742	7.037760531168692e-4
<3DT16.SG>	IBS2	525470	0.1812198784398911	7.206361081082301e-4
<3DT16.SG>	TSI2	525470	0.1811452891589236	7.077285003760389e-4
<3DT16.SG>	CHB2	525470	0.1711758845970425	7.243113601022485e-4
<3DT16.SG>	YRI2	525470	0.1351144940863364	4.865212019842801e-4
<3DT26.SG>	CEU2	710182	0.1775195886334	6.904326704842351e-4
<3DT26.SG>	FIN2	710182	0.17575933127291563	6.700053857106636e-4
<3DT26.SG>	GBR2	710182	0.1771083249708447	6.888384870598644e-4
<3DT26.SG>	IBS2	710182	0.17743483863492535	6.897472776626096e-4
<3DT26.SG>	TSI2	710182	0.1778199640878663	6.824824324752782e-4
<3DT26.SG>	CHB2	710182	0.16789143522016153	6.617889380215834e-4
<3DT26.SG>	YRI2	710182	0.13539625213265832	4.225406865543467e-4
<6DT18.SG>	CEU2	697576	0.18244926259522057	6.551067743804127e-4
<6DT18.SG>	FIN2	697576	0.18077863207958172	6.29817918055803e-4
<6DT18.SG>	GBR2	697576	0.18212983244836395	6.424839828877448e-4
<6DT18.SG>	IBS2	697576	0.18138528138528126	6.482834942726442e-4
<6DT18.SG>	TSI2	697576	0.1811858438742375	6.373889320219804e-4
<6DT18.SG>	CHB2	697576	0.17108622367219686	6.421774836406762e-4
<6DT18.SG>	YRI2	697576	0.13490748881139022	3.937592904093959e-4
<6DT21.SG>	CEU2	729326	0.1822295127960396	7.050643932349729e-4
<6DT21.SG>	FIN2	729326	0.18077683700112193	6.917335503243078e-4
<6DT21.SG>	GBR2	729326	0.18179960371326098	7.068447926177531e-4
<6DT21.SG>	IBS2	729326	0.18108131930812038	7.101148362852962e-4
<6DT21.SG>	TSI2	729326	0.1809085917993346	7.038008526222449e-4
<6DT21.SG>	CHB2	729326	0.17159604271004256	7.482872454456353e-4
<6DT21.SG>	YRI2	729326	0.13492651447273185	4.5265412342992853e-4
<6DT22.SG>	CEU2	716283	0.18230280777549582	6.984870186075601e-4
