Left	Right	Norm	RAS	StdErr
<I0156.SG>	CEU2	122625	0.1776960601952574	2.463147184466566e-3
<I0156.SG>	FIN2	122625	0.17648837184863025	2.274964028028654e-3
<I0156.SG>	GBR2	122625	0.17745864763846533	2.341485273651618e-3
<I0156.SG>	IBS2	122625	0.1766335226445328	2.486138854446466e-3
<I0156.SG>	TSI2	122625	0.17642413401804152	2.461767651920574e-3
<I0156.SG>	CHB2	122625	0.167122092025717	2.1266978879833933e-3
<I0156.SG>	YRI2	122625	0.13083022714596168	1.5003445396347683e-3
<I0157.SG>	CEU2	203131	0.1778421694963302	9.480740666018786e-4
<I0157.SG>	FIN2	203131	0.1764306584542703	7.652104358309295e-4
<I0157.SG>	GBR2	203131	0.17748141730104317	8.418188943971857e-4
<I0157.SG>	IBS2	203131	0.1763784618464632	9.403452073341474e-4
<I0157.SG>	TSI2	203131	0.1763189253370577	9.302979061915398e-4
<I0157.SG>	CHB2	203131	0.16694221272903484	9.110048602503145e-4
<I0157.SG>	YRI2	203131	0.1306762445240505	6.412190355896567e-4
<I0159.SG>	CEU2	199537	0.17833614714972532	8.588452340895078e-4
<I0159.SG>	FIN2	199537	0.17688639923071486	6.764854469517965e-4
<I0159.SG>	GBR2	199537	0.1778310678108731	7.117816797864231e-4
<I0159.SG>	IBS2	199537	0.1768126068992599	8.283266666003901e-4
<I0159.SG>	TSI2	199537	0.17675631350728005	9.010309492213831e-4
<I0159.SG>	CHB2	199537	0.16788707441886516	8.90521644225178e-4
<I0159.SG>	YRI2	199537	0.13111863397727944	5.874440278061833e-4
<I0160.SG>	CEU2	216539	0.1782597387399531	8.803786955470365e-4
<I0160.SG>	FIN2	216539	0.17697976169907853	7.556826792132434e-4
<I0160.SG>	GBR2	216539	0.17801237754964547	7.790693898457065e-4
<I0160.SG>	IBS2	216539	0.17721026389395894	9.303399874265656e-4
<I0160.SG>	TSI2	216539	0.17706087543426663	8.821844750620077e-4
<I0160.SG>	CHB2	216539	0.16794345097508204	7.533971906085409e-4
<I0160.SG>	YRI2	216539	0.13132585728815865	6.0177026819976e-4
<I0161.SG>	CEU2	110358	0.17716240471731942	9.098023905472205e-4
<I0161.SG>	FIN2	110358	0.1757506917972503	7.411204527950183e-4
<I0161.SG>	GBR2	110358	0.17663372337705027	7.740414207076306e-4
<I0161.SG>	IBS2	110358	0.1758471778859975	9.954457633136312e-4
<I0161.SG>	TSI2	110358	0.17566798894985755	1.010575224552841e-3
<I0161.SG>	CHB2	110358	0.16668810903272777	6.856288775536865e-4
<I0161.SG>	YRI2	110358	0.1302937916974838	7.370724670445989e-4
<I0769.SG>	CEU2	176327	0.17742047796739577	1.1589759379973504e-3
<I0769.SG>	FIN2	176327	0.17601809290716283	9.884251060194621e-4
<I0769.SG>	GBR2	176327	0.17698568883696716	1.0628400204478483e-3
<I0769.SG>	IBS2	176327	0.17592778784655422	1.1400102025721074e-3
<I0769.SG>	TSI2	176327	0.17583625448900733	1.1622686740117784e-3
<I0769.SG>	CHB2	176327	0.1669530289330247	7.411847553026996e-4
<I0769.SG>	YRI2	176327	0.1302542413960504	9.498169647489488e-4
<I0773.SG>	CEU2	156043	0.17702191657322192	1.0390400731137438e-3
<I0773.SG>	FIN2	156043	0.1756666200454535	9.105755766069229e-4
<I0773.SG>	GBR2	156043	0.17665436948647484	1.0220713062107205e-3
<I0773.SG>	IBS2	156043	0.17560586932234673	1.0845248566820345e-3
<I0773.SG>	TSI2	156043	0.1754399700421246	1.0829040325169323e-3
<I0773.SG>	CHB2	156043	0.16631535240064388	6.712191238827711e-4
<I0773.SG>	YRI2	156043	0.12994077950695418	2.859902409824442e-4
<I0774.SG>	CEU2	214020	0.17784839455220164	9.656505183294404e-4
<I0774.SG>	FIN2	214020	0.1764717528085346	8.766572633597317e-4
<I0774.SG>	GBR2	214020	0.1775371460611181	8.819792910227295e-4
<I0774.SG>	IBS2	214020	0.17672562866844035	9.901007173468512e-4
<I0774.SG>	TSI2	214020	0.17646406701542755	1.0119794905031575e-3
<I0774.SG>	CHB2	214020	0.16752450266052804	1.1523814744751164e-3
<I0774.SG>	YRI2	214020	0.1309999682625318	7.590262827800653e-4
<I0777.SG>	CEU2	212949	0.17803270547379196	8.013788094043077e-4
<I0777.SG>	FIN2	212949	0.17673821809035878	6.900110326463831e-4
<I0777.SG>	GBR2	212949	0.1777807518858214	6.605529536445299e-4
<I0777.SG>	IBS2	212949	0.17687986548981693	8.297728359547565e-4
<I0777.SG>	TSI2	212949	0.17676931592355047	8.116798125673151e-4
<I0777.SG>	CHB2	212949	0.16737233927948916	5.264004568789963e-4
<I0777.SG>	YRI2	212949	0.1310053244212867	6.072772209765029e-4
<I0789.SG>	CEU2	111246	0.17615636267056445	1.4660359912736633e-3
<I0789.SG>	FIN2	111246	0.1748194907876696	1.350074014748817e-3
<I0789.SG>	GBR2	111246	0.17578230028745181	1.411914630941604e-3
<I0789.SG>	IBS2	111246	0.1751300207262676	1.3650139706005298e-3
<I0789.SG>	TSI2	111246	0.17505094098782986	1.3296524019049117e-3
<I0789.SG>	CHB2	111246	0.16595083271878316	7.695367369113776e-4
<I0789.SG>	YRI2	111246	0.12958676657104282	4.668155245413359e-4
<3DT16.SG>	CEU2	107736	0.1763101326725366	1.6285965706422459e-3
<3DT16.SG>	FIN2	107736	0.17491965851616015	1.5443001325075505e-3
<3DT16.SG>	GBR2	107736	0.17602400518139028	1.6006553497566324e-3
<3DT16.SG>	IBS2	107736	0.17518307538356603	1.6417792123788431e-3
<3DT16.SG>	TSI2	107736	0.17505702268718362	1.6719111846914025e-3
<3DT16.SG>	CHB2	107736	0.1649935265301988	1.3034756426545061e-3
<3DT16.SG>	YRI2	107736	0.12947127219436422	1.1823647875675932e-3
<3DT26.SG>	CEU2	147061	0.1734988713919623	1.0101304463066075e-3
<3DT26.SG>	FIN2	147061	0.171650069888245	8.502367559761634e-4
<3DT26.SG>	GBR2	147061	0.1730003951497088	9.107668896730496e-4
<3DT26.SG>	IBS2	147061	0.17315516301787426	1.1049608144569464e-3
<3DT26.SG>	TSI2	147061	0.17356974060180194	1.040327952120279e-3
<3DT26.SG>	CHB2	147061	0.16352175809580222	1.1623975444031212e-3
<3DT26.SG>	YRI2	147061	0.13133319211781294	8.002563937539827e-4
<6DT18.SG>	CEU2	143471	0.17691998102709508	1.0690848576978258e-3
<6DT18.SG>	FIN2	143471	0.17545684544029871	1.040004306797195e-3
<6DT18.SG>	GBR2	143471	0.1766676811961244	9.77223841638739e-4
<6DT18.SG>	IBS2	143471	0.1757425011392721	9.000879227339926e-4
<6DT18.SG>	TSI2	143471	0.17558758505268976	9.74518085248327e-4
<6DT18.SG>	CHB2	143471	0.16556083262695512	1.4410623606367313e-3
<6DT18.SG>	YRI2	143471	0.13001871524098635	9.742768037281627e-4
<6DT21.SG>	CEU2	150392	0.17651335095143922	1.1318599779590213e-3
<6DT21.SG>	FIN2	150392	0.17524100591005315	1.030468134579107e-3
<6DT21.SG>	GBR2	150392	0.1761036343540746	1.1086136719991617e-3
<6DT21.SG>	IBS2	150392	0.17511424113238216	1.1984497492258566e-3
<6DT21.SG>	TSI2	150392	0.17514518034379664	1.135613141740193e-3
<6DT21.SG>	CHB2	150392	0.16625206259654732	7.182461625738256e-4
<6DT21.SG>	YRI2	150392	0.13000283786672676	4.874423977329337e-4
<6DT22.SG>	CEU2	147448	0.17730416370447324	1.1902947022992885e-3
<6DT22.SG>	FIN2	147448	0.17576624602096472	9.843349327398434e-4
<6DT22.SG>	GBR2	147448	0.17702745676065193	1.0323017787924411e-3
<6DT22.SG>	IBS2	147448	0.17618169181839227	1.150476882920819e-3
<6DT22.SG>	TSI2	147448	0.17598522741116143	1.2071010536115726e-3
<6DT22.SG>	CHB2	147448	0.16605035049107514	1.0704657388562135e-3
<6DT22.SG>	YRI2	147448	0.13023228911913146	1.1017479964752627e-3
<6DT23.SG>	CEU2	104874	0.17813501877265098	5.700997770893462e-4
<6DT23.SG>	FIN2	104874	0.1766157680822298	4.187627708284196e-4
<6DT23.SG>	GBR2	104874	0.17779928506800796	4.4256306166300325e-4
<6DT23.SG>	IBS2	104874	0.17695838180419687	5.204114857071775e-4
<6DT23.SG>	TSI2	104874	0.17664674698587124	4.775135404401966e-4
<6DT23.SG>	CHB2	104874	0.16758705448896122	2.58398143954365e-4
<6DT23.SG>	YRI2	104874	0.13132128725179992	5.947919162876982e-4
