Left	Right	Norm	RAS	StdErr
<I0156.SG>	CEU2	113346	0.17767729173749874	2.3366331966431955e-3
<I0156.SG>	FIN2	113346	0.1765142622325489	2.1820965713783523e-3
<I0156.SG>	GBR2	113346	0.17748271271642246	2.1497010512764956e-3
<I0156.SG>	IBS2	113346	0.17665723074648043	2.280774752820224e-3
<I0156.SG>	TSI2	113346	0.1764710092889741	2.3139485424024686e-3
<I0156.SG>	CHB2	113346	0.16717295836301146	2.077624407443201e-3
<I0156.SG>	YRI2	113346	0.1310010357332978	1.3157986166785107e-3
<I0157.SG>	CEU2	187688	0.17766191929840286	9.904514802321354e-4
<I0157.SG>	FIN2	187688	0.17630652229605054	9.13986032067276e-4
<I0157.SG>	GBR2	187688	0.1773115193536335	9.210050469174331e-4
<I0157.SG>	IBS2	187688	0.17620549605120017	9.89727510292278e-4
<I0157.SG>	TSI2	187688	0.17615097677156902	1.0643384794060936e-3
<I0157.SG>	CHB2	187688	0.16681344139273194	8.261345851583889e-4
<I0157.SG>	YRI2	187688	0.13059886419292313	7.392106248425978e-4
<I0159.SG>	CEU2	184292	0.1780626710502685	7.164835664522507e-4
<I0159.SG>	FIN2	184292	0.1766291548530903	6.632413834861247e-4
<I0159.SG>	GBR2	184292	0.1776101090781075	6.19986556524124e-4
<I0159.SG>	IBS2	184292	0.17658839543457666	7.275862210763131e-4
<I0159.SG>	TSI2	184292	0.1765264639503611	7.850484893336179e-4
<I0159.SG>	CHB2	184292	0.16760568086848104	6.804884529188203e-4
<I0159.SG>	YRI2	184292	0.13103943127170203	4.3649261088121125e-4
<I0160.SG>	CEU2	198866	0.17774840044081006	1.0374774486693308e-3
<I0160.SG>	FIN2	198866	0.17649438294511405	9.233468837284453e-4
<I0160.SG>	GBR2	198866	0.1775171891290301	9.414923437280218e-4
<I0160.SG>	IBS2	198866	0.17671248359149058	1.1118731757745243e-3
<I0160.SG>	TSI2	198866	0.17658372974767086	1.0909522881861363e-3
<I0160.SG>	CHB2	198866	0.16744495746327323	8.723397782834073e-4
