Left	Right	Norm	RAS	StdErr
<I0156.SG>	CEU2	556763	0.18305143847784033	1.005323817997251e-3
<I0156.SG>	FIN2	556763	0.18155184614542338	1.0002817312499902e-3
<I0156.SG>	GBR2	556763	0.18272203193579173	9.722960545289218e-4
<I0156.SG>	IBS2	556763	0.18206585806408504	9.7623636940967e-4
<I0156.SG>	TSI2	556763	0.18179326598740203	9.4339174927193e-4
<I0156.SG>	CHB2	556763	0.172081609710644	1.1998171886584076e-3
<I0156.SG>	YRI2	556763	0.13570827992629458	6.568388467540581e-4
<I0157.SG>	CEU2	920562	0.18281315692025832	9.59407424845458e-4
<I0157.SG>	FIN2	920562	0.18133100539636848	8.884329383110131e-4
<I0157.SG>	GBR2	920562	0.1823601476296266	9.218133110021027e-4
<I0157.SG>	IBS2	920562	0.18145602774123393	8.889995382650157e-4
<I0157.SG>	TSI2	920562	0.1812956199479962	8.793125664860891e-4
<I0157.SG>	CHB2	920562	0.17157592560601423	9.822503890029527e-4
<I0157.SG>	YRI2	920562	0.1352463505373844	4.261014073991826e-4
<I0159.SG>	CEU2	901935	0.18319298502492512	7.822518872366571e-4
<I0159.SG>	FIN2	901935	0.18167984652013183	7.63801636963e-4
<I0159.SG>	GBR2	901935	0.1827349593435866	7.75460732168787e-4
<I0159.SG>	IBS2	901935	0.1818169770971269	8.271384171403369e-4
<I0159.SG>	TSI2	901935	0.18160867133566536	8.006926399281339e-4
<I0159.SG>	CHB2	901935	0.17226728210914302	8.066563644520636e-4
<I0159.SG>	YRI2	901935	0.13552834152902432	4.890392018477386e-4
<I0160.SG>	CEU2	969821	0.18277524207172224	9.294768941666331e-4
<I0160.SG>	FIN2	969821	0.18132769043138602	8.609349024860997e-4
<I0160.SG>	GBR2	969821	0.18243276050139626	9.210596359557712e-4
<I0160.SG>	IBS2	969821	0.18182063150485403	9.759504561188102e-4
<I0160.SG>	TSI2	969821	0.18156037664449134	9.411450469106299e-4
<I0160.SG>	CHB2	969821	0.1721148276407985	8.850838120026243e-4
<I0160.SG>	YRI2	969821	0.13547533076177584	4.887411531232853e-4
<I0161.SG>	CEU2	505045	0.18277381223455486	1.146342418382447e-3
<I0161.SG>	FIN2	505045	0.18123429442288227	1.1083327403460454e-3
<I0161.SG>	GBR2	505045	0.18231721925769062	1.13088193238724e-3
<I0161.SG>	IBS2	505045	0.1816592675145885	1.1653272210543546e-3
<I0161.SG>	TSI2	505045	0.1813888992144737	1.1572749981479875e-3
<I0161.SG>	CHB2	505045	0.17197530383774326	1.04014410648225e-3
<I0161.SG>	YRI2	505045	0.13527957624549397	6.663828874171658e-4
<I0769.SG>	CEU2	803057	0.18274024764312927	1.095957928898799e-3
<I0769.SG>	FIN2	803057	0.18138483423311574	1.043478426721535e-3
<I0769.SG>	GBR2	803057	0.18229245661682167	1.0514907162599697e-3
<I0769.SG>	IBS2	803057	0.18142105431999142	1.1019450075681729e-3
<I0769.SG>	TSI2	803057	0.18124323795620667	1.0659765132566671e-3
<I0769.SG>	CHB2	803057	0.17195218513828403	1.147046886447602e-3
<I0769.SG>	YRI2	803057	0.13526743713603206	5.845240077763809e-4
<I0773.SG>	CEU2	717210	0.18233576069468718	8.697675842871959e-4
<I0773.SG>	FIN2	717210	0.18084723205054287	8.516791004952818e-4
<I0773.SG>	GBR2	717210	0.18189462562491562	8.646429766358541e-4
<I0773.SG>	IBS2	717210	0.181052238801017	9.095758177115717e-4
<I0773.SG>	TSI2	717210	0.18086952770076392	8.910599830950263e-4
<I0773.SG>	CHB2	717210	0.17125127746806662	1.0094821902611613e-3
<I0773.SG>	YRI2	717210	0.13475311696555747	4.362806589396395e-4
<I0774.SG>	CEU2	960366	0.18301452554031916	1.034782505186319e-3
<I0774.SG>	FIN2	960366	0.1815022047758395	1.035775484811048e-3
<I0774.SG>	GBR2	960366	0.1825921460035979	9.979573448955592e-4
<I0774.SG>	IBS2	960366	0.18190929787383867	1.0560015263674023e-3
<I0774.SG>	TSI2	960366	0.18159210841747225	1.0311445508011702e-3
<I0774.SG>	CHB2	960366	0.17207666062462312	1.1442985753492383e-3
<I0774.SG>	YRI2	960366	0.1355319467629058	5.55853718982164e-4
<I0777.SG>	CEU2	956055	0.18276139809279884	8.861523054872391e-4
<I0777.SG>	FIN2	956055	0.1813089733493	8.742615182518054e-4
<I0777.SG>	GBR2	956055	0.1824308457381894	8.613337964515655e-4
<I0777.SG>	IBS2	956055	0.18163546578188242	8.555763906044283e-4
<I0777.SG>	TSI2	956055	0.18143660914747772	8.261854710997072e-4
<I0777.SG>	CHB2	956055	0.17169376570209646	9.209783152094208e-4
<I0777.SG>	YRI2	956055	0.13523930838825332	3.82640323946007e-4
<I0789.SG>	CEU2	510434	0.18234919069678818	9.441395420579289e-4
<I0789.SG>	FIN2	510434	0.18084975918410987	9.057647963317061e-4
<I0789.SG>	GBR2	510434	0.1820028098093438	9.361852859988727e-4
<I0789.SG>	IBS2	510434	0.18148249939314126	9.358013502763866e-4
<I0789.SG>	TSI2	510434	0.18124942289214394	9.171010150713826e-4
<I0789.SG>	CHB2	510434	0.17190907663627975	9.77199303021955e-4
<I0789.SG>	YRI2	510434	0.13525752151276926	5.72023929065261e-4
<3DT16.SG>	CEU2	487819	0.18193058465596734	9.99112505982854e-4
<3DT16.SG>	FIN2	487819	0.18051388546322264	9.826486718885568e-4
<3DT16.SG>	GBR2	487819	0.18155643338569832	9.732980985226191e-4
