Left	Right	Norm	RAS	StdErr
<I0156.SG>	CEU2	597300	0.17535726922353323	6.76228466118219e-4
<I0156.SG>	FIN2	597300	0.17398968899566947	6.68391668798339e-4
<I0156.SG>	GBR2	597300	0.17504946332570648	6.734125526807166e-4
<I0156.SG>	IBS2	597300	0.17436376392177502	6.715333438108834e-4
<I0156.SG>	TSI2	597300	0.17410569259782244	6.630512597184517e-4
<I0156.SG>	CHB2	597300	0.1644161101192992	7.061580864963437e-4
<I0156.SG>	YRI2	597300	0.12873383053931375	4.8089731303833683e-4
<I0157.SG>	CEU2	988516	0.17520349049306955	6.385823059576128e-4
<I0157.SG>	FIN2	988516	0.17386744633098444	6.15725151939974e-4
<I0157.SG>	GBR2	988516	0.17481332286646517	6.309405047401205e-4
<I0157.SG>	IBS2	988516	0.17386810127504262	6.296949816406617e-4
<I0157.SG>	TSI2	988516	0.1737190843037672	6.201071387236235e-4
<I0157.SG>	CHB2	988516	0.16403970323912687	6.479810511973233e-4
<I0157.SG>	YRI2	988516	0.12843908883581318	3.999789361127374e-4
<I0159.SG>	CEU2	968666	0.17560473910118177	6.288503593271781e-4
<I0159.SG>	FIN2	968666	0.17422883263349015	6.194102861596249e-4
<I0159.SG>	GBR2	968666	0.17518683770601343	6.309866097232444e-4
<I0159.SG>	IBS2	968666	0.17424615276010902	6.335191108527733e-4
<I0159.SG>	TSI2	968666	0.1740423973074195	6.283078132274214e-4
<I0159.SG>	CHB2	968666	0.1647604964860012	6.69367762991888e-4
<I0159.SG>	YRI2	968666	0.1287390119748034	4.341410057317904e-4
<I0160.SG>	CEU2	1046667	0.17540461942921998	6.615157820254746e-4
<I0160.SG>	FIN2	1046667	0.17409813550620765	6.496683274547296e-4
<I0160.SG>	GBR2	1046667	0.1751102414723222	6.575978480157657e-4
<I0160.SG>	IBS2	1046667	0.1744629016724153	6.66143537919313e-4
<I0160.SG>	TSI2	1046667	0.1742158770974553	6.466112988351395e-4
<I0160.SG>	CHB2	1046667	0.16479535648505075	6.829935101059675e-4
<I0160.SG>	YRI2	1046667	0.12878501787281615	4.130993780215879e-4
<I0161.SG>	CEU2	540363	0.1750191561758664	7.01428663683918e-4
<I0161.SG>	FIN2	540363	0.1736240458900374	6.817953130666638e-4
<I0161.SG>	GBR2	540363	0.17462785818668805	6.965377802170822e-4
<I0161.SG>	IBS2	540363	0.1739350346764252	6.996849891863666e-4
<I0161.SG>	TSI2	540363	0.17366278482469458	6.963924840630325e-4
<I0161.SG>	CHB2	540363	0.16429663352631146	7.088629994935623e-4
<I0161.SG>	YRI2	540363	0.1282859331562547	4.7916314248966157e-4
