Left	Right	Norm	RAS	StdErr
<I0156.SG>	CEU2	122625	0.1696368737980398	2.5276955641189676e-3
<I0156.SG>	FIN2	122625	0.16859606755152085	2.349924762383445e-3
<I0156.SG>	GBR2	122625	0.16945167063087624	2.4109672222623973e-3
<I0156.SG>	IBS2	122625	0.16861037813698412	2.546142776369643e-3
<I0156.SG>	TSI2	122625	0.16842228761564107	2.523593387474603e-3
<I0156.SG>	CHB2	122625	0.15914986728030633	2.1803731972953734e-3
<I0156.SG>	YRI2	122625	0.12379989613986474	1.5262342561677602e-3
<I0157.SG>	CEU2	203131	0.1698356557981711	1.0706490287766036e-3
<I0157.SG>	FIN2	203131	0.16858979886373693	8.863082355000439e-4
<I0157.SG>	GBR2	203131	0.16953104701454388	9.686696686525375e-4
<I0157.SG>	IBS2	203131	0.16840922032251968	1.0619476201334712e-3
<I0157.SG>	TSI2	203131	0.16836978423534435	1.0519358155804159e-3
<I0157.SG>	CHB2	203131	0.15902243448126563	9.419649688491887e-4
<I0157.SG>	YRI2	203131	0.1236952025475138	7.37224894971554e-4
<I0159.SG>	CEU2	199537	0.1704154395776746	9.206219553614181e-4
<I0159.SG>	FIN2	199537	0.16912699290610392	7.33551747348802e-4
<I0159.SG>	GBR2	199537	0.16996853270877751	7.713534502208619e-4
<I0159.SG>	IBS2	199537	0.16892525243558043	8.937287565671625e-4
<I0159.SG>	TSI2	199537	0.16889022615657243	9.631900206532532e-4
<I0159.SG>	CHB2	199537	0.1600543376729018	8.951788171282107e-4
<I0159.SG>	YRI2	199537	0.1242042781870213	6.10635357715729e-4
<I0160.SG>	CEU2	216539	0.17044699883352446	9.526254019836734e-4
<I0160.SG>	FIN2	216539	0.1693289887591022	8.311493169002696e-4
<I0160.SG>	GBR2	216539	0.17025144559538022	8.540947410159464e-4
<I0160.SG>	IBS2	216539	0.16943332983676967	1.0033570681396056e-3
<I0160.SG>	TSI2	216539	0.1693065966503758	9.534033437651014e-4
<I0160.SG>	CHB2	216539	0.1602169485486786	7.644805458613017e-4
<I0160.SG>	YRI2	216539	0.12450979461018188	6.612995442310817e-4
<I0161.SG>	CEU2	110358	0.1691721021163931	8.73264303669883e-4
<I0161.SG>	FIN2	110358	0.1679314351436933	7.123631300522846e-4
<I0161.SG>	GBR2	110358	0.16869793460072388	7.337824169119441e-4
<I0161.SG>	IBS2	110358	0.1678952223887798	9.575521815512265e-4
<I0161.SG>	TSI2	110358	0.16773163977135164	9.752799885004348e-4
<I0161.SG>	CHB2	110358	0.15879274275494826	6.400124854090111e-4
<I0161.SG>	YRI2	110358	0.12332932237346203	7.062514408310731e-4
<I0769.SG>	CEU2	176327	0.16955996529176004	1.2698252592930426e-3
<I0769.SG>	FIN2	176327	0.1683180716427816	1.0951760188041503e-3
<I0769.SG>	GBR2	176327	0.16918194289271984	1.1703783772305128e-3
<I0769.SG>	IBS2	176327	0.16809871918165137	1.2459848031006141e-3
<I0769.SG>	TSI2	176327	0.1680256697167822	1.2651266087194495e-3
<I0769.SG>	CHB2	176327	0.15917944309927812	8.423210072876861e-4
<I0769.SG>	YRI2	176327	0.12339279368488876	1.044325608909071e-3
<I0773.SG>	CEU2	156043	0.1690500853881744	1.0229637696421122e-3
<I0773.SG>	FIN2	156043	0.167864118342744	8.886033651317883e-4
<I0773.SG>	GBR2	156043	0.16873803303505455	1.0130287391833831e-3
<I0773.SG>	IBS2	156043	0.16766886294772923	1.0972228960505804e-3
<I0773.SG>	TSI2	156043	0.1675206483360487	1.0809573995332886e-3
<I0773.SG>	CHB2	156043	0.15842738955617988	6.270237302697116e-4
<I0773.SG>	YRI2	156043	0.12297910384885366	2.5964578641615103e-4
<I0774.SG>	CEU2	214020	0.16998560689481823	9.7425061249531e-4
<I0774.SG>	FIN2	214020	0.16877375368136938	8.725571112935207e-4
<I0774.SG>	GBR2	214020	0.16972853004392247	8.873235539242555e-4
<I0774.SG>	IBS2	214020	0.16890223877608426	9.988645101778341e-4
<I0774.SG>	TSI2	214020	0.16866066123250806	1.0114568981934515e-3
<I0774.SG>	CHB2	214020	0.1597487881672951	1.102161205583766e-3
<I0774.SG>	YRI2	214020	0.12414427852801542	7.524139642355981e-4
<I0777.SG>	CEU2	212949	0.17022622860233833	8.688619992625374e-4
<I0777.SG>	FIN2	212949	0.16909183956876983	7.56792773316187e-4
<I0777.SG>	GBR2	212949	0.17002855665493305	7.353573715007134e-4
<I0777.SG>	IBS2	212949	0.1691101983059229	8.941300939256754e-4
<I0777.SG>	TSI2	212949	0.16901761490061948	8.744284346238185e-4
<I0777.SG>	CHB2	212949	0.15965134402794132	5.705565829229397e-4
<I0777.SG>	YRI2	212949	0.1241924609993865	6.42889685054436e-4
<I0789.SG>	CEU2	111246	0.1681850810435726	1.5229143746243428e-3
<I0789.SG>	FIN2	111246	0.16701668504332726	1.408443162720823e-3
