Left	Right	Norm	RAS	StdErr
<I0156.SG>	CEU2	113346	0.16945031552871442	2.410978960156081e-3
<I0156.SG>	FIN2	113346	0.16845855250986935	2.25720532832452e-3
<I0156.SG>	GBR2	113346	0.16930813614948953	2.2286295804550033e-3
<I0156.SG>	IBS2	113346	0.16846747380334842	2.3528172925598e-3
<I0156.SG>	TSI2	113346	0.1683015005981023	2.391434413232123e-3
<I0156.SG>	CHB2	113346	0.15903175993317953	2.1555318102724915e-3
<I0156.SG>	YRI2	113346	0.12382048421447191	1.3705812286553835e-3
<I0157.SG>	CEU2	187688	0.1694896048146591	1.0566822582996282e-3
<I0157.SG>	FIN2	187688	0.16830459367311537	9.785317428993828e-4
<I0157.SG>	GBR2	187688	0.16919556805857544	9.873396355695404e-4
<I0157.SG>	IBS2	187688	0.1680712266151949	1.0456161922837784e-3
<I0157.SG>	TSI2	187688	0.16803725049922416	1.1245272635889599e-3
<I0157.SG>	CHB2	187688	0.1587285577370668	9.453698132386135e-4
<I0157.SG>	YRI2	187688	0.12346915756618901	7.9716569451182e-4
<I0159.SG>	CEU2	184292	0.1699445031316286	8.26893801444409e-4
<I0159.SG>	FIN2	184292	0.1686786388521496	7.748739701742811e-4
<I0159.SG>	GBR2	184292	0.16955115915081723	7.306925855978889e-4
<I0159.SG>	IBS2	184292	0.1685057770639361	8.221068053234473e-4
<I0159.SG>	TSI2	184292	0.16846429927240275	8.886104168401969e-4
<I0159.SG>	CHB2	184292	0.15957591407351257	8.062998761678086e-4
<I0159.SG>	YRI2	184292	0.12394681082400394	5.209258465439313e-4
<I0160.SG>	CEU2	198866	0.16975612547888852	1.1052696824814922e-3
<I0160.SG>	FIN2	198866	0.16866835990996826	9.932934344862978e-4
<I0160.SG>	GBR2	198866	0.16957744857788193	1.0079593304723807e-3
<I0160.SG>	IBS2	198866	0.16875704290948923	1.1640823065749105e-3
<I0160.SG>	TSI2	198866	0.16865063589799584	1.1411866340811357e-3
<I0160.SG>	CHB2	198866	0.15953993798301758	9.96859223158705e-4
<I0160.SG>	YRI2	198866	0.1242006801204334	7.736037508338891e-4
<I0161.SG>	CEU2	102368	0.16886982239939777	5.181500526651751e-4
<I0161.SG>	FIN2	102368	0.16767895009071854	5.570215625309789e-4
<I0161.SG>	GBR2	102368	0.16843208381091362	4.1038024080590566e-4
<I0161.SG>	IBS2	102368	0.16763767323121842	5.512570393442494e-4
<I0161.SG>	TSI2	102368	0.16748914017941924	6.166532851635644e-4
<I0161.SG>	CHB2	102368	0.1585274559809849	2.3217112838767122e-4
<I0161.SG>	YRI2	102368	0.12322007319504283	5.813601664292316e-4
<I0769.SG>	CEU2	163150	0.16915235173501159	1.6288129173808673e-3
<I0769.SG>	FIN2	163150	0.167972234772252	1.4900941951540125e-3
<I0769.SG>	GBR2	163150	0.168789525658052	1.5356754038629956e-3
<I0769.SG>	IBS2	163150	0.16773713935467	1.6224041174493762e-3
<I0769.SG>	TSI2	163150	0.16769676012929502	1.649310109892248e-3
<I0769.SG>	CHB2	163150	0.1589301590287749	1.1660873587597345e-3
<I0769.SG>	YRI2	163150	0.12325160894881945	1.1817592130520507e-3
<I0773.SG>	CEU2	145040	0.1685511568795813	1.323242239395668e-3
<I0773.SG>	FIN2	145040	0.16735710305298038	1.2574252220362548e-3
<I0773.SG>	GBR2	145040	0.16828116381687855	1.3687936293672613e-3
<I0773.SG>	IBS2	145040	0.16719821133086535	1.4166276589448275e-3
<I0773.SG>	TSI2	145040	0.16704298879164206	1.4395295532794558e-3
<I0773.SG>	CHB2	145040	0.15811049734317115	1.0858461450757118e-3
<I0773.SG>	YRI2	145040	0.12273575799519101	6.284532162570992e-4
<I0774.SG>	CEU2	196870	0.16920983494786254	6.289499280753238e-4
<I0774.SG>	FIN2	196870	0.16806124089422184	5.223550283652693e-4
<I0774.SG>	GBR2	196870	0.16897597399299147	5.66521203066759e-4
<I0774.SG>	IBS2	196870	0.1681269970272881	6.218152184218615e-4
<I0774.SG>	TSI2	196870	0.16789548893005865	6.313310558535791e-4
<I0774.SG>	CHB2	196870	0.15902633642243788	2.2881807553624145e-4
<I0774.SG>	YRI2	196870	0.12374864746490008	4.0249013495776906e-4
<I0777.SG>	CEU2	196030	0.16958034510812892	9.14084488090409e-4
<I0777.SG>	FIN2	196030	0.16848515191499755	8.666063171524639e-4
<I0777.SG>	GBR2	196030	0.1693758891779614	8.495500116012174e-4
<I0777.SG>	IBS2	196030	0.168458423516324	9.24606298392799e-4
<I0777.SG>	TSI2	196030	0.16839851235708225	9.644713625147131e-4
<I0777.SG>	CHB2	196030	0.15902127528469875	7.67178586555209e-4
<I0777.SG>	YRI2	196030	0.123789677937242	7.487665697857846e-4
<I0789.SG>	CEU2	103385	0.167825000037395	1.8944610834950868e-3
<I0789.SG>	FIN2	103385	0.16667107084967728	1.7525090533706395e-3
<I0789.SG>	GBR2	103385	0.16746035584358387	1.8824236401399114e-3
<I0789.SG>	IBS2	103385	0.16686421766075504	1.8316253815762328e-3
<I0789.SG>	TSI2	103385	0.16682504761009612	1.8941668786788906e-3
<I0789.SG>	CHB2	103385	0.15791104767003294	1.4159326693925307e-3
<I0789.SG>	YRI2	103385	0.122431358879294	9.739890670904071e-4
<3DT16.SG>	CEU2	99198	0.16773295021952464	1.5636866704433446e-3
<3DT16.SG>	FIN2	99198	0.16657053486487464	1.5403120181574886e-3
<3DT16.SG>	GBR2	99198	0.1675300353277735	1.5752423617373668e-3
<3DT16.SG>	IBS2	99198	0.1666580259394633	1.608800169910241e-3
<3DT16.SG>	TSI2	99198	0.16656167367951327	1.6705095788066891e-3
<3DT16.SG>	CHB2	99198	0.15643750003742954	1.4428197978323461e-3
<3DT16.SG>	YRI2	99198	0.12218796635811624	1.379816140918606e-3
<3DT26.SG>	CEU2	134990	0.1647149120629785	1.3128501212670873e-3
<3DT26.SG>	FIN2	134990	0.1630902785467884	1.1703294705740482e-3
<3DT26.SG>	GBR2	134990	0.16429546221530875	1.2456871058017533e-3
<3DT26.SG>	IBS2	134990	0.16444096388092297	1.4344608104433915e-3
<3DT26.SG>	TSI2	134990	0.1648943946931095	1.4036363558224553e-3
<3DT26.SG>	CHB2	134990	0.1548594358658025	1.3264511881483313e-3
<3DT26.SG>	YRI2	134990	0.12388639549819848	7.759104702808111e-4
<6DT18.SG>	CEU2	131948	0.16838662465907472	8.794713297518254e-4
<6DT18.SG>	FIN2	131948	0.16715300841724948	8.17353136513791e-4
<6DT18.SG>	GBR2	131948	0.16824203474095925	8.495627451097777e-4
<6DT18.SG>	IBS2	131948	0.1672861747845836	8.363357684869839e-4
<6DT18.SG>	TSI2	131948	0.1671801384307495	8.921129161614048e-4
<6DT18.SG>	CHB2	131948	0.15717112681953668	9.85708911259848e-4
<6DT18.SG>	YRI2	131948	0.12287030167973499	1.0336347444561452e-3
<6DT21.SG>	CEU2	138279	0.16779329225546782	5.254944880226105e-4
