Left	Right	Norm	RAS	StdErr
<I0156.SG>	CEU2	556763	0.17498422536706232	1.037081390269036e-3
<I0156.SG>	FIN2	556763	0.17365198477628757	1.0248630366893829e-3
<I0156.SG>	GBR2	556763	0.174711222628739	1.0044545027209641e-3
<I0156.SG>	IBS2	556763	0.1740358020164697	1.0060827823985923e-3
<I0156.SG>	TSI2	556763	0.17378189676519373	9.76987700120218e-4
<I0156.SG>	CHB2	556763	0.1640943691792147	1.2032689142167275e-3
<I0156.SG>	YRI2	556763	0.12864872316695536	6.619943100239189e-4
<I0157.SG>	CEU2	920562	0.17486963420843696	9.773623832387364e-4
<I0157.SG>	FIN2	920562	0.17355117695136418	9.054314650823531e-4
<I0157.SG>	GBR2	920562	0.1744717659188398	9.407081107035159e-4
<I0157.SG>	IBS2	920562	0.17354628399359892	9.078975194161606e-4
<I0157.SG>	TSI2	920562	0.1734041526642492	8.986860578973734e-4
<I0157.SG>	CHB2	920562	0.1637095729360853	9.88445023378355e-4
<I0157.SG>	YRI2	920562	0.12829332762394097	4.603365736926909e-4
<I0159.SG>	CEU2	901935	0.17527495723827394	7.682393271364148e-4
<I0159.SG>	FIN2	901935	0.17392291567402787	7.438587984042738e-4
<I0159.SG>	GBR2	901935	0.17487267806315335	7.62091622127706e-4
<I0159.SG>	IBS2	901935	0.17393235232081838	8.118514566228294e-4
<I0159.SG>	TSI2	901935	0.1737420729917062	7.895493626701889e-4
<I0159.SG>	CHB2	901935	0.16442741614878997	7.856362043785359e-4
<I0159.SG>	YRI2	901935	0.1285934402460278	4.8541612607012403e-4
<I0160.SG>	CEU2	969821	0.17493304668391696	9.380584028480335e-4
<I0160.SG>	FIN2	969821	0.17364799713225973	8.662289165636662e-4
<I0160.SG>	GBR2	969821	0.17464466810542154	9.284389332031167e-4
<I0160.SG>	IBS2	969821	0.17401169906611766	9.837872442363844e-4
<I0160.SG>	TSI2	969821	0.17377111586415583	9.505785087265154e-4
<I0160.SG>	CHB2	969821	0.16435016113670767	8.736414250060917e-4
<I0160.SG>	YRI2	969821	0.12861491285116095	5.128163023310151e-4
<I0161.SG>	CEU2	505045	0.17473421016990204	1.0643181967745785e-3
<I0161.SG>	FIN2	505045	0.17336383110905856	1.0236396666175242e-3
<I0161.SG>	GBR2	505045	0.17433401424075537	1.048726176806288e-3
<I0161.SG>	IBS2	505045	0.1736530973901907	1.0820709187274727e-3
<I0161.SG>	TSI2	505045	0.1734002406286607	1.0772214425471686e-3
<I0161.SG>	CHB2	505045	0.16401857730744357	9.451492715818056e-4
<I0161.SG>	YRI2	505045	0.12824011385497666	5.954667639786939e-4
<I0769.SG>	CEU2	803057	0.1748433360875443	1.0679536879455915e-3
<I0769.SG>	FIN2	803057	0.17365398912703892	1.0112955434365978e-3
<I0769.SG>	GBR2	803057	0.17445301032319246	1.0237511767524443e-3
<I0769.SG>	IBS2	803057	0.17355665377960314	1.075582992941675e-3
<I0769.SG>	TSI2	803057	0.1733966180788278	1.0417960120598685e-3
<I0769.SG>	CHB2	803057	0.1641369254370407	1.1065760672419624e-3
<I0769.SG>	YRI2	803057	0.12835608769611714	5.909795895525015e-4
<I0773.SG>	CEU2	717210	0.17447143764562043	8.755444541276556e-4
<I0773.SG>	FIN2	717210	0.1731465873559017	8.497825568514662e-4
<I0773.SG>	GBR2	717210	0.1740854607901926	8.746217745950105e-4
<I0773.SG>	IBS2	717210	0.173219930936082	9.125176820145582e-4
<I0773.SG>	TSI2	717210	0.17305210205268756	8.934040434439263e-4
<I0773.SG>	CHB2	717210	0.1634666566167227	9.91932078134394e-4
<I0773.SG>	YRI2	717210	0.12786351356790526	4.225175857236698e-4
<I0774.SG>	CEU2	960366	0.17514451266657502	1.0128630244704653e-3
<I0774.SG>	FIN2	960366	0.17379516670953146	1.0093598857346996e-3
<I0774.SG>	GBR2	960366	0.17477727819972474	9.759928497720692e-4
<I0774.SG>	IBS2	960366	0.1740744079414973	1.0332759047471775e-3
<I0774.SG>	TSI2	960366	0.17377578807513702	1.0087745440252019e-3
<I0774.SG>	CHB2	960366	0.1642858705498072	1.1143178465407501e-3
<I0774.SG>	YRI2	960366	0.12864583388589299	5.405174442007836e-4
<I0777.SG>	CEU2	956055	0.17491640233138206	8.725953290443071e-4
<I0777.SG>	FIN2	956055	0.17362242509988088	8.567238829788521e-4
<I0777.SG>	GBR2	956055	0.1746400340752145	8.461151185632799e-4
<I0777.SG>	IBS2	956055	0.1738246280411756	8.443626628396874e-4
<I0777.SG>	TSI2	956055	0.17364294684633272	8.138207203287423e-4
<I0777.SG>	CHB2	956055	0.16392375827004904	9.031239326021587e-4
<I0777.SG>	YRI2	956055	0.1283678417885285	3.962678957496762e-4
<I0789.SG>	CEU2	510434	0.17436096123416245	9.937057005651047e-4
<I0789.SG>	FIN2	510434	0.1730283172407688	9.522613051365933e-4
<I0789.SG>	GBR2	510434	0.17407212946890963	9.845764113555738e-4
<I0789.SG>	IBS2	510434	0.17352723368741166	9.860912016328642e-4
<I0789.SG>	TSI2	510434	0.1733080121755065	9.681848680745001e-4
<I0789.SG>	CHB2	510434	0.16399950001778787	9.942777546300978e-4
<I0789.SG>	YRI2	510434	0.1282511086939627	6.164308990490091e-4
<3DT16.SG>	CEU2	487819	0.17409317546648878	1.0150206132491647e-3
<3DT16.SG>	FIN2	487819	0.17282677707717506	9.956810144721546e-4
<3DT16.SG>	GBR2	487819	0.17377110043775348	9.926536531779224e-4
<3DT16.SG>	IBS2	487819	0.1730772703654042	1.0583867703844818e-3
<3DT16.SG>	TSI2	487819	0.17303539392723236	1.0217009339751248e-3
