Left	Right	Norm	RAS	StdErr
<12880A>	CEU2	8168076	1.855980994108397e-6	6.36900983160806e-8
<12880A>	FIN2	8168076	1.3252499447900828e-6	5.737000397326675e-8
<12880A>	GBR2	8168076	1.8357299837161071e-6	6.409200609383862e-8
<12880A>	IBS2	8168076	1.5594976391129562e-6	5.566992221689562e-8
<12880A>	TSI2	8168076	1.4493125722746948e-6	5.6318276704459624e-8
<12880A>	CHB2	8168076	2.672806076769713e-7	2.899001805293829e-8
<12880A>	YRI2	8168076	7.584696928919466e-7	5.596713473229487e-8
<12881A>	CEU2	32235930	1.8782269273006019e-6	3.992303683712202e-8
<12881A>	FIN2	32235930	1.3754902118712583e-6	3.538659978812365e-8
<12881A>	GBR2	32235930	1.847683555362267e-6	4.185085312619699e-8
<12881A>	IBS2	32235930	1.432149364596174e-6	3.3757678722998525e-8
<12881A>	TSI2	32235930	1.3653797397588866e-6	2.881478519398367e-8
<12881A>	CHB2	32235930	2.434095946189655e-7	1.7000635611466455e-8
<12881A>	YRI2	32235930	6.052105153945856e-7	2.6923985679809243e-8
<12883A>	CEU2	32036157	1.9388530922062736e-6	4.305871755656074e-8
<12883A>	FIN2	32036157	1.5221203528855907e-6	4.338841885009567e-8
<12883A>	GBR2	32036157	1.883931727025493e-6	4.457441256043765e-8
<12883A>	IBS2	32036157	1.538142994997511e-6	3.8730354903018216e-8
<12883A>	TSI2	32036157	1.5131712107725806e-6	4.601896946689851e-8
<12883A>	CHB2	32036157	3.331631608227129e-7	1.9971201146537655e-8
<12883A>	YRI2	32036157	9.385228904536437e-7	3.2938181820412735e-8
<12884A>	CEU2	47383535	1.6635471006551366e-6	3.708182596028791e-8
<12884A>	FIN2	47383535	1.2690910591317586e-6	3.9609966912924035e-8
<12884A>	GBR2	47383535	1.7495291646031593e-6	6.222352835024348e-8
<12884A>	IBS2	47383535	1.5474533405709283e-6	3.412709817633402e-8
<12884A>	TSI2	47383535	1.4927829536849325e-6	3.854233450381388e-8
<12884A>	CHB2	47383535	1.60372371985123e-7	2.0341984080379707e-8
<12884A>	YRI2	47383535	3.20987528885799e-7	2.2395465444640942e-8
<12885A>	CEU2	3577722	1.9810451639281527e-6	9.38077039043445e-8
<12885A>	FIN2	3577722	1.3456699513519242e-6	8.871333876306721e-8
<12885A>	GBR2	3577722	1.871757842974708e-6	9.067327359202655e-8
<12885A>	IBS2	3577722	1.4920374579397787e-6	7.518189810614974e-8
<12885A>	TSI2	3577722	1.585206612316036e-6	7.849728699599475e-8
<12885A>	CHB2	3577722	2.518334568783997e-7	3.4426818088621453e-8
<12885A>	YRI2	3577722	9.2370561624461e-7	1.0491261786118207e-7
<15558A>	CEU2	26082558	2.1966332609320643e-6	5.621056378496889e-8
<15558A>	FIN2	26082558	1.735172292486147e-6	4.578815588492592e-8
<15558A>	GBR2	26082558	2.0438558504900117e-6	5.433865353986437e-8
<15558A>	IBS2	26082558	1.6254248565358537e-6	3.839578021941379e-8
<15558A>	TSI2	26082558	1.6995484656286938e-6	5.234699634467286e-8
<15558A>	CHB2	26082558	6.029977110480209e-7	2.2894561267851157e-8
<15558A>	YRI2	26082558	2.0453369277514545e-6	5.393730820016096e-8
<15569A>	CEU2	18862379	2.3176554158603636e-6	4.954479001632769e-8
<15569A>	FIN2	18862379	1.7454150620327982e-6	5.017530672399353e-8
<15569A>	GBR2	18862379	2.127473606756929e-6	4.7187902098289075e-8
<15569A>	IBS2	18862379	1.6755448453645152e-6	3.986594508641887e-8
<15569A>	TSI2	18862379	1.6487845992279117e-6	3.9163683093075594e-8
<15569A>	CHB2	18862379	7.744999128205995e-7	5.1950505583231594e-8
<15569A>	YRI2	18862379	2.3319282411680068e-6	7.270599234583413e-8
<15570A>	CEU2	45386618	1.8842694680775953e-6	3.5371187985481035e-8
<15570A>	FIN2	45386618	1.3752407322615637e-6	3.62704046551476e-8
<15570A>	GBR2	45386618	1.7705560383855438e-6	3.528986451642592e-8
<15570A>	IBS2	45386618	1.5056882017094842e-6	2.8782879174547376e-8
<15570A>	TSI2	45386618	1.4815569017029912e-6	3.13269551951799e-8
<15570A>	CHB2	45386618	2.8042897517231214e-7	1.4413588010189812e-8
<15570A>	YRI2	45386618	8.31165907180165e-7	2.8919402962776378e-8
<15577A>	CEU2	43297274	1.8529296815247842e-6	3.442403920504886e-8
<15577A>	FIN2	43297274	1.425174840499435e-6	4.004512761755558e-8
<15577A>	GBR2	43297274	1.900371346159222e-6	3.878764956175664e-8
<15577A>	IBS2	43297274	1.735730082045832e-6	3.432918396289214e-8
<15577A>	TSI2	43297274	1.5985829896423896e-6	4.003608546526338e-8
<15577A>	CHB2	43297274	4.0818429646939624e-7	1.6174263149841684e-8
<15577A>	YRI2	43297274	1.4400994610510825e-6	4.2330966691838346e-8
<15579A>	CEU2	7512203	2.1710380231358777e-6	7.578681282200125e-8
<15579A>	FIN2	7512203	1.6042626100163345e-6	5.9002860843261676e-8
<15579A>	GBR2	7512203	2.160529618096279e-6	7.762364256506983e-8
<15579A>	IBS2	7512203	2.1653656945461426e-6	6.35714550623753e-8
<15579A>	TSI2	7512203	2.0335167295386483e-6	6.181111310489873e-8
<15579A>	CHB2	7512203	1.2020046543333613e-6	5.37755708664674e-8
<15579A>	YRI2	7512203	4.443563676454489e-6	1.3938750086448849e-7
<3DT16>	CEU2	2092207	1.7862063371654164e-6	1.083121231321843e-7
<3DT16>	FIN2	2092207	1.4486749327631245e-6	1.041921681728333e-7
<3DT16>	GBR2	2092207	1.8608380657202208e-6	1.1690353668835082e-7
<3DT16>	IBS2	2092207	1.4907930329301115e-6	9.577144587637424e-8
<3DT16>	TSI2	2092207	1.5704537293462245e-6	1.1585333481574836e-7
<3DT16>	CHB2	2092207	2.5317904504527044e-7	5.4890111816508205e-8
<3DT16>	YRI2	2092207	8.01159003956336e-7	1.3853273133124636e-7
<3DT26>	CEU2	6790286	1.287466837366951e-6	5.517129733958e-8
<3DT26>	FIN2	6790286	9.291623873450166e-7	5.399401206631894e-8
<3DT26>	GBR2	6790286	1.2269675642759836e-6	5.555956383895343e-8
<3DT26>	IBS2	6790286	1.8303457952391679e-6	7.249219818241516e-8
<3DT26>	TSI2	6790286	2.1753764968704596e-6	1.0985143053805729e-7
<3DT26>	CHB2	6790286	3.426560638634851e-7	3.800175381935372e-8
<3DT26>	YRI2	6790286	2.8969955862578646e-6	1.9879957291240922e-7
<6DT18>	CEU2	5764109	1.6919488024233406e-6	7.438659107989345e-8
<6DT18>	FIN2	5764109	1.1008398392088435e-6	6.37738859013645e-8
<6DT18>	GBR2	5764109	1.6237636314298996e-6	6.748006707877513e-8
<6DT18>	IBS2	5764109	1.578734892070912e-6	7.321866566160796e-8
<6DT18>	TSI2	5764109	1.5019047795839443e-6	6.68485474589598e-8
<6DT18>	CHB2	5764109	1.9839395064105216e-7	2.8659183798497537e-8
<6DT18>	YRI2	5764109	5.031133172533683e-7	8.041915713089634e-8
<6DT21>	CEU2	6934091	1.7848465876484424e-6	8.008890427310844e-8
<6DT21>	FIN2	6934091	1.2221106997476218e-6	5.966247002088292e-8
<6DT21>	GBR2	6934091	1.7435432618997157e-6	6.711129421553719e-8
