Left	Right	Norm	RAS	StdErr
<12880A>	CEU2	3246123	2.460032170780121e-5	7.084482199359788e-7
<12880A>	FIN2	3246123	2.1624527563699762e-5	6.790765857110339e-7
<12880A>	GBR2	3246123	2.485592605653792e-5	7.363732184835891e-7
<12880A>	IBS2	3246123	2.347709061225461e-5	7.193213517545941e-7
<12880A>	TSI2	3246123	2.286097101358259e-5	7.171134471425481e-7
<12880A>	CHB2	3246123	7.719795565538972e-6	6.815745722995647e-7
<12880A>	YRI2	3246123	1.3733599244684326e-5	9.240021220709732e-7
<12881A>	CEU2	13377430	2.5053738959968962e-5	5.603715393689166e-7
<12881A>	FIN2	13377430	2.2995725736573155e-5	6.41289050941123e-7
<12881A>	GBR2	13377430	2.5062337304052295e-5	5.884292367932896e-7
<12881A>	IBS2	13377430	2.2799596036009888e-5	5.655110535761225e-7
<12881A>	TSI2	13377430	2.2616273757187964e-5	5.128887269337214e-7
<12881A>	CHB2	13377430	1.0351408867379803e-5	9.284047379445345e-7
<12881A>	YRI2	13377430	1.3860588141298267e-5	6.405459863347857e-7
<12883A>	CEU2	13297297	2.495546321824403e-5	4.956797882165051e-7
<12883A>	FIN2	13297297	2.3628164554757568e-5	5.569726275430267e-7
<12883A>	GBR2	13297297	2.4760037550015455e-5	5.014485192559809e-7
<12883A>	IBS2	13297297	2.2378697751594955e-5	4.548935958723458e-7
<12883A>	TSI2	13297297	2.2424535925287242e-5	5.128894547207389e-7
<12883A>	CHB2	13297297	8.151362574582708e-6	5.463048991778975e-7
<12883A>	YRI2	13297297	1.2312921297356254e-5	6.804551331428075e-7
<12884A>	CEU2	21593140	2.444146804203153e-5	5.501949175585392e-7
<12884A>	FIN2	21593140	2.306335758849106e-5	7.395256998913546e-7
<12884A>	GBR2	21593140	2.5040984458307938e-5	6.682630757682003e-7
<12884A>	IBS2	21593140	2.4151188757170074e-5	6.895219714941502e-7
<12884A>	TSI2	21593140	2.357781441786823e-5	5.566605239860951e-7
<12884A>	CHB2	21593140	8.869703640843694e-6	7.631627117488131e-7
<12884A>	YRI2	21593140	1.4046127612751088e-5	5.55316018271784e-7
<12885A>	CEU2	1387634	2.3974651267634973e-5	9.776884038599576e-7
<12885A>	FIN2	1387634	2.1571242626457463e-5	1.0044687008052696e-6
<12885A>	GBR2	1387634	2.3834118872746833e-5	1.035922690077722e-6
<12885A>	IBS2	1387634	2.2552948468571766e-5	9.539003382272658e-7
<12885A>	TSI2	1387634	2.2793165509472562e-5	9.81058284799346e-7
<12885A>	CHB2	1387634	7.39559295723783e-6	8.454490881609571e-7
<12885A>	YRI2	1387634	1.2281954134056336e-5	9.676471301338843e-7
<15558A>	CEU2	10987699	2.5364353017739162e-5	6.246407626333696e-7
<15558A>	FIN2	10987699	2.3860797218048902e-5	6.232732890312909e-7
<15558A>	GBR2	10987699	2.513536048638562e-5	6.364445499445533e-7
<15558A>	IBS2	10987699	2.276788494721837e-5	5.222060318332044e-7
<15558A>	TSI2	10987699	2.261186631999848e-5	6.342889296895983e-7
<15558A>	CHB2	10987699	7.589495226335458e-6	4.248276595462237e-7
<15558A>	YRI2	10987699	1.3073494190878285e-5	7.125014752534609e-7
<15569A>	CEU2	7768988	2.4631370873821405e-5	5.440069810933533e-7
<15569A>	FIN2	7768988	2.2845258106007405e-5	5.915692225639946e-7
<15569A>	GBR2	7768988	2.4470672312862616e-5	5.550603136251434e-7
<15569A>	IBS2	7768988	2.194255269430569e-5	5.109796913861424e-7
<15569A>	TSI2	7768988	2.2087205964951678e-5	5.264385230976357e-7
<15569A>	CHB2	7768988	7.1896668708414004e-6	4.4277130438995714e-7
<15569A>	YRI2	7768988	1.2950758285929344e-5	6.378363577975776e-7
<15570A>	CEU2	19946487	2.3938277255662805e-5	4.919039164202901e-7
<15570A>	FIN2	19946487	2.1485322254035375e-5	4.97879935516896e-7
<15570A>	GBR2	19946487	2.390356431342827e-5	5.169179443030729e-7
