Left	Right	Norm	RAS	StdErr
<12880A>	CEU2	10355947	5.161390114706723e-4	7.033317023017226e-6
<12880A>	FIN2	10355947	4.991145786774829e-4	6.889699697235004e-6
<12880A>	GBR2	10355947	5.194268861525447e-4	7.131728544499921e-6
<12880A>	IBS2	10355947	5.108005872880384e-4	6.888048196670321e-6
<12880A>	TSI2	10355947	5.123649058385302e-4	7.065957554700753e-6
<12880A>	CHB2	10355947	3.949995166454543e-4	6.881009305942819e-6
<12880A>	YRI2	10355947	4.555477709019344e-4	7.60000634673571e-6
<12881A>	CEU2	43213682	5.275522281763478e-4	6.132099281796167e-6
<12881A>	FIN2	43213682	5.136857483544125e-4	6.254672816059033e-6
<12881A>	GBR2	43213682	5.300249921002829e-4	6.349629337192006e-6
<12881A>	IBS2	43213682	5.141883403633932e-4	6.07537702040027e-6
<12881A>	TSI2	43213682	5.168795074362487e-4	6.189661403322173e-6
<12881A>	CHB2	43213682	4.1335608971856166e-4	6.837552242493499e-6
<12881A>	YRI2	43213682	4.5585143722812183e-4	6.5479557248367785e-6
<12883A>	CEU2	42558152	5.26446803723609e-4	6.37260819982054e-6
<12883A>	FIN2	42558152	5.146982944048581e-4	6.269844773259832e-6
<12883A>	GBR2	42558152	5.278535569428003e-4	6.428654465855743e-6
<12883A>	IBS2	42558152	5.144416447942977e-4	6.09385581133806e-6
<12883A>	TSI2	42558152	5.157918421609945e-4	6.115198181129663e-6
<12883A>	CHB2	42558152	4.115006666828975e-4	6.020703693363803e-6
<12883A>	YRI2	42558152	4.6189427272750683e-4	6.865697831487129e-6
<12884A>	CEU2	67723966	5.41236852336248e-4	7.473527970621511e-6
<12884A>	FIN2	67723966	5.294506822001547e-4	6.9089737035828275e-6
<12884A>	GBR2	67723966	5.460965744784734e-4	7.782265774543758e-6
<12884A>	IBS2	67723966	5.386533047287596e-4	7.701190963412919e-6
<12884A>	TSI2	67723966	5.415545074194132e-4	8.69387152496785e-6
<12884A>	CHB2	67723966	4.2364384838534735e-4	7.050535536922341e-6
<12884A>	YRI2	67723966	4.75092349069429e-4	7.504048156393284e-6
<12885A>	CEU2	4538830	5.135185049619145e-4	8.1689833344146e-6
<12885A>	FIN2	4538830	4.976508433494066e-4	7.054495885469418e-6
<12885A>	GBR2	4538830	5.142529554032716e-4	8.850231122039193e-6
<12885A>	IBS2	4538830	5.052927946713351e-4	9.081442885170158e-6
<12885A>	TSI2	4538830	5.09719150404084e-4	1.0614096011376592e-5
<12885A>	CHB2	4538830	3.968353775822589e-4	7.570427383969039e-6
<12885A>	YRI2	4538830	4.4780052925323855e-4	7.985174673885017e-6
<15558A>	CEU2	35422701	5.210180324583789e-4	6.243413535609992e-6
<15558A>	FIN2	35422701	5.127827345671939e-4	6.8058924712877615e-6
<15558A>	GBR2	35422701	5.226339668895667e-4	6.326194127250359e-6
<15558A>	IBS2	35422701	5.072801572453024e-4	6.030655354824036e-6
<15558A>	TSI2	35422701	5.110190832279049e-4	6.200827262558794e-6
<15558A>	CHB2	35422701	4.123277436194835e-4	6.576350694347998e-6
<15558A>	YRI2	35422701	4.608181575290881e-4	6.8163515724136e-6
<15569A>	CEU2	25532901	5.246757838195047e-4	7.362255938839965e-6
<15569A>	FIN2	25532901	5.128571938912413e-4	6.754607715351923e-6
<15569A>	GBR2	25532901	5.270212743343152e-4	7.930349828000983e-6
<15569A>	IBS2	25532901	5.14198934002465e-4	7.967510684031216e-6
<15569A>	TSI2	25532901	5.161571917029903e-4	9.333080481557832e-6
<15569A>	CHB2	25532901	4.0527810539719983e-4	6.291527676849959e-6
<15569A>	YRI2	25532901	4.6220831105791877e-4	6.855740895187781e-6
<15570A>	CEU2	62645312	5.43692949170558e-4	7.0438400053968235e-6
<15570A>	FIN2	62645312	5.312298844591932e-4	6.721555141709933e-6
<15570A>	GBR2	62645312	5.44986125102172e-4	7.44827776424607e-6
<15570A>	IBS2	62645312	5.366626636004309e-4	7.3587446818466985e-6
<15570A>	TSI2	62645312	5.395894208180756e-4	8.404890362241818e-6
<15570A>	CHB2	62645312	4.2418067441454105e-4	6.732828286400121e-6
<15570A>	YRI2	62645312	4.7059569733987966e-4	7.334503951812587e-6
<15577A>	CEU2	59648985	5.359035546503182e-4	7.166466580514976e-6
<15577A>	FIN2	59648985	5.215917341388671e-4	6.708701099763669e-6
<15577A>	GBR2	59648985	5.406205368311762e-4	7.693870980364509e-6
<15577A>	IBS2	59648985	5.308519659199734e-4	7.516183190835197e-6
<15577A>	TSI2	59648985	5.337775735193234e-4	8.665068635857068e-6
<15577A>	CHB2	59648985	4.062466112340721e-4	6.111474842194306e-6
