Left	Right	Norm	RAS	StdErr
<12880A>	CEU2	2548137	5.072151176516106e-4	8.437948008108156e-6
<12880A>	FIN2	2548137	4.896866454958324e-4	8.447864264526877e-6
<12880A>	GBR2	2548137	5.092219985543704e-4	8.723027853986766e-6
<12880A>	IBS2	2548137	5.022661093743615e-4	8.741078274919959e-6
<12880A>	TSI2	2548137	5.036826438109021e-4	8.808599529996682e-6
<12880A>	CHB2	2548137	3.963058439002364e-4	8.822443611830658e-6
<12880A>	YRI2	2548137	4.5981679575163715e-4	9.286480598360759e-6
<12881A>	CEU2	9998598	5.255185230577578e-4	6.8773438635881456e-6
<12881A>	FIN2	9998598	5.124486494243608e-4	7.148034440397703e-6
<12881A>	GBR2	9998598	5.280397615116426e-4	7.278926883760299e-6
<12881A>	IBS2	9998598	5.133286353413419e-4	6.924364012288444e-6
<12881A>	TSI2	9998598	5.15376541505405e-4	6.923860637935959e-6
<12881A>	CHB2	9998598	4.118389279365084e-4	7.4220257220362295e-6
<12881A>	YRI2	9998598	4.5946489316849867e-4	7.697512703917535e-6
<12883A>	CEU2	10001088	5.168788151313058e-4	6.5412708045137745e-6
<12883A>	FIN2	10001088	5.069010347344316e-4	6.288607247145462e-6
<12883A>	GBR2	10001088	5.184761740619248e-4	6.592160037468403e-6
<12883A>	IBS2	10001088	5.054997635304904e-4	6.336785019276959e-6
<12883A>	TSI2	10001088	5.071438703659521e-4	6.309917897011067e-6
<12883A>	CHB2	10001088	4.018478631109096e-4	6.6012212365100536e-6
<12883A>	YRI2	10001088	4.5369968509330967e-4	7.410358320722508e-6
<12884A>	CEU2	15075367	5.289820100661128e-4	8.222741662963608e-6
<12884A>	FIN2	15075367	5.177415800157251e-4	7.754617656050353e-6
<12884A>	GBR2	15075367	5.337533799268459e-4	8.213917199852399e-6
<12884A>	IBS2	15075367	5.26560662708593e-4	8.250251002605049e-6
<12884A>	TSI2	15075367	5.295200789346975e-4	8.615454587547333e-6
<12884A>	CHB2	15075367	4.1722084946539445e-4	7.806191147899014e-6
<12884A>	YRI2	15075367	4.7278830046771985e-4	8.131394439629029e-6
<12885A>	CEU2	1089962	5.198516615267601e-4	1.2195113210506236e-5
<12885A>	FIN2	1089962	5.05522210866067e-4	1.1959999020022447e-5
<12885A>	GBR2	1089962	5.219437708878791e-4	1.2384677617210493e-5
<12885A>	IBS2	1089962	5.14674998280849e-4	1.290937594001152e-5
<12885A>	TSI2	1089962	5.19987546966469e-4	1.3602755750281568e-5
<12885A>	CHB2	1089962	4.0892060529823906e-4	1.2479361917211503e-5
<12885A>	YRI2	1089962	4.6669167409156515e-4	1.4111690882128456e-5
<15558A>	CEU2	8089938	5.098385000812248e-4	7.411188772080246e-6
<15558A>	FIN2	8089938	5.026136667625706e-4	8.392764183146155e-6
<15558A>	GBR2	8089938	5.124856986654148e-4	7.673024033959843e-6
<15558A>	IBS2	8089938	4.962484320175319e-4	7.1703631608421474e-6
<15558A>	TSI2	8089938	4.998678605447907e-4	7.313496719594294e-6
<15558A>	CHB2	8089938	4.063169838780955e-4	8.070377549608519e-6
<15558A>	YRI2	8089938	4.469273170838004e-4	8.411145469967098e-6
<15569A>	CEU2	5763361	5.156257110047524e-4	7.972484758124708e-6
<15569A>	FIN2	5763361	5.0463198273712e-4	7.6758310151196e-6
<15569A>	GBR2	5763361	5.17079873623757e-4	8.028848847324746e-6
<15569A>	IBS2	5763361	5.034463149441539e-4	7.909305969223961e-6
<15569A>	TSI2	5763361	5.044328424730931e-4	8.653331183506394e-6
<15569A>	CHB2	5763361	4.003705820301384e-4	7.781023529439467e-6
<15569A>	YRI2	5763361	4.5322594956393705e-4	8.103317645330918e-6
<15570A>	CEU2	14423568	5.276115616547456e-4	7.1761753183489475e-6
<15570A>	FIN2	14423568	5.146595352913873e-4	7.0601622066329e-6
<15570A>	GBR2	14423568	5.287374732019431e-4	7.487245271918844e-6
<15570A>	IBS2	14423568	5.209928771075371e-4	6.986193989018243e-6
<15570A>	TSI2	14423568	5.233342831016314e-4	7.525537420592811e-6
<15570A>	CHB2	14423568	4.138430975890254e-4	7.267561151884191e-6
<15570A>	YRI2	14423568	4.610823328147647e-4	8.000952887397898e-6
<15577A>	CEU2	13739052	5.181178769545572e-4	6.730231379183248e-6
<15577A>	FIN2	13739052	5.041326085461607e-4	6.735544408904831e-6
<15577A>	GBR2	13739052	5.215408987526859e-4	6.928410775491405e-6
<15577A>	IBS2	13739052	5.132533369634453e-4	6.979827314631794e-6
<15577A>	TSI2	13739052	5.155075993806358e-4	7.543857631952071e-6
<15577A>	CHB2	13739052	3.909434995447234e-4	6.48274512020474e-6
<15577A>	YRI2	13739052	4.5873373699049046e-4	7.273023446510996e-6
<15579A>	CEU2	2331238	4.6857541990233e-4	9.18475222434684e-6
<15579A>	FIN2	2331238	4.5929315217259494e-4	7.990907573666908e-6
<15579A>	GBR2	2331238	4.7258248501054413e-4	1.0051167684013817e-5
<15579A>	IBS2	2331238	4.668171609942462e-4	1.0336102660296589e-5
<15579A>	TSI2	2331238	4.700261651289385e-4	1.233899198917782e-5
<15579A>	CHB2	2331238	3.732708407793766e-4	8.504112401972116e-6
<15579A>	YRI2	2331238	4.128360328799751e-4	8.462149470099956e-6
<3DT16>	CEU2	645155	5.015657150079894e-4	1.4495810955252162e-5
<3DT16>	FIN2	645155	4.799693704230111e-4	1.2811635680831609e-5
<3DT16>	GBR2	645155	5.024313031995881e-4	1.532904962958942e-5
<3DT16>	IBS2	645155	5.018653693778275e-4	1.6377746429597848e-5
<3DT16>	TSI2	645155	5.041387248763771e-4	1.9310021876145037e-5
<3DT16>	CHB2	645155	3.8245471903252044e-4	1.2870917108611859e-5
<3DT16>	YRI2	645155	4.531358466459334e-4	1.3775668331389274e-5
<3DT26>	CEU2	2169425	5.084130207431798e-4	8.828139638043913e-6
<3DT26>	FIN2	2169425	4.8248092723510155e-4	8.426719691269733e-6
<3DT26>	GBR2	2169425	5.079428052247574e-4	9.160660723713952e-6
<3DT26>	IBS2	2169425	5.288059102779594e-4	8.968107483558247e-6
<3DT26>	TSI2	2169425	5.440853594627058e-4	9.258370224319404e-6
<3DT26>	CHB2	2169425	4.3749330393587637e-4	9.084701044725615e-6
