Left	Right	Norm	RAS	StdErr
<12880A>	CEU2	3246123	1.0615669227948885e-2	9.883562345372002e-5
<12880A>	FIN2	3246123	1.055946895775249e-2	9.931970221801909e-5
<12880A>	GBR2	3246123	1.0622677222622987e-2	1.0013531707830929e-4
<12880A>	IBS2	3246123	1.0523734958668573e-2	9.73914758779757e-5
<12880A>	TSI2	3246123	1.0514142563297826e-2	9.697400860255149e-5
<12880A>	CHB2	3246123	9.50097749966912e-3	9.253057307829156e-5
<12880A>	YRI2	3246123	7.267717446906591e-3	7.402066022548758e-5
<12881A>	CEU2	13377430	1.0798619256155804e-2	9.17248576911378e-5
<12881A>	FIN2	13377430	1.0746285378609426e-2	9.230000013971511e-5
<12881A>	GBR2	13377430	1.080730963196127e-2	9.214748870831325e-5
<12881A>	IBS2	13377430	1.0677555938835575e-2	9.005898166827382e-5
<12881A>	TSI2	13377430	1.0679097625805625e-2	9.060584772844346e-5
<12881A>	CHB2	13377430	9.649251251422497e-3	8.642969160883449e-5
<12881A>	YRI2	13377430	7.366398905790253e-3	6.968031525693919e-5
<12883A>	CEU2	13297297	1.0811179826408699e-2	9.801077739473996e-5
<12883A>	FIN2	13297297	1.0762278329212786e-2	9.884104106101612e-5
<12883A>	GBR2	13297297	1.0811991643485421e-2	9.765866548716763e-5
<12883A>	IBS2	13297297	1.0686196493274432e-2	9.479431999430239e-5
<12883A>	TSI2	13297297	1.067909658990238e-2	9.492462180799149e-5
<12883A>	CHB2	13297297	9.68550522741279e-3	9.368025650062717e-5
<12883A>	YRI2	13297297	7.369944647934304e-3	7.729460323947127e-5
<12884A>	CEU2	21593140	1.0995165570386519e-2	1.016150085335926e-4
<12884A>	FIN2	21593140	1.0948984905276666e-2	1.0242224446229398e-4
<12884A>	GBR2	21593140	1.1009299374552715e-2	1.0021862131073041e-4
<12884A>	IBS2	21593140	1.0902634774174531e-2	9.661137471538563e-5
<12884A>	TSI2	21593140	1.089932044996477e-2	9.651644958893011e-5
<12884A>	CHB2	21593140	9.873917648781686e-3	9.480418165386038e-5
<12884A>	YRI2	21593140	7.543545906576942e-3	8.043987376404797e-5
<12885A>	CEU2	1387634	1.0579942282234349e-2	1.0962314758250751e-4
<12885A>	FIN2	1387634	1.0515221124961952e-2	1.113944183288533e-4
<12885A>	GBR2	1387634	1.0581271851417358e-2	1.0996711458133285e-4
<12885A>	IBS2	1387634	1.0472186401285865e-2	1.0861502040437384e-4
<12885A>	TSI2	1387634	1.047740254274542e-2	1.0879884848362487e-4
<12885A>	CHB2	1387634	9.478524432434802e-3	1.0966084303721018e-4
<12885A>	YRI2	1387634	7.177726362179899e-3	7.909394930986713e-5
<15558A>	CEU2	10987699	1.0768694633674617e-2	9.669443923893721e-5
<15558A>	FIN2	10987699	1.0730588759433916e-2	1.0005931283302492e-4
<15558A>	GBR2	10987699	1.0772964374764951e-2	9.713589220947943e-5
<15558A>	IBS2	10987699	1.0641136489259925e-2	9.436915451954988e-5
<15558A>	TSI2	10987699	1.06416522174999e-2	9.532082119845039e-5
<15558A>	CHB2	10987699	9.640599901852986e-3	9.27107083745323e-5
<15558A>	YRI2	10987699	7.342717221018403e-3	7.539681340995836e-5
<15569A>	CEU2	7768988	1.0624387921315004e-2	9.432111715364699e-5
<15569A>	FIN2	7768988	1.0584069676678404e-2	9.451411925432373e-5
<15569A>	GBR2	7768988	1.0631319019625262e-2	9.318767150649395e-5
