Left	Right	Norm	RAS	StdErr
<12880A>	CEU2	8168076	1.0813322021302724e-2	8.028912713111537e-5
<12880A>	FIN2	8168076	1.0754185582337764e-2	8.074213188764021e-5
<12880A>	GBR2	8168076	1.0819834479634943e-2	8.053286351937185e-5
<12880A>	IBS2	8168076	1.0716028853702889e-2	7.937931913423222e-5
<12880A>	TSI2	8168076	1.0710690416364067e-2	7.925184258387656e-5
<12880A>	CHB2	8168076	9.672735490446137e-3	7.704449078178296e-5
<12880A>	YRI2	8168076	7.402124354096886e-3	6.112327532900426e-5
<12881A>	CEU2	32235930	1.0878954363662107e-2	8.003209227641793e-5
<12881A>	FIN2	32235930	1.0825237649194037e-2	8.087712141958651e-5
<12881A>	GBR2	32235930	1.0886362940602766e-2	8.029407857928495e-5
<12881A>	IBS2	32235930	1.0756142070575996e-2	7.905182249647915e-5
<12881A>	TSI2	32235930	1.0758040720992006e-2	7.888174328876142e-5
<12881A>	CHB2	32235930	9.719745472007952e-3	7.716877477037663e-5
<12881A>	YRI2	32235930	7.44251744648198e-3	6.12288598682957e-5
<12883A>	CEU2	32036157	1.0894920270513713e-2	8.319091556540795e-5
<12883A>	FIN2	32036157	1.084493599419393e-2	8.41673590895176e-5
<12883A>	GBR2	32036157	1.0896824197312973e-2	8.309243303124753e-5
<12883A>	IBS2	32036157	1.0771107931638149e-2	8.073627022519928e-5
<12883A>	TSI2	32036157	1.0765969838392285e-2	8.053383471827147e-5
<12883A>	CHB2	32036157	9.766224827815273e-3	8.025740547113798e-5
<12883A>	YRI2	32036157	7.448794423720916e-3	6.45722823699555e-5
<12884A>	CEU2	47383535	1.098439824206238e-2	8.94112736884936e-5
<12884A>	FIN2	47383535	1.0935785614398997e-2	9.081298207043773e-5
<12884A>	GBR2	47383535	1.0998177135495592e-2	8.859806901239901e-5
<12884A>	IBS2	47383535	1.0893104032666126e-2	8.599770811764823e-5
<12884A>	TSI2	47383535	1.0889422122805201e-2	8.551693903787803e-5
<12884A>	CHB2	47383535	9.86872087926996e-3	8.417202403473021e-5
<12884A>	YRI2	47383535	7.5389955000794515e-3	7.024217327403687e-5
<12885A>	CEU2	3577722	1.0663186666200777e-2	8.216116485524527e-5
<12885A>	FIN2	3577722	1.0610983604801064e-2	8.231160267957148e-5
<12885A>	GBR2	3577722	1.066010530120198e-2	8.200650108889313e-5
<12885A>	IBS2	3577722	1.0553540306746387e-2	8.14680567370501e-5
<12885A>	TSI2	3577722	1.0555764387560158e-2	8.186982068685826e-5
<12885A>	CHB2	3577722	9.55718900085995e-3	8.223256455790259e-5
