Left	Right	Norm	RAS	StdErr
<12880A>	CEU2	10355947	1.0050175273611068e-2	6.947867811560764e-5
<12880A>	FIN2	10355947	9.993828348197507e-3	6.898258635168595e-5
<12880A>	GBR2	10355947	1.0054980263671603e-2	6.957708774739771e-5
<12880A>	IBS2	10355947	9.95488044557531e-3	6.841322011985824e-5
<12880A>	TSI2	10355947	9.949488558649073e-3	6.79655279962494e-5
<12880A>	CHB2	10355947	8.934443060772814e-3	6.673246119460083e-5
<12880A>	YRI2	10355947	6.756659218312401e-3	5.156694572120615e-5
<12881A>	CEU2	43213682	1.0176625871102678e-2	6.890184530043139e-5
<12881A>	FIN2	43213682	1.0125832130914504e-2	6.9443775155611e-5
<12881A>	GBR2	43213682	1.0183858103504754e-2	6.939084474294336e-5
<12881A>	IBS2	43213682	1.0056876144436113e-2	6.795637256644566e-5
<12881A>	TSI2	43213682	1.005738854828872e-2	6.781440923678485e-5
<12881A>	CHB2	43213682	9.036332016740022e-3	6.60583765046927e-5
<12881A>	YRI2	43213682	6.829001298158078e-3	5.0859981833209457e-5
<12883A>	CEU2	42558152	1.0192763427738415e-2	7.411287135834585e-5
<12883A>	FIN2	42558152	1.0144168548726216e-2	7.449120544562349e-5
<12883A>	GBR2	42558152	1.0193506997783156e-2	7.36268323830773e-5
<12883A>	IBS2	42558152	1.007160161420901e-2	7.15589970719992e-5
<12883A>	TSI2	42558152	1.0063834314896722e-2	7.093160618459005e-5
<12883A>	CHB2	42558152	9.082637849928668e-3	6.871033722200889e-5
<12883A>	YRI2	42558152	6.835846743578163e-3	5.634851672961568e-5
<12884A>	CEU2	67723966	1.0375760320582197e-2	8.225408666090386e-5
<12884A>	FIN2	67723966	1.0329777801532733e-2	8.287993739619154e-5
<12884A>	GBR2	67723966	1.0388817307485485e-2	8.133040392754695e-5
<12884A>	IBS2	67723966	1.0285247505749311e-2	7.844842756826639e-5
<12884A>	TSI2	67723966	1.0280567654376793e-2	7.738187001865324e-5
<12884A>	CHB2	67723966	9.268040656346533e-3	7.649879639447032e-5
<12884A>	YRI2	67723966	6.998637253886922e-3	6.371697862816079e-5
<12885A>	CEU2	4538830	9.889838089206463e-3	7.057086121277248e-5
<12885A>	FIN2	4538830	9.842063617330333e-3	7.061764119032747e-5
<12885A>	GBR2	4538830	9.887948898972551e-3	7.049066769903836e-5
<12885A>	IBS2	4538830	9.783525080881436e-3	6.989768249954726e-5
<12885A>	TSI2	4538830	9.785894057237099e-3	7.031885797134371e-5
<12885A>	CHB2	4538830	8.817140099981713e-3	6.974222776490183e-5
<12885A>	YRI2	4538830	6.62496512894083e-3	5.1073173883846406e-5
<15558A>	CEU2	35422701	1.0177841727255551e-2	7.23325245676004e-5
<15558A>	FIN2	35422701	1.014294390120519e-2	7.400175977123053e-5
<15558A>	GBR2	35422701	1.0182296959064686e-2	7.243241895282946e-5
<15558A>	IBS2	35422701	1.0056038841952138e-2	7.068838370151517e-5
<15558A>	TSI2	35422701	1.0054013909651558e-2	7.112690688789027e-5
<15558A>	CHB2	35422701	9.070197416315292e-3	6.900751826345769e-5
<15558A>	YRI2	35422701	6.8276017471986476e-3	5.3890322597407135e-5
<15569A>	CEU2	25532901	1.0049510419484852e-2	7.02277175377084e-5
<15569A>	FIN2	25532901	1.0004310399758697e-2	7.011949462538083e-5
<15569A>	GBR2	25532901	1.0058175484109876e-2	6.974283155575757e-5
<15569A>	IBS2	25532901	9.935805309914962e-3	6.810488104601373e-5
<15569A>	TSI2	25532901	9.93505110094917e-3	6.801273325167465e-5
<15569A>	CHB2	25532901	8.918800937901213e-3	6.593537760908977e-5
<15569A>	YRI2	25532901	6.733235231336565e-3	5.2396377371779195e-5
<15570A>	CEU2	62645312	1.0322900781565041e-2	7.617320805207899e-5
<15570A>	FIN2	62645312	1.0277652416641187e-2	7.632584076920828e-5
<15570A>	GBR2	62645312	1.0324078936144737e-2	7.591832381988992e-5
<15570A>	IBS2	62645312	1.022468886114773e-2	7.419329228234758e-5
<15570A>	TSI2	62645312	1.0213937857146032e-2	7.383431201083736e-5
<15570A>	CHB2	62645312	9.192750176905452e-3	7.251690157567137e-5
<15570A>	YRI2	62645312	6.952591774982006e-3	5.899701758065875e-5
<15577A>	CEU2	59648985	1.0263601766820542e-2	7.53572714532009e-5
<15577A>	FIN2	59648985	1.0217734721800183e-2	7.53329577011006e-5
<15577A>	GBR2	59648985	1.027470199105349e-2	7.500882936849108e-5
<15577A>	IBS2	59648985	1.0171963369975041e-2	7.296165042887247e-5
