Left	Right	Norm	RAS	StdErr
<12880A>	CEU2	2548137	9.984377549429288e-3	8.982295458428772e-5
<12880A>	FIN2	2548137	9.932880455872485e-3	9.052049444777116e-5
<12880A>	GBR2	2548137	9.993280263585222e-3	9.034589843609056e-5
<12880A>	IBS2	2548137	9.897789565287822e-3	8.814922717959203e-5
<12880A>	TSI2	2548137	9.88621621731223e-3	8.763303430187989e-5
<12880A>	CHB2	2548137	8.897403075344073e-3	8.398368238979735e-5
<12880A>	YRI2	2548137	6.751148929964277e-3	6.642462056556802e-5
<12881A>	CEU2	9998598	1.0085935697669354e-2	8.272536936336565e-5
<12881A>	FIN2	9998598	1.0035744124728343e-2	8.339309438557316e-5
<12881A>	GBR2	9998598	1.0096708817003109e-2	8.373000439242747e-5
<12881A>	IBS2	9998598	9.970720752192318e-3	8.119895995222346e-5
<12881A>	TSI2	9998598	9.97251147944275e-3	8.075793502804093e-5
<12881A>	CHB2	9998598	8.96118111006688e-3	7.840580544923637e-5
<12881A>	YRI2	9998598	6.8151026202445016e-3	6.239125330297711e-5
<12883A>	CEU2	10001088	1.0098231724759477e-2	8.277974228911535e-5
<12883A>	FIN2	10001088	1.0049993158682477e-2	8.399689920535782e-5
<12883A>	GBR2	10001088	1.0100899898495533e-2	8.36518290903121e-5
<12883A>	IBS2	10001088	9.977988680545842e-3	8.014311635273998e-5
<12883A>	TSI2	10001088	9.97195409901308e-3	8.040424135386613e-5
<12883A>	CHB2	10001088	8.993598229185933e-3	7.95832313596011e-5
<12883A>	YRI2	10001088	6.812651640644353e-3	6.888007687470676e-5
<12884A>	CEU2	15075367	1.0175070200663987e-2	8.698206350368971e-5
<12884A>	FIN2	15075367	1.0128685732106908e-2	8.870567245677661e-5
<12884A>	GBR2	15075367	1.0188952017634851e-2	8.634462338684938e-5
<12884A>	IBS2	15075367	1.0086455859384634e-2	8.300560663166483e-5
<12884A>	TSI2	15075367	1.0082329923346064e-2	8.267108357550251e-5
<12884A>	CHB2	15075367	9.091231640685529e-3	8.012038356530786e-5
<12884A>	YRI2	15075367	6.906616033199819e-3	6.978765397191147e-5
<12885A>	CEU2	1089962	9.94927809551745e-3	1.0487066374471946e-4
<12885A>	FIN2	1089962	9.89310948644251e-3	1.0591670986536528e-4
<12885A>	GBR2	1089962	9.956387717794675e-3	1.0494182296162476e-4
<12885A>	IBS2	1089962	9.853104533744774e-3	1.0297073863694094e-4
<12885A>	TSI2	1089962	9.848997793806878e-3	1.0297477750465722e-4
<12885A>	CHB2	1089962	8.88150229090556e-3	1.0854866759887579e-4
<12885A>	YRI2	1089962	6.6606384967025055e-3	7.613262586358125e-5
