Left	Right	Norm	RAS	StdErr
<12880A>	CEU2	8168076	1.012692080275534e-2	7.08787865626035e-5
<12880A>	FIN2	8168076	1.0070655738670773e-2	7.130612213180564e-5
<12880A>	GBR2	8168076	1.0132741174298575e-2	7.124687276877318e-5
<12880A>	IBS2	8168076	1.0032110726827576e-2	7.009983646662963e-5
<12880A>	TSI2	8168076	1.0026421912636004e-2	6.98120158969821e-5
<12880A>	CHB2	8168076	9.005878859390762e-3	6.767991460785203e-5
<12880A>	YRI2	8168076	6.828736424004639e-3	5.360907811367431e-5
<12881A>	CEU2	32235930	1.0178769402283244e-2	7.09244881972497e-5
<12881A>	FIN2	32235930	1.012717540724815e-2	7.178856540815679e-5
<12881A>	GBR2	32235930	1.0186262535854126e-2	7.124058656835765e-5
<12881A>	IBS2	32235930	1.0060037710361416e-2	6.993795723297987e-5
<12881A>	TSI2	32235930	1.0061128921022223e-2	6.968422205882447e-5
<12881A>	CHB2	32235930	9.038367227727778e-3	6.836222760383904e-5
<12881A>	YRI2	32235930	6.859080476202744e-3	5.361141445214679e-5
<12883A>	CEU2	32036157	1.0196311598025247e-2	7.486281214311144e-5
<12883A>	FIN2	32036157	1.0147625468323566e-2	7.592526011083867e-5
<12883A>	GBR2	32036157	1.0198319376264678e-2	7.466979777020275e-5
<12883A>	IBS2	32036157	1.0076705041803375e-2	7.220201714125689e-5
<12883A>	TSI2	32036157	1.007063258763112e-2	7.191786475388893e-5
<12883A>	CHB2	32036157	9.087276165508681e-3	7.194446879219674e-5
<12883A>	YRI2	32036157	6.866678202144565e-3	5.788922693926695e-5
<12884A>	CEU2	47383535	1.0285757739596045e-2	8.0973663526841e-5
<12884A>	FIN2	47383535	1.023842725724579e-2	8.235471999289383e-5
<12884A>	GBR2	47383535	1.0298734914820813e-2	8.007262701914064e-5
<12884A>	IBS2	47383535	1.0196454266636032e-2	7.721552777232752e-5
<12884A>	TSI2	47383535	1.0192248968218305e-2	7.670431143571216e-5
<12884A>	CHB2	47383535	9.188824036588538e-3	7.564228648437457e-5
<12884A>	YRI2	47383535	6.956993454733658e-3	6.365811687755812e-5
<12885A>	CEU2	3577722	9.982861178664993e-3	7.284786454331242e-5
<12885A>	FIN2	3577722	9.93283798732566e-3	7.302063311511718e-5
<12885A>	GBR2	3577722	9.979590993148994e-3	7.265863108986432e-5
<12885A>	IBS2	3577722	9.876851407523712e-3	7.220460316203734e-5
<12885A>	TSI2	3577722	9.878097212216514e-3	7.249138994053614e-5
