Left	Right	Norm	RAS	StdErr
<I0156.SG>	Basque2	641450	5.196559877361189e-7	1.7249701573623991e-7
<I0156.SG>	BergamoItalian2	641450	7.307662327539169e-7	2.9412111113233735e-7
<I0156.SG>	French2	641450	9.489370210833465e-7	2.54999181703623e-7
<I0156.SG>	Han2	641450	5.2615168758282e-7	1.3413926698828574e-7
<I0156.SG>	Karitiana2	641450	7.79483981604178e-7	4.00896101588506e-7
<I0156.SG>	Mbuti2	641450	7.968058478620488e-6	1.645406544109025e-6
<I0156.SG>	Orcadian2	641450	1.259166431822133e-6	4.0192455708383863e-7
<I0156.SG>	Russian2	641450	6.023285312395916e-7	2.1643234724553386e-7
<I0156.SG>	Sardinian2	641450	5.846129862031337e-7	1.482380514436978e-7
<I0157.SG>	Basque2	1063039	6.010023046086636e-7	1.3063678150966733e-7
<I0157.SG>	BergamoItalian2	1063039	6.173338889730292e-7	1.5164972558309324e-7
<I0157.SG>	French2	1063039	1.0020492110866555e-6	2.0595846864574216e-7
<I0157.SG>	Han2	1063039	4.1155592598201956e-7	9.854592368121768e-8
<I0157.SG>	Karitiana2	1063039	0.0	0.0
<I0157.SG>	Mbuti2	1063039	7.212027655303964e-6	7.810952378343534e-7
<I0157.SG>	Orcadian2	1063039	9.768800001331447e-7	2.8254518664358877e-7
<I0157.SG>	Russian2	1063039	6.841449159181617e-7	1.4484986107955913e-7
<I0157.SG>	Sardinian2	1063039	5.879370371171708e-7	1.646398521611013e-7
<I0159.SG>	Basque2	1042128	8.52955576367672e-7	1.812219339366489e-7
<I0159.SG>	BergamoItalian2	1042128	8.696148649686027e-7	1.5038529088447982e-7
<I0159.SG>	French2	1042128	1.147317962777166e-6	1.9256638261665384e-7
<I0159.SG>	Han2	1042128	5.277662628774964e-7	1.5956091009117463e-7
<I0159.SG>	Karitiana2	1042128	4.797875117068152e-7	1.901489485668879e-7
<I0159.SG>	Mbuti2	1042128	1.231454613380826e-5	1.323919852808328e-6
<I0159.SG>	Orcadian2	1042128	8.857615600741199e-7	2.7149825610919466e-7
<I0159.SG>	Russian2	1042128	6.76064221041421e-7	1.2915840210041245e-7
<I0159.SG>	Sardinian2	1042128	8.396281454869273e-7	1.8767551525284485e-7
<I0160.SG>	Basque2	1129809	6.638290188872635e-7	1.721755972034098e-7
<I0160.SG>	BergamoItalian2	1129809	6.085099339799913e-7	1.4575795785397542e-7
<I0160.SG>	French2	1129809	6.349668876312948e-7	2.073077311301689e-7
<I0160.SG>	Han2	1129809	2.4340397359199644e-7	6.843315008461537e-8
<I0160.SG>	Karitiana2	1129809	3.540421434065403e-7	1.9468730720209825e-7
<I0160.SG>	Mbuti2	1129809	5.408977190933257e-6	7.004754962537537e-7
<I0160.SG>	Orcadian2	1129809	7.489353033599888e-7	2.6534453227167655e-7
<I0160.SG>	Russian2	1129809	7.04061080638006e-7	1.6448053672233137e-7
<I0160.SG>	Sardinian2	1129809	4.241129842890854e-7	8.025065066453447e-8
<I0161.SG>	Basque2	579520	5.272562733910058e-7	2.3330903283606045e-7
<I0161.SG>	BergamoItalian2	579520	6.470872446162342e-7	1.8985019634508553e-7
<I0161.SG>	French2	579520	6.377091686073028e-7	1.6101993209809778e-7
<I0161.SG>	Han2	579520	7.765046935394809e-7	2.1736416653022476e-7
<I0161.SG>	Karitiana2	579520	1.7255659856432906e-7	1.6787540118402949e-7
<I0161.SG>	Mbuti2	579520	8.627829928216458e-6	9.625119740670362e-7
<I0161.SG>	Orcadian2	579520	7.96415070296903e-7	2.107665791908454e-7
<I0161.SG>	Russian2	579520	7.059133577631638e-7	2.1951073540677604e-7
<I0161.SG>	Sardinian2	579520	8.987322841892149e-7	1.7771804471758842e-7
<I0769.SG>	Basque2	923720	8.420059950826853e-7	2.041051767748333e-7
<I0769.SG>	BergamoItalian2	923720	8.795955484345905e-7	2.7247845130989257e-7
<I0769.SG>	French2	923720	8.23701516928713e-7	1.5461067230195177e-7
<I0769.SG>	Han2	923720	5.14225089854068e-7	9.6591191039324e-8
<I0769.SG>	Karitiana2	923720	2.706447841337202e-7	1.4511604225919077e-7
<I0769.SG>	Mbuti2	923720	9.983785370266124e-6	1.026730306407879e-6
<I0769.SG>	Orcadian2	923720	1.2491297729248615e-6	2.448807784677127e-7
<I0769.SG>	Russian2	923720	8.119343524011599e-7	2.389140909859088e-7
<I0769.SG>	Sardinian2	923720	6.99165692345444e-7	1.8330291970713477e-7
<I0773.SG>	Basque2	820790	9.475965567048552e-7	2.868453743590093e-7
<I0773.SG>	BergamoItalian2	820790	9.137538225368243e-7	2.312621280941696e-7
