Left	Right	Norm	RAS	StdErr
<I0156.SG>	Basque2	597484	4.649124960296475e-7	1.966673019555476e-7
<I0156.SG>	BergamoItalian2	597484	7.845398370500298e-7	2.692160123615051e-7
<I0156.SG>	French2	597484	1.0187647739084438e-6	2.7791369541564345e-7
<I0156.SG>	Han2	597484	5.648686826760213e-7	1.2991661326585464e-7
<I0156.SG>	Karitiana2	597484	8.368424928533651e-7	4.264499652136006e-7
<I0156.SG>	Mbuti2	597484	8.182459930121795e-6	1.1781042158353671e-6
<I0156.SG>	Orcadian2	597484	1.351822488455435e-6	4.2564033099210976e-7
<I0156.SG>	Russian2	597484	6.466510172048725e-7	1.9255180874632153e-7
<I0156.SG>	Sardinian2	597484	5.57894995235577e-7	1.4332501683263172e-7
<I0157.SG>	Basque2	989464	5.614712162903914e-7	1.7526567446014118e-7
<I0157.SG>	BergamoItalian2	989464	6.3165511832669e-7	1.8676311384705503e-7
<I0157.SG>	French2	989464	1.0765600277567927e-6	1.6351099430535037e-7
<I0157.SG>	Han2	989464	3.537268662629465e-7	1.0112728648394565e-7
<I0157.SG>	Karitiana2	989464	0.0	0.0
<I0157.SG>	Mbuti2	989464	7.579861419920281e-6	6.538631624767957e-7
<I0157.SG>	Orcadian2	989464	1.0495192735274229e-6	3.116045685620349e-7
<I0157.SG>	Russian2	989464	6.890783109018432e-7	1.3392549580176814e-7
<I0157.SG>	Sardinian2	989464	6.316551183266901e-7	1.2871698994023835e-7
<I0159.SG>	Basque2	969661	8.594068786239043e-7	2.880000691687135e-7
<I0159.SG>	BergamoItalian2	969661	9.346049805034955e-7	2.3024686404716686e-7
<I0159.SG>	French2	969661	1.1658041136115558e-6	1.630542263335223e-7
<I0159.SG>	Han2	969661	5.672085398917762e-7	1.7826768905687035e-7
<I0159.SG>	Karitiana2	969661	5.156441271743422e-7	1.9087792809708575e-7
<I0159.SG>	Mbuti2	969661	1.2776515595542043e-5	1.2925758603323463e-6
<I0159.SG>	Orcadian2	969661	8.329635900508602e-7	3.2031819076395786e-7
<I0159.SG>	Russian2	969661	7.265894519274818e-7	1.8328350370039072e-7
<I0159.SG>	Sardinian2	969661	9.023772225550998e-7	1.5543211856995372e-7
<I0160.SG>	Basque2	1046051	7.169822503874097e-7	1.8553674325905086e-7
<I0160.SG>	BergamoItalian2	1046051	6.273594690889832e-7	1.900709432966038e-7
<I0160.SG>	French2	1046051	6.442449206379616e-7	2.148130656423105e-7
<I0160.SG>	Han2	1046051	2.5094378763559327e-7	7.879835271731936e-8
<I0160.SG>	Karitiana2	1046051	3.823905335399516e-7	2.0915688192657404e-7
<I0160.SG>	Mbuti2	1046051	5.523418817799304e-6	7.332577501509708e-7
<I0160.SG>	Orcadian2	1046051	7.721347311864404e-7	2.7740020994197015e-7
<I0160.SG>	Russian2	1046051	7.604357201078579e-7	1.6518616133700856e-7
<I0160.SG>	Sardinian2	1046051	4.580719933030677e-7	9.603406848223941e-8
<I0161.SG>	Basque2	541298	5.644867624775183e-7	2.5255646485861413e-7
<I0161.SG>	BergamoItalian2	541298	6.927792084951358e-7	1.9505633168844488e-7
<I0161.SG>	French2	541298	6.827389301111478e-7	1.916274504856988e-7
<I0161.SG>	Han2	541298	8.313350501941628e-7	1.7608935346085278e-7
<I0161.SG>	Karitiana2	541298	1.8474112226536949e-7	1.802924739400877e-7
<I0161.SG>	Mbuti2	541298	9.23705611326848e-6	1.0185389669931088e-6
<I0161.SG>	Orcadian2	541298	8.526513335324742e-7	2.610205355910858e-7
<I0161.SG>	Russian2	541298	7.557591365401474e-7	2.5197888859410907e-7
<I0161.SG>	Sardinian2	541298	9.62193345132134e-7	2.1007474338065923e-7
