Left	Right	Norm	RAS	StdErr
<I0156.SG>	Basque2	126051	6.170341986797232e-6	2.9981498142910128e-6
<I0156.SG>	BergamoItalian2	126051	5.45414157761541e-6	2.4816420804947742e-6
<I0156.SG>	French2	126051	5.346352218373996e-6	1.569539256562311e-6
<I0156.SG>	Han2	126051	1.0908283155230815e-6	6.578483601069746e-7
<I0156.SG>	Karitiana2	126051	7.933296840167867e-7	6.821890801592373e-7
<I0156.SG>	Mbuti2	126051	8.374035553510532e-6	3.1591795575143354e-6
<I0156.SG>	Orcadian2	126051	4.5769020231737675e-6	2.084870986421997e-6
<I0156.SG>	Russian2	126051	4.868159424648463e-6	1.4831656624930702e-6
<I0156.SG>	Sardinian2	126051	4.627756490097926e-6	1.6581717023345531e-6
<I0157.SG>	Basque2	209020	3.98685931170861e-6	1.3045974440179554e-6
<I0157.SG>	BergamoItalian2	209020	2.990144483781456e-6	4.5369106292748596e-7
<I0157.SG>	French2	209020	5.824281429278661e-6	1.3189842165870225e-6
<I0157.SG>	Han2	209020	4.1862022772940347e-7	4.710428270192748e-7
<I0157.SG>	Karitiana2	209020	4.784231174050329e-7	4.120944835702757e-7
<I0157.SG>	Mbuti2	209020	1.1163206072784106e-5	1.8480505661989369e-6
<I0157.SG>	Orcadian2	209020	3.680177826192559e-6	1.3135032905142429e-6
<I0157.SG>	Russian2	209020	3.8056384339036694e-6	4.678088529336069e-7
<I0157.SG>	Sardinian2	209020	2.790801518196027e-6	4.3153830508389216e-7
<I0159.SG>	Basque2	205412	4.0568872964253975e-6	9.454394404496825e-9
<I0159.SG>	BergamoItalian2	205412	6.845997312717855e-6	1.295554584580169e-6
<I0159.SG>	French2	205412	6.4557423934421485e-6	5.883983845444708e-7
<I0159.SG>	Han2	205412	1.0345062605884758e-6	8.897343426080038e-7
<I0159.SG>	Karitiana2	205412	4.868264755710473e-7	7.998372197823065e-7
<I0159.SG>	Mbuti2	205412	6.7614788273756624e-6	1.7833165374455615e-6
<I0159.SG>	Orcadian2	205412	4.493782851425051e-6	1.0109211151118757e-6
<I0159.SG>	Russian2	205412	5.089549517333674e-6	1.0977021616304388e-6
<I0159.SG>	Sardinian2	205412	3.042665472319048e-6	7.69864852523318e-7
<I0160.SG>	Basque2	223956	3.1008074998858917e-6	9.151065185589399e-7
<I0160.SG>	BergamoItalian2	223956	5.162844487310007e-6	1.2797924990293592e-6
<I0160.SG>	French2	223956	4.368094043317512e-6	7.162650517602321e-7
<I0160.SG>	Han2	223956	1.172105234956866e-6	2.780234877417891e-7
<I0160.SG>	Karitiana2	223956	2.2325813999178434e-7	1.918924785748279e-7
<I0160.SG>	Mbuti2	223956	1.2651294599534435e-5	1.094810356466664e-6
<I0160.SG>	Orcadian2	223956	6.010796076701876e-6	9.7347845312355e-7
<I0160.SG>	Russian2	223956	5.378491554347523e-6	2.1944384572509592e-7
<I0160.SG>	Sardinian2	223956	4.8372596998219894e-6	1.5707667210758342e-6
<I0161.SG>	Basque2	113159	5.4004640471470355e-6	1.6220530902520732e-6
<I0161.SG>	BergamoItalian2	113159	3.5900812131602435e-6	6.888879460972374e-7
<I0161.SG>	French2	113159	8.260788878442295e-6	1.0104708240937538e-6
<I0161.SG>	Han2	113159	8.837122986240588e-7	8.199211059350286e-7
<I0161.SG>	Karitiana2	113159	0.0	0.0
<I0161.SG>	Mbuti2	113159	8.837122986240604e-6	3.245695006960462e-6
<I0161.SG>	Orcadian2	113159	6.797786912492765e-6	7.065026984173021e-7
<I0161.SG>	Russian2	113159	7.832904465076892e-6	1.6707907896821244e-6
<I0161.SG>	Sardinian2	113159	4.602668222000315e-6	1.3452447819617955e-6
<I0769.SG>	Basque2	181036	3.6825088196086247e-6	9.69557420104614e-7
<I0769.SG>	BergamoItalian2	181036	4.660675224817163e-6	4.3057409368237567e-7
<I0769.SG>	French2	181036	5.163517801407741e-6	5.105964608618737e-7
<I0769.SG>	Han2	181036	2.6237875339711425e-6	6.763443824255669e-7
<I0769.SG>	Karitiana2	181036	8.285644844119409e-7	5.507625577226381e-7
<I0769.SG>	Mbuti2	181036	1.534378674836926e-5	4.485414400878483e-6
<I0769.SG>	Orcadian2	181036	4.88640593371144e-6	6.414975450564293e-7
<I0769.SG>	Russian2	181036	4.268362495455447e-6	4.845149078406507e-7
<I0769.SG>	Sardinian2	181036	4.027744021446933e-6	1.1887384230182956e-6
<I0773.SG>	Basque2	159748	5.390434378590728e-6	1.5066109746919509e-6
