Left	Right	Norm	RAS	StdErr
<I0156.SG>	Basque2	116375	4.763098221744828e-3	2.0366207802782166e-4
<I0156.SG>	BergamoItalian2	116375	4.868421052631579e-3	1.1516630967535642e-4
<I0156.SG>	French2	116375	4.941484145145411e-3	1.2804029669346285e-4
<I0156.SG>	Han2	116375	3.4162191192266362e-3	8.110571737878434e-5
<I0156.SG>	Karitiana2	116375	3.5686358754027933e-3	1.4522437178775274e-4
<I0156.SG>	Mbuti2	116375	5.422126745434978e-3	1.6963993978769284e-4
<I0156.SG>	Orcadian2	116375	4.880112368834175e-3	1.6248194031537932e-4
<I0156.SG>	Russian2	116375	4.739576213260415e-3	1.7166367647860839e-4
<I0156.SG>	Sardinian2	116375	4.70766201217329e-3	9.406786943726282e-5
<I0157.SG>	Basque2	192983	4.758766891959945e-3	9.916365258972885e-5
<I0157.SG>	BergamoItalian2	192983	4.741997999823819e-3	1.1940136761472629e-4
<I0157.SG>	French2	192983	4.8895949158847185e-3	1.1227718875664836e-4
<I0157.SG>	Han2	192983	3.514882139877597e-3	1.265435220054358e-4
<I0157.SG>	Karitiana2	192983	3.595394412979398e-3	6.611623855354148e-5
<I0157.SG>	Mbuti2	192983	5.127106763002097e-3	2.8866055262553625e-4
<I0157.SG>	Orcadian2	192983	4.839007341818514e-3	1.4015737977732576e-4
<I0157.SG>	Russian2	192983	4.735579629482193e-3	8.986452133397796e-5
<I0157.SG>	Sardinian2	192983	4.71446966831275e-3	1.3802475910594533e-4
<I0159.SG>	Basque2	189520	4.667493316448544e-3	3.963552817062882e-5
<I0159.SG>	BergamoItalian2	189520	4.674143889826931e-3	8.263155250680714e-5
<I0159.SG>	French2	189520	4.8586130636665975e-3	9.495101224935478e-5
<I0159.SG>	Han2	189520	3.4626952300548628e-3	4.860698914559485e-5
<I0159.SG>	Karitiana2	189520	3.4938265090755723e-3	2.7307611622182447e-5
<I0159.SG>	Mbuti2	189520	5.278539937151109e-3	1.1472244103859938e-4
<I0159.SG>	Orcadian2	189520	4.768524531610259e-3	8.211745851944407e-5
<I0159.SG>	Russian2	189520	4.647266779231737e-3	1.0273920808598576e-4
<I0159.SG>	Sardinian2	189520	4.5887857042352575e-3	6.458447279467285e-5
<I0160.SG>	Basque2	205461	4.711762005116912e-3	5.352827919373028e-5
<I0160.SG>	BergamoItalian2	205461	4.804287675033218e-3	6.39086874372953e-5
<I0160.SG>	French2	205461	4.913235411438546e-3	1.0092968757024608e-4
<I0160.SG>	Han2	205461	3.489956731447804e-3	8.791055145157997e-5
<I0160.SG>	Karitiana2	205461	3.4605107538657072e-3	1.3930040278131828e-4
<I0160.SG>	Mbuti2	205461	5.447100260714465e-3	1.492606791556011e-4
<I0160.SG>	Orcadian2	205461	4.834531576833091e-3	1.5403899883295236e-4
<I0160.SG>	Russian2	205461	4.72595772433697e-3	9.102514567604895e-5
<I0160.SG>	Sardinian2	205461	4.65183579040953e-3	6.741698935347253e-5
<I0161.SG>	Basque2	104862	4.598636514869268e-3	1.0133258129758626e-4
<I0161.SG>	BergamoItalian2	104862	4.53721319448418e-3	5.638240651655552e-5
<I0161.SG>	French2	104862	4.766513007157161e-3	1.2189775298157292e-4
<I0161.SG>	Han2	104862	3.54298983425836e-3	1.1304890436704686e-4
<I0161.SG>	Karitiana2	104862	3.407335355038047e-3	4.95876304097471e-6
<I0161.SG>	Mbuti2	104862	5.27836585226295e-3	1.0409248957063343e-4
<I0161.SG>	Orcadian2	104862	4.764503677360563e-3	8.437745979322033e-5
<I0161.SG>	Russian2	104862	4.630761468319399e-3	4.50927685255343e-5
<I0161.SG>	Sardinian2	104862	4.528570883637545e-3	6.0851984121881674e-5
<I0769.SG>	Basque2	167326	4.5246006797110385e-3	9.76520142578756e-5
<I0769.SG>	BergamoItalian2	167326	4.508974994920096e-3	9.291001217011358e-5
<I0769.SG>	French2	167326	4.725869676949293e-3	8.411470930058853e-5
<I0769.SG>	Han2	167326	3.3692462617883547e-3	8.099943240716597e-5
<I0769.SG>	Karitiana2	167326	3.442680754933493e-3	1.418739527049808e-4
<I0769.SG>	Mbuti2	167326	5.177517739821225e-3	6.05719068557328e-5
<I0769.SG>	Orcadian2	167326	4.715805810674534e-3	1.0153100573499619e-4
<I0769.SG>	Russian2	167326	4.575988299378561e-3	1.2737760891974625e-4
<I0769.SG>	Sardinian2	167326	4.426115287920985e-3	1.2690490528604063e-4
<I0773.SG>	Basque2	148425	4.5821870379727635e-3	9.930690893220507e-5
<I0773.SG>	BergamoItalian2	148425	4.556173151423278e-3	1.0949632683837973e-4
<I0773.SG>	French2	148425	4.675908634869001e-3	4.999690110714502e-5
<I0773.SG>	Han2	148425	3.441047667171969e-3	1.3126269539746252e-5
<I0773.SG>	Karitiana2	148425	3.302341249789453e-3	7.017256146325401e-5
<I0773.SG>	Mbuti2	148425	5.0347163737764645e-3	9.972459259552045e-5
<I0773.SG>	Orcadian2	148425	4.731475363107524e-3	2.7022064829889693e-5
