Left	Right	Norm	RAS	StdErr
<I0156.SG>	Basque2	641450	0.13035392903231402	8.660808946016713e-4
<I0156.SG>	BergamoItalian2	641450	0.129703601215995	8.574126176945226e-4
<I0156.SG>	French2	641450	0.13037483012332804	8.478412500631352e-4
<I0156.SG>	Han2	641450	0.12190086912463952	8.004791538949286e-4
<I0156.SG>	Karitiana2	641450	0.12439995323096109	8.241503834533564e-4
<I0156.SG>	Mbuti2	641450	8.91467248681373e-2	5.520658066428477e-4
<I0156.SG>	Orcadian2	641450	0.13071340772408666	8.49262850352564e-4
<I0156.SG>	Russian2	641450	0.12981990376915933	8.590622236452505e-4
<I0156.SG>	Sardinian2	641450	0.12953023098708652	8.557478248005132e-4
<I0157.SG>	Basque2	1063039	0.12991312851383838	8.594205092798255e-4
<I0157.SG>	BergamoItalian2	1063039	0.1291979292387203	8.489574844121954e-4
<I0157.SG>	French2	1063039	0.12996304238009668	8.4527445112868e-4
<I0157.SG>	Han2	1063039	0.12163343724924489	7.896185686605376e-4
<I0157.SG>	Karitiana2	1063039	0.12396426659793294	8.018670852641773e-4
<I0157.SG>	Mbuti2	1063039	8.904042508736203e-2	5.555216024302237e-4
<I0157.SG>	Orcadian2	1063039	0.1302482063940486	8.52099874096123e-4
<I0157.SG>	Russian2	1063039	0.12962540756864382	8.501412946502517e-4
<I0157.SG>	Sardinian2	1063039	0.12903899025968624	8.479256175803832e-4
<I0159.SG>	Basque2	1042128	0.1303781248027539	8.24817047818102e-4
<I0159.SG>	BergamoItalian2	1042128	0.12967999732278568	8.166247583993939e-4
<I0159.SG>	French2	1042128	0.13045856338101497	8.111823669592022e-4
<I0159.SG>	Han2	1042128	0.12234176128076392	7.878244746807993e-4
<I0159.SG>	Karitiana2	1042128	0.1244059271030046	8.101253305946511e-4
<I0159.SG>	Mbuti2	1042128	8.915304923088975e-2	5.357154210125736e-4
<I0159.SG>	Orcadian2	1042128	0.1307063343171191	8.290720680656388e-4
<I0159.SG>	Russian2	1042128	0.12986192674988106	8.154544193195432e-4
<I0159.SG>	Sardinian2	1042128	0.1295961444595418	8.206785703827668e-4
<I0160.SG>	Basque2	1129809	0.13083091429121602	8.332947289085462e-4
<I0160.SG>	BergamoItalian2	1129809	0.13021498545329344	8.427956930871887e-4
<I0160.SG>	French2	1129809	0.13094600791892208	8.182295331548754e-4
<I0160.SG>	Han2	1129809	0.12282760847187443	8.005065524208753e-4
<I0160.SG>	Karitiana2	1129809	0.12449573334961929	8.158822376568276e-4
<I0160.SG>	Mbuti2	1129809	8.943256977260926e-2	5.388062074617044e-4
<I0160.SG>	Orcadian2	1129809	0.13090486976117194	8.234552346905492e-4
<I0160.SG>	Russian2	1129809	0.13026795599159602	8.189101993732395e-4
<I0160.SG>	Sardinian2	1129809	0.12992636734763718	8.458975517306152e-4
<I0161.SG>	Basque2	579520	0.13000251165715693	8.316914601652825e-4
