Left	Right	Norm	RAS	StdErr
<I0156.SG>	Basque2	126051	0.13475784492872844	1.7802110429567387e-3
<I0156.SG>	BergamoItalian2	126051	0.13410097896883008	1.8293592885596675e-3
<I0156.SG>	French2	126051	0.134744459885629	1.782240503058281e-3
<I0156.SG>	Han2	126051	0.12625455172906194	1.9368479445238146e-3
<I0156.SG>	Karitiana2	126051	0.12899976993439183	2.271286049460162e-3
<I0156.SG>	Mbuti2	126051	9.251105593062704e-2	1.0753913720901408e-3
<I0156.SG>	Orcadian2	126051	0.13540123869276385	1.8217195226768546e-3
<I0156.SG>	Russian2	126051	0.13416322830369515	1.8612895773956705e-3
<I0156.SG>	Sardinian2	126051	0.13404280145866881	1.9210990591721005e-3
<I0157.SG>	Basque2	209020	0.13472780382525906	1.6805647878365571e-3
<I0157.SG>	BergamoItalian2	209020	0.13394845588938858	1.5573421738855739e-3
<I0157.SG>	French2	209020	0.13482878692698316	1.6810865151025982e-3
<I0157.SG>	Han2	209020	0.12619067553344185	1.444675631810695e-3
<I0157.SG>	Karitiana2	209020	0.1289675629126393	1.1320224629256122e-3
<I0157.SG>	Mbuti2	209020	9.285129546348972e-2	1.3936505610707842e-3
<I0157.SG>	Orcadian2	209020	0.13510429623959425	1.505889374594815e-3
<I0157.SG>	Russian2	209020	0.13442373935508492	1.546136343287072e-3
<I0157.SG>	Sardinian2	209020	0.1339726262239653	1.530139629774032e-3
<I0159.SG>	Basque2	205412	0.13443794260640468	1.2302265550953072e-3
<I0159.SG>	BergamoItalian2	205412	0.13372682097443186	1.167301092681456e-3
<I0159.SG>	French2	205412	0.13455132378701856	1.157798789458658e-3
<I0159.SG>	Han2	205412	0.12619272486514913	1.2677984532663532e-3
<I0159.SG>	Karitiana2	205412	0.12829654547932853	1.413364343987963e-3
<I0159.SG>	Mbuti2	205412	9.1918518230033e-2	1.0160517125266332e-3
<I0159.SG>	Orcadian2	205412	0.13481741760274624	1.0026553956076724e-3
<I0159.SG>	Russian2	205412	0.1339494196143266	1.1257114434666971e-3
<I0159.SG>	Sardinian2	205412	0.13367108948519715	1.0446218706406448e-3
<I0160.SG>	Basque2	223956	0.1354641090214157	1.6463427620395535e-3
<I0160.SG>	BergamoItalian2	223956	0.1349077776438229	1.6383307294518857e-3
<I0160.SG>	French2	223956	0.13557777653529673	1.5287608661339728e-3
<I0160.SG>	Han2	223956	0.12727896327850088	1.3092624903754111e-3
<I0160.SG>	Karitiana2	223956	0.12896618085695363	1.4190497314534622e-3
<I0160.SG>	Mbuti2	223956	9.30147985417798e-2	1.4260152019429009e-3
<I0160.SG>	Orcadian2	223956	0.13566796087693006	1.2443144977837908e-3
<I0160.SG>	Russian2	223956	0.1349411775689701	1.4820231508337381e-3
<I0160.SG>	Sardinian2	223956	0.13461591413789592	1.508180846381503e-3
<I0161.SG>	Basque2	113159	0.13505333203722208	1.542861983271143e-3
<I0161.SG>	BergamoItalian2	113159	0.1341696197385979	1.4887342940652416e-3
<I0161.SG>	French2	113159	0.13522431115586858	1.5596028157980589e-3
<I0161.SG>	Han2	113159	0.12733167489991967	1.4952305991624822e-3
<I0161.SG>	Karitiana2	113159	0.12937813165545864	2.133928342135088e-3
<I0161.SG>	Mbuti2	113159	9.281384796810217e-2	1.2114879263581953e-3
<I0161.SG>	Orcadian2	113159	0.1354214321985338	1.4644637636648014e-3
<I0161.SG>	Russian2	113159	0.1345686961789084	1.6946889000844167e-3
<I0161.SG>	Sardinian2	113159	0.1340203091814761	1.4184407722939098e-3
<I0769.SG>	Basque2	181036	0.13393929015960068	8.170921043750035e-4
<I0769.SG>	BergamoItalian2	181036	0.13314081867694824	9.004019135769861e-4
<I0769.SG>	French2	181036	0.13401165946335877	9.922179610839695e-4
<I0769.SG>	Han2	181036	0.12613395954395798	1.0244512683480298e-3
<I0769.SG>	Karitiana2	181036	0.12833801011953402	6.911870096001454e-4
<I0769.SG>	Mbuti2	181036	9.185956875367075e-2	1.0009506352068932e-3
<I0769.SG>	Orcadian2	181036	0.13463046873804888	6.688979707067446e-4
<I0769.SG>	Russian2	181036	0.13358016185630534	8.846820347177018e-4
<I0769.SG>	Sardinian2	181036	0.13310658285276564	8.451149893876047e-4
