Left	Right	Norm	RAS	StdErr
<I0156.SG>	Basque2	116375	0.1345910013128058	1.5595412299369807e-3
<I0156.SG>	BergamoItalian2	116375	0.13390601503759397	1.7212595113409303e-3
<I0156.SG>	French2	116375	0.1345233269509173	1.7742776062076744e-3
<I0156.SG>	Han2	116375	0.12611761546723918	1.9265566173717829e-3
<I0156.SG>	Karitiana2	116375	0.12890526315789516	2.3379597982785454e-3
<I0156.SG>	Mbuti2	116375	9.24749970163536e-2	1.0715781913834689e-3
<I0156.SG>	Orcadian2	116375	0.13521011319507598	1.7645139751487602e-3
<I0156.SG>	Russian2	116375	0.13401542818084156	1.7237329782161348e-3
<I0156.SG>	Sardinian2	116375	0.1338487289652704	1.8711276811783778e-3
<I0157.SG>	Basque2	192983	0.1347733853356118	1.7078837927308886e-3
<I0157.SG>	BergamoItalian2	192983	0.13397375027852193	1.6144200927113387e-3
<I0157.SG>	French2	192983	0.13484844013067976	1.8187725551318272e-3
<I0157.SG>	Han2	192983	0.1262549680541814	1.1507699777565438e-3
<I0157.SG>	Karitiana2	192983	0.12905748174709583	1.428535019174997e-3
<I0157.SG>	Mbuti2	192983	9.290714726167991e-2	1.2822161120962978e-3
<I0157.SG>	Orcadian2	192983	0.13513246882248292	1.6981924146716484e-3
<I0157.SG>	Russian2	192983	0.13446061899941186	1.6593754804815827e-3
<I0157.SG>	Sardinian2	192983	0.13402087230481374	1.5296083148063746e-3
<I0159.SG>	Basque2	189520	0.13448067632850294	1.6558253969928141e-3
<I0159.SG>	BergamoItalian2	189520	0.13373605028493035	1.6839045818773097e-3
<I0159.SG>	French2	189520	0.13456191385101	1.6639158922175461e-3
<I0159.SG>	Han2	189520	0.12622744301392982	1.6087704388983175e-3
<I0159.SG>	Karitiana2	189520	0.12827617138032865	2.0248880864615353e-3
<I0159.SG>	Mbuti2	189520	9.204393555649777e-2	1.3702651092531361e-3
<I0159.SG>	Orcadian2	189520	0.13482015293697433	1.558141923147216e-3
<I0159.SG>	Russian2	189520	0.13394004950305058	1.6234960117265267e-3
<I0159.SG>	Sardinian2	189520	0.13373808393133513	1.4803399241789666e-3
<I0160.SG>	Basque2	205461	0.13516325617892466	1.876268483054907e-3
<I0160.SG>	BergamoItalian2	205461	0.13459382194187705	1.8759644092889464e-3
<I0160.SG>	French2	205461	0.13526083337935815	1.767479911630599e-3
<I0160.SG>	Han2	205461	0.12704126330544466	1.331811950318191e-3
