Left	Right	Norm	RAS	StdErr
<I0156.SG>	Basque2	597484	0.1299445303602738	1.1093393980713773e-3
<I0156.SG>	BergamoItalian2	597484	0.12930393324340067	1.099188421223821e-3
<I0156.SG>	French2	597484	0.12993835308815205	1.0670380778183917e-3
<I0156.SG>	Han2	597484	0.12154854774353784	1.1021244790850036e-3
<I0156.SG>	Karitiana2	597484	0.12401771428188894	1.2175620853738089e-3
<I0156.SG>	Mbuti2	597484	8.899382893749529e-2	6.290329245010335e-4
<I0156.SG>	Orcadian2	597484	0.13028369475487744	1.1326656495651794e-3
<I0156.SG>	Russian2	597484	0.12940776352474395	1.131160838830098e-3
<I0156.SG>	Sardinian2	597484	0.12910767624460787	1.1263645533549369e-3
<I0157.SG>	Basque2	989464	0.12966610654298225	1.1259602587400431e-3
<I0157.SG>	BergamoItalian2	989464	0.12896553083285495	1.0750546089194062e-3
<I0157.SG>	French2	989464	0.1297079288250568	1.120447320054671e-3
<I0157.SG>	Han2	989464	0.12141761852881995	9.404149926926783e-4
<I0157.SG>	Karitiana2	989464	0.12375750911604641	1.0782177312940672e-3
<I0157.SG>	Mbuti2	989464	8.896825846002802e-2	7.227842978057668e-4
<I0157.SG>	Orcadian2	989464	0.1299917468914017	1.1890665115177788e-3
<I0157.SG>	Russian2	989464	0.1293542628773112	1.1127067950231408e-3
<I0157.SG>	Sardinian2	989464	0.12879327848208735	1.0522602264643327e-3
<I0159.SG>	Basque2	969661	0.1301966471902157	1.1840324551596038e-3
<I0159.SG>	BergamoItalian2	969661	0.12950953348644526	1.1193978119877217e-3
<I0159.SG>	French2	969661	0.13026643601082769	1.1279184071204791e-3
<I0159.SG>	Han2	969661	0.12219204701436942	9.526056377265952e-4
<I0159.SG>	Karitiana2	969661	0.12423187072595493	1.0012610782239601e-3
<I0159.SG>	Mbuti2	969661	8.912427470356932e-2	7.407264751078309e-4
<I0159.SG>	Orcadian2	969661	0.1305041738218903	1.1299522478893532e-3
<I0159.SG>	Russian2	969661	0.12966281749263595	1.1229713097740607e-3
<I0159.SG>	Sardinian2	969661	0.12942661146524387	1.1039850298615302e-3
<I0160.SG>	Basque2	1046051	0.1304821923384027	1.191941817990846e-3
<I0160.SG>	BergamoItalian2	1046051	0.12986968369611043	1.1506289460404616e-3
<I0160.SG>	French2	1046051	0.13059303825613558	1.1324179222694047e-3
<I0160.SG>	Han2	1046051	0.12253248168588361	9.78361515857099e-4
<I0160.SG>	Karitiana2	1046051	0.12417812324638093	9.626709092331689e-4
<I0160.SG>	Mbuti2	1046051	8.93443266362976e-2	6.65704063573406e-4
<I0160.SG>	Orcadian2	1046051	0.1305552244364025	1.1259710812970385e-3
<I0160.SG>	Russian2	1046051	0.12991055711606564	1.1166212793363444e-3
<I0160.SG>	Sardinian2	1046051	0.12960181116089645	1.1638338166465286e-3
<I0161.SG>	Basque2	541298	0.12972429234913116	1.1362704239735793e-3
<I0161.SG>	BergamoItalian2	541298	0.12903971102793654	1.083932941254016e-3
<I0161.SG>	French2	541298	0.12980413264284024	1.0813764980313813e-3
<I0161.SG>	Han2	541298	0.1219680979793016	9.316946821949408e-4
<I0161.SG>	Karitiana2	541298	0.12395205598394983	1.0914413446121926e-3
<I0161.SG>	Mbuti2	541298	8.916448158972813e-2	6.062809336350233e-4
<I0161.SG>	Orcadian2	541298	0.12999238013924969	1.1484529256539518e-3
<I0161.SG>	Russian2	541298	0.12936711218387845	1.0914346817036352e-3
<I0161.SG>	Sardinian2	541298	0.12883126146164703	1.0971645271811545e-3
<I0769.SG>	Basque2	860910	0.1295438676645774	1.197581691780755e-3
<I0769.SG>	BergamoItalian2	860910	0.12873859491700643	1.1223648519054902e-3
<I0769.SG>	French2	860910	0.12968911056197804	1.1256031340619343e-3
<I0769.SG>	Han2	860910	0.12165586414375497	9.288174154127405e-4
<I0769.SG>	Karitiana2	860910	0.1241010093970331	9.831673836876006e-4
<I0769.SG>	Mbuti2	860910	8.883216596392596e-2	6.142162220355358e-4
<I0769.SG>	Orcadian2	860910	0.1299834790199637	1.1925956991667955e-3
<I0769.SG>	Russian2	860910	0.12922077167817114	1.1196180067851466e-3
