Left	Right	Norm	RAS	StdErr
<I0156.SG>	Basque2	641450	0.11851070924381396	7.246179102297801e-4
<I0156.SG>	BergamoItalian2	641450	0.117871229246239	7.141904844301704e-4
<I0156.SG>	French2	641450	0.11853229944385511	7.018898457967147e-4
<I0156.SG>	Han2	641450	0.11013666302907478	6.652816114497901e-4
<I0156.SG>	Karitiana2	641450	0.11259248577441733	7.047960148107781e-4
<I0156.SG>	Mbuti2	641450	7.940560015936117e-2	4.7159600451176164e-4
<I0156.SG>	Orcadian2	641450	0.11885955497460682	7.066667098450223e-4
<I0156.SG>	Russian2	641450	0.11797514863342287	7.138437512071692e-4
<I0156.SG>	Sardinian2	641450	0.11770649829812654	7.125299237596604e-4
<I0157.SG>	Basque2	1063039	0.11820487196508213	7.06344642825231e-4
<I0157.SG>	BergamoItalian2	1063039	0.11749286714786569	6.931285230619131e-4
<I0157.SG>	French2	1063039	0.11825137750069041	6.918298881531251e-4
<I0157.SG>	Han2	1063039	0.10999014382350975	6.41632286070591e-4
<I0157.SG>	Karitiana2	1063039	0.11228924808967496	6.700156906257313e-4
<I0157.SG>	Mbuti2	1063039	7.939078434563523e-2	4.544571908326342e-4
<I0157.SG>	Orcadian2	1063039	0.11852275193319123	6.964874386855001e-4
<I0157.SG>	Russian2	1063039	0.11790718103304006	6.956749921246987e-4
<I0157.SG>	Sardinian2	1063039	0.1173427276264872	6.934963603254559e-4
<I0159.SG>	Basque2	1042128	0.11866206028007653	6.777375288211708e-4
<I0159.SG>	BergamoItalian2	1042128	0.1179685940690587	6.699058291827239e-4
<I0159.SG>	French2	1042128	0.11873553962160373	6.64742268210751e-4
<I0159.SG>	Han2	1042128	0.11069180081525495	6.492518295619586e-4
<I0159.SG>	Karitiana2	1042128	0.11271609629527271	6.890476778072433e-4
<I0159.SG>	Mbuti2	1042128	7.951523762489379e-2	4.502190749362791e-4
<I0159.SG>	Orcadian2	1042128	0.11897512368183909	6.818178450964772e-4
<I0159.SG>	Russian2	1042128	0.11813633432570841	6.701469001109761e-4
<I0159.SG>	Sardinian2	1042128	0.117888989324408	6.75910027169414e-4
<I0160.SG>	Basque2	1129809	0.11915224412071226	6.852357677515864e-4
<I0160.SG>	BergamoItalian2	1129809	0.1185357713117881	6.909018987072922e-4
<I0160.SG>	French2	1129809	0.11926758147308235	6.675600512480253e-4
<I0160.SG>	Han2	1129809	0.11122070190625134	6.601418338011955e-4
<I0160.SG>	Karitiana2	1129809	0.11285217235833668	6.837805224493925e-4
<I0160.SG>	Mbuti2	1129809	7.984087969244727e-2	4.5682210840967567e-4
<I0160.SG>	Orcadian2	1129809	0.11921218542249166	6.709802829213105e-4
<I0160.SG>	Russian2	1129809	0.11858649639814424	6.667843397317163e-4
<I0160.SG>	Sardinian2	1129809	0.11825881631319994	6.925097301880796e-4
<I0161.SG>	Basque2	579520	0.11830849476961777	7.04014714025307e-4
<I0161.SG>	BergamoItalian2	579520	0.11759834647639426	6.98056464215201e-4
<I0161.SG>	French2	579520	0.11840346133531797	6.820328949323765e-4
<I0161.SG>	Han2	579520	0.11057579979983441	6.517862659836023e-4
<I0161.SG>	Karitiana2	579520	0.11256514011595804	7.027878225666378e-4
<I0161.SG>	Mbuti2	579520	7.960726118166757e-2	4.7884725827187087e-4
<I0161.SG>	Orcadian2	579520	0.11858049632587174	6.939954828984227e-4
<I0161.SG>	Russian2	579520	0.11795192573164003	7.081916087473438e-4
<I0161.SG>	Sardinian2	579520	0.1174203076108964	7.06717950409615e-4
<I0769.SG>	Basque2	923720	0.11825823842722907	7.044779179482004e-4
<I0769.SG>	BergamoItalian2	923720	0.11743273800502317	7.037224614806383e-4
<I0769.SG>	French2	923720	0.11839203108790723	6.928303780403259e-4
<I0769.SG>	Han2	923720	0.11038186625817349	6.456584743041458e-4
<I0769.SG>	Karitiana2	923720	0.11282401593556494	6.969780546103427e-4
<I0769.SG>	Mbuti2	923720	7.937560444001775e-2	4.4468655243301716e-4
<I0769.SG>	Orcadian2	923720	0.11870109656938996	7.069980186190792e-4
<I0769.SG>	Russian2	923720	0.11793823787609788	6.98315132758912e-4
<I0769.SG>	Sardinian2	923720	0.11738080803706749	6.977675080785827e-4
<I0773.SG>	Basque2	820790	0.11775704571882639	7.153451922421517e-4
<I0773.SG>	BergamoItalian2	820790	0.11692287308568575	6.902074711366535e-4
<I0773.SG>	French2	820790	0.11769538572859542	6.98190277755489e-4
<I0773.SG>	Han2	820790	0.10970954811827635	6.582289115147865e-4
<I0773.SG>	Karitiana2	820790	0.1119155935135662	7.152915253049222e-4
<I0773.SG>	Mbuti2	820790	7.876050309254892e-2	4.88779269696076e-4
<I0773.SG>	Orcadian2	820790	0.11799556149938097	7.061714140551861e-4
<I0773.SG>	Russian2	820790	0.11733127951009499	6.964059217569485e-4
