Left	Right	Norm	RAS	StdErr
<I0156.SG>	Basque2	126051	0.12104293764693133	1.5577965840617904e-3
<I0156.SG>	BergamoItalian2	126051	0.12039596076191383	1.6266436982345697e-3
<I0156.SG>	French2	126051	0.12103951713126444	1.5783464226735015e-3
<I0156.SG>	Han2	126051	0.11261364447723511	1.6650022651319876e-3
<I0156.SG>	Karitiana2	126051	0.11533704611625498	2.0429491187048386e-3
<I0156.SG>	Mbuti2	126051	8.106022341927102e-2	8.271052656968063e-4
<I0156.SG>	Orcadian2	126051	0.12168945048493846	1.621031162104391e-3
<I0156.SG>	Russian2	126051	0.12045358985288061	1.641358728334582e-3
<I0156.SG>	Sardinian2	126051	0.12034910472745144	1.673556630427896e-3
<I0157.SG>	Basque2	209020	0.12089406649018217	1.5715780295070558e-3
<I0157.SG>	BergamoItalian2	209020	0.1201194861735719	1.4518826123070296e-3
<I0157.SG>	French2	209020	0.12099871865808454	1.5739455306719727e-3
<I0157.SG>	Han2	209020	0.11241950531049683	1.2786890923778167e-3
<I0157.SG>	Karitiana2	209020	0.11517318916849996	9.912860533785514e-4
<I0157.SG>	Mbuti2	209020	8.12979087593999e-2	1.2056001236137178e-3
<I0157.SG>	Orcadian2	209020	0.12124769068841439	1.38273448211239e-3
<I0157.SG>	Russian2	209020	0.12057284644357565	1.4300166162310895e-3
<I0157.SG>	Sardinian2	209020	0.12015177973399631	1.4244771690289644e-3
<I0159.SG>	Basque2	205412	0.12075446744429148	1.1630921471620448e-3
<I0159.SG>	BergamoItalian2	205412	0.12004075954666718	1.0910329049686172e-3
<I0159.SG>	French2	205412	0.12087054733688933	1.0909642806317503e-3
<I0159.SG>	Han2	205412	0.11256420024146602	1.1294188334735476e-3
<I0159.SG>	Karitiana2	205412	0.11463814188070738	1.301935048356533e-3
<I0159.SG>	Mbuti2	205412	8.050865793841303e-2	9.003503027770846e-4
<I0159.SG>	Orcadian2	205412	0.12112916779635388	9.176532805290895e-4
<I0159.SG>	Russian2	205412	0.12024923745271075	1.0594733650036961e-3
<I0159.SG>	Sardinian2	205412	0.11999816223005483	9.543032718596776e-4
<I0160.SG>	Basque2	223956	0.12178570294561908	1.4746925317210093e-3
<I0160.SG>	BergamoItalian2	223956	0.12122665836146386	1.479043338652154e-3
<I0160.SG>	French2	223956	0.12190651579852198	1.3607887958865972e-3
<I0160.SG>	Han2	223956	0.11366870054832161	1.1065270656920197e-3
<I0160.SG>	Karitiana2	223956	0.11532778760113528	1.2214691932612653e-3
<I0160.SG>	Mbuti2	223956	8.162069533500081e-2	1.2249385277381853e-3
<I0160.SG>	Orcadian2	223956	0.12197828694372616	1.0645557063439061e-3
<I0160.SG>	Russian2	223956	0.1212575846879009	1.3129454937154466e-3
<I0160.SG>	Sardinian2	223956	0.12094739963802395	1.3350597556484787e-3
<I0161.SG>	Basque2	113159	0.12122077980737032	1.2543506805970572e-3
<I0161.SG>	BergamoItalian2	113159	0.12032654274074532	1.1792892275044298e-3
<I0161.SG>	French2	113159	0.12138595289352369	1.2405163217410404e-3
<I0161.SG>	Han2	113159	0.11356089661449824	1.3505406925092972e-3
<I0161.SG>	Karitiana2	113159	0.11558735937928079	1.7782241428322952e-3
<I0161.SG>	Mbuti2	113159	8.133589806280615e-2	8.749783636215001e-4
<I0161.SG>	Orcadian2	113159	0.12157502003647727	1.1340003209584293e-3
<I0161.SG>	Russian2	113159	0.12072172783428625	1.3507438668568152e-3
<I0161.SG>	Sardinian2	113159	0.12019039581473835	1.1379936234508494e-3
<I0769.SG>	Basque2	181036	0.12021273853450931	7.645013624474682e-4
<I0769.SG>	BergamoItalian2	181036	0.11940874328862768	8.5399085280849e-4
<I0769.SG>	French2	181036	0.12027478080266484	9.426395623177059e-4
<I0769.SG>	Han2	181036	0.11247093119600493	9.644462052568552e-4
<I0769.SG>	Karitiana2	181036	0.11464183919220504	6.17488091879177e-4
<I0769.SG>	Mbuti2	181036	8.037658562692598e-2	9.296004123121822e-4
<I0769.SG>	Orcadian2	181036	0.12088968280002091	6.109630655008368e-4
<I0769.SG>	Russian2	181036	0.11983678786137913	8.30875244817107e-4
<I0769.SG>	Sardinian2	181036	0.11939222953813945	7.900771255066924e-4
<I0773.SG>	Basque2	159748	0.1203437080067775	1.7375802007155864e-3
<I0773.SG>	BergamoItalian2	159748	0.11943752816936676	1.7628876009319855e-3
<I0773.SG>	French2	159748	0.12025393799582142	1.7149652333396572e-3
<I0773.SG>	Han2	159748	0.11208544081928977	1.454506223617646e-3
<I0773.SG>	Karitiana2	159748	0.11415729774394713	1.4470056594367011e-3
<I0773.SG>	Mbuti2	159748	8.047083879332469e-2	9.89698677465721e-4
<I0773.SG>	Orcadian2	159748	0.12078133637401971	1.5460875415340832e-3
<I0773.SG>	Russian2	159748	0.11962690669622772	1.5833467883933114e-3
<I0773.SG>	Sardinian2	159748	0.11925501414728183	1.6757625309052802e-3
