Left	Right	Norm	RAS	StdErr
<I0156.SG>	Basque2	116375	0.12083757011576543	1.2223721155943503e-3
<I0156.SG>	BergamoItalian2	116375	0.12016326530612245	1.390492872308527e-3
<I0156.SG>	French2	116375	0.1207812076775788	1.4495661583472758e-3
<I0156.SG>	Han2	116375	0.11243533834586433	1.5763870934786775e-3
<I0156.SG>	Karitiana2	116375	0.1152021482277127	2.005716682795093e-3
<I0156.SG>	Mbuti2	116375	8.096908939014466e-2	7.689734874247381e-4
<I0156.SG>	Orcadian2	116375	0.12146376931339369	1.4507515776001616e-3
<I0156.SG>	Russian2	116375	0.12026891905087365	1.3934051218408184e-3
<I0156.SG>	Sardinian2	116375	0.1201203007518799	1.5003242805575576e-3
<I0157.SG>	Basque2	192983	0.12077762174791526	1.5657921968544888e-3
<I0157.SG>	BergamoItalian2	192983	0.11998352834187467	1.4743540858029984e-3
<I0157.SG>	French2	192983	0.12085745782068152	1.6853709801103356e-3
<I0157.SG>	Han2	192983	0.11232135732162966	9.196720351211331e-4
<I0157.SG>	Karitiana2	192983	0.1151008119886202	1.3099438916581746e-3
<I0157.SG>	Mbuti2	192983	8.122477109383151e-2	1.0578761705797013e-3
<I0157.SG>	Orcadian2	192983	0.1211164873430464	1.5717143288566104e-3
<I0157.SG>	Russian2	192983	0.1204497287325821	1.516170891885749e-3
<I0157.SG>	Sardinian2	192983	0.12003680375991624	1.3894132069548198e-3
<I0159.SG>	Basque2	189520	0.12060966887106667	1.5148274467435441e-3
<I0159.SG>	BergamoItalian2	189520	0.11986383363233431	1.5455100232946756e-3
<I0159.SG>	French2	189520	0.12069736817956565	1.530168953897008e-3
<I0159.SG>	Han2	189520	0.1124101018362175	1.4424192172902252e-3
<I0159.SG>	Karitiana2	189520	0.11443040312368054	1.8876418623992315e-3
<I0159.SG>	Mbuti2	189520	8.049253083814512e-2	1.2357690507985802e-3
<I0159.SG>	Orcadian2	189520	0.1209466425301167	1.426581004218629e-3
<I0159.SG>	Russian2	189520	0.12005245308722483	1.4881528298620723e-3
<I0159.SG>	Sardinian2	189520	0.11987806915716896	1.3378397204141992e-3
<I0160.SG>	Basque2	205461	0.12130850461482652	1.672022892666871e-3
<I0160.SG>	BergamoItalian2	205461	0.12073656922724994	1.6764172964517843e-3
<I0160.SG>	French2	205461	0.12141402906676607	1.5638606454597144e-3
<I0160.SG>	Han2	205461	0.1132525759146502	1.1068564542341616e-3
<I0160.SG>	Karitiana2	205461	0.11493349102749373	1.5481771192386643e-3
<I0160.SG>	Mbuti2	205461	8.143854281077867e-2	1.2618144761367676e-3
<I0160.SG>	Orcadian2	205461	0.12149882085052223	1.373041638380991e-3
<I0160.SG>	Russian2	205461	0.12075793194107552	1.5960499726208031e-3
<I0160.SG>	Sardinian2	205461	0.12049650947543952	1.5487976352121485e-3
<I0161.SG>	Basque2	104862	0.12099764982124654	1.203818144736065e-3
