Left	Right	Norm	RAS	StdErr
<I0156.SG>	Basque2	597484	0.1180220353645918	9.053732558411608e-4
<I0156.SG>	BergamoItalian2	597484	0.11739315404261871	9.211048917949577e-4
<I0156.SG>	French2	597484	0.118016840472788	8.888665519976187e-4
<I0156.SG>	Han2	597484	0.10970448581049852	9.529136638010047e-4
<I0156.SG>	Karitiana2	597484	0.112130115618159	1.0548150157623358e-3
<I0156.SG>	Mbuti2	597484	7.918231562128536e-2	4.658236233123652e-4
<I0156.SG>	Orcadian2	597484	0.11834916210179827	9.661404226808584e-4
<I0156.SG>	Russian2	597484	0.11748439364827402	9.57543428670059e-4
<I0156.SG>	Sardinian2	597484	0.11720435888938735	9.262421553625276e-4
<I0157.SG>	Basque2	989464	0.1178338867193647	9.752625965964181e-4
<I0157.SG>	BergamoItalian2	989464	0.11713687284226612	9.309800064085779e-4
<I0157.SG>	French2	989464	0.11787216196806005	9.747891177938416e-4
<I0157.SG>	Han2	989464	0.10965055322881896	7.975830699777181e-4
<I0157.SG>	Karitiana2	989464	0.11195889895943636	9.354376028347281e-4
<I0157.SG>	Mbuti2	989464	7.922201649917304e-2	6.065547960345503e-4
<I0157.SG>	Orcadian2	989464	0.11814139154749831	1.0192924668908046e-3
<I0157.SG>	Russian2	989464	0.11751236022735524	9.578452324513206e-4
<I0157.SG>	Sardinian2	989464	0.1169720634943093	8.97159057489165e-4
<I0159.SG>	Basque2	969661	0.1183495228401133	9.999419084169528e-4
<I0159.SG>	BergamoItalian2	969661	0.11766702486745367	9.583261740392118e-4
<I0159.SG>	French2	969661	0.11841247252569559	9.702321961262071e-4
<I0159.SG>	Han2	969661	0.11040955292622909	8.035400015745258e-4
<I0159.SG>	Karitiana2	969661	0.11241036815959408	8.723913916988371e-4
<I0159.SG>	Mbuti2	969661	7.938375714124594e-2	6.104752307701603e-4
<I0159.SG>	Orcadian2	969661	0.1186413046970503	9.463979793652108e-4
<I0159.SG>	Russian2	969661	0.11780611987075855	9.69981959125531e-4
<I0159.SG>	Sardinian2	969661	0.11758755121635261	9.251049972607146e-4
<I0160.SG>	Basque2	1046051	0.11867309635104943	1.042397178636344e-3
<I0160.SG>	BergamoItalian2	1046051	0.11805961181624988	1.0034179073462077e-3
<I0160.SG>	French2	1046051	0.11878359243686337	9.907271660160564e-4
<I0160.SG>	Han2	1046051	0.1107948728121288	8.158436339049054e-4
<I0160.SG>	Karitiana2	1046051	0.11240436651750255	8.244646296044711e-4
<I0160.SG>	Mbuti2	1046051	7.964727447429996e-2	5.450989638021051e-4
<I0160.SG>	Orcadian2	1046051	0.11873123115118019	9.849177675223912e-4
<I0160.SG>	Russian2	1046051	0.11809820936072862	9.698776503153796e-4
<I0160.SG>	Sardinian2	1046051	0.1178028525059169	1.0026797496312501e-3
<I0161.SG>	Basque2	541298	0.1179015276448668	1.001638638903551e-3
<I0161.SG>	BergamoItalian2	541298	0.11721373901252176	9.675663168712053e-4
<I0161.SG>	French2	541298	0.11797130311728926	9.681979765025262e-4
<I0161.SG>	Han2	541298	0.11021218903450583	8.32429880361587e-4
<I0161.SG>	Karitiana2	541298	0.11216123096704603	1.0036983383146444e-3
<I0161.SG>	Mbuti2	541298	7.94489459697921e-2	5.036176667878176e-4
<I0161.SG>	Orcadian2	541298	0.1181521084504289	1.008542889190145e-3
<I0161.SG>	Russian2	541298	0.1175367105801911	9.869412705883279e-4
<I0161.SG>	Sardinian2	541298	0.11701375674766942	9.613369319516019e-4
<I0769.SG>	Basque2	860910	0.11781499937404752	9.745538854289168e-4
<I0769.SG>	BergamoItalian2	860910	0.11701012591327781	9.171561090938237e-4
<I0769.SG>	French2	860910	0.11794895492282399	9.192249312704462e-4
<I0769.SG>	Han2	860910	0.10999522307790585	7.280806305220626e-4
<I0769.SG>	Karitiana2	860910	0.11241128573253875	7.877467509651628e-4
<I0769.SG>	Mbuti2	860910	7.916861873547627e-2	4.41850076223914e-4
<I0769.SG>	Orcadian2	860910	0.11823508755940723	9.710957216375952e-4
<I0769.SG>	Russian2	860910	0.117478835819603	9.046393080192756e-4
<I0769.SG>	Sardinian2	860910	0.11693779450426456	9.248531402961739e-4
<I0773.SG>	Basque2	767918	0.11744117789196834	9.361719186269877e-4
<I0773.SG>	BergamoItalian2	767918	0.1166082755580674	9.117246313725499e-4
<I0773.SG>	French2	767918	0.11735698795738686	9.107933194948787e-4
<I0773.SG>	Han2	767918	0.1094103797540881	9.368055940745538e-4
<I0773.SG>	Karitiana2	767918	0.11159882956253185	9.057628068292016e-4
<I0773.SG>	Mbuti2	767918	7.860503624374575e-2	5.40201700479543e-4
<I0773.SG>	Orcadian2	767918	0.11764216812412105	9.829382635412952e-4
<I0773.SG>	Russian2	767918	0.1169878992761772	9.549226722538694e-4
<I0773.SG>	Sardinian2	767918	0.1162835202890586	9.035374305396703e-4
<I0774.SG>	Basque2	1035482	0.11838402577522202	9.474906989503382e-4
<I0774.SG>	BergamoItalian2	1035482	0.11762158226796796	9.247188371342898e-4
<I0774.SG>	French2	1035482	0.11827128101569641	8.786223680410406e-4
<I0774.SG>	Han2	1035482	0.11018441170392142	6.950409487967461e-4
<I0774.SG>	Karitiana2	1035482	0.11219432109877342	7.959272380302083e-4
<I0774.SG>	Mbuti2	1035482	7.959444115022368e-2	4.93535550096308e-4
<I0774.SG>	Orcadian2	1035482	0.11850204133845953	9.548911912635489e-4
<I0774.SG>	Russian2	1035482	0.11779762292518632	8.58526677994156e-4
<I0774.SG>	Sardinian2	1035482	0.11757686677959307	8.826429651740273e-4
<I0777.SG>	Basque2	1030686	0.118338659882836	1.0093180266618103e-3
<I0777.SG>	BergamoItalian2	1030686	0.11774130287982955	1.0052909474151702e-3
<I0777.SG>	French2	1030686	0.11844637623789414	9.650658384323927e-4
