Left	Right	Norm	RAS	StdErr
<12880A>	Basque2	7574391	2.112381048192517e-6	1.649092216058615e-7
<12880A>	BergamoItalian2	7574391	2.019964377334103e-6	1.8227145638204512e-7
<12880A>	French2	7574391	2.8816736655030338e-6	2.077098381105486e-7
<12880A>	Han2	7574391	1.4075442266686016e-6	2.520395007464377e-7
<12880A>	Karitiana2	7574391	1.0297857609938537e-6	2.702612052271108e-7
<12880A>	Mbuti2	7574391	4.128744776012659e-6	7.476618306293498e-7
<12880A>	Orcadian2	7574391	2.7928114819853075e-6	1.923109131385703e-7
<12880A>	Russian2	7574391	2.1726527900567085e-6	1.6605692075053796e-7
<12880A>	Sardinian2	7574391	1.8432555781103049e-6	1.713013443437511e-7
<12880A>	Tuscan2	7574391	2.574464402484635e-6	3.2085282801151706e-7
<12881A>	Basque2	31745538	2.0460318219329353e-6	1.4716083274942243e-7
<12881A>	BergamoItalian2	31745538	2.0758822861971967e-6	1.4854980295195943e-7
<12881A>	French2	31745538	3.00466211612528e-6	1.973117926900062e-7
<12881A>	Han2	31745538	1.292536231848265e-6	2.1426824359722846e-7
<12881A>	Karitiana2	31745538	9.57614893784445e-7	2.1168054147993125e-7
<12881A>	Mbuti2	31745538	3.689852842826732e-6	6.55934831206479e-7
<12881A>	Orcadian2	31745538	2.3891910052415554e-6	1.433618948650896e-7
<12881A>	Russian2	31745538	2.2084582611948098e-6	1.2879127002205465e-7
<12881A>	Sardinian2	31745538	1.5744187177035508e-6	1.325834944344325e-7
<12881A>	Tuscan2	31745538	2.1787838866257913e-6	1.862941988954101e-7
<12883A>	Basque2	31279125	2.202138083496666e-6	1.480585907117891e-7
<12883A>	BergamoItalian2	31279125	2.28427105937266e-6	1.5050682780171183e-7
<12883A>	French2	31279125	3.165664984849508e-6	1.7637616556500253e-7
<12883A>	Han2	31279125	1.603151024535444e-6	2.2115307316569372e-7
<12883A>	Karitiana2	31279125	1.2068751923207596e-6	2.1401151938074875e-7
<12883A>	Mbuti2	31279125	4.842032680087614e-6	7.906692431352224e-7
<12883A>	Orcadian2	31279125	2.8207556710991566e-6	1.3921840849609433e-7
<12883A>	Russian2	31279125	2.4151403935010804e-6	1.3331651339043717e-7
<12883A>	Sardinian2	31279125	1.8536570070540455e-6	1.3014833170204763e-7
<12883A>	Tuscan2	31279125	2.62688507644209e-6	1.9963909790977693e-7
<12884A>	Basque2	50146916	2.004111279744509e-6	1.442546858442114e-7
<12884A>	BergamoItalian2	50146916	2.094844675991637e-6	1.4486434296585067e-7
<12884A>	French2	50146916	2.6598767386735274e-6	1.8878891055215696e-7
<12884A>	Han2	50146916	1.063970488427985e-6	2.1808995452916926e-7
<12884A>	Karitiana2	50146916	7.338437322845547e-7	1.9021941841147923e-7
<12884A>	Mbuti2	50146916	3.1770285099522757e-6	7.885896683859474e-7
<12884A>	Orcadian2	50146916	2.399871486536759e-6	1.7624033619687896e-7
<12884A>	Russian2	50146916	1.972465135807367e-6	1.1982027998612235e-7
<12884A>	Sardinian2	50146916	1.6509183044967605e-6	1.416408637743799e-7
<12884A>	Tuscan2	50146916	2.052303010351954e-6	2.5049915493314515e-7
<12885A>	Basque2	3305708	2.340828421050869e-6	1.9452603026830267e-7
<12885A>	BergamoItalian2	3305708	2.283928284046864e-6	2.8609271547798794e-7
<12885A>	French2	3305708	3.1239671129219778e-6	2.755198067696093e-7
<12885A>	Han2	3305708	1.619876501396196e-6	2.9691102358088104e-7
<12885A>	Karitiana2	3305708	9.226465253434364e-7	2.1778944277694045e-7
<12885A>	Mbuti2	3305708	5.046367731759182e-6	7.782914054165526e-7
<12885A>	Orcadian2	3305708	2.303707591651954e-6	2.3418975897818658e-7
<12885A>	Russian2	3305708	2.1635830850890243e-6	1.9041749492326027e-7
<12885A>	Sardinian2	3305708	1.9546609868562044e-6	1.7267323849246548e-7
<12885A>	Tuscan2	3305708	2.218385088257441e-6	2.795256047099428e-7
<15558A>	Basque2	25977407	2.6341571130856815e-6	1.6414903003695173e-7
<15558A>	BergamoItalian2	25977407	2.810134206235438e-6	1.7348317758315915e-7
<15558A>	French2	25977407	3.988673104108684e-6	1.9556805195683017e-7
<15558A>	Han2	25977407	2.3457107890316933e-6	2.2295053078744856e-7
<15558A>	Karitiana2	25977407	1.7784684976449004e-6	2.5322165541994867e-7
<15558A>	Mbuti2	25977407	7.627257163748616e-6	7.975295414849989e-7
<15558A>	Orcadian2	25977407	3.3564669365309566e-6	1.5767502298889235e-7
<15558A>	Russian2	25977407	2.8176658345428004e-6	1.4654294977417754e-7
<15558A>	Sardinian2	25977407	2.142394202540934e-6	1.3068541890609146e-7
<15558A>	Tuscan2	25977407	2.9865695730652927e-6	2.51446992420146e-7
