Left	Right	Norm	RAS	StdErr
<12880A>	Basque2	2373746	2.2869217804143443e-6	3.50197886119459e-7
<12880A>	BergamoItalian2	2373746	2.232757843509793e-6	3.793194980710713e-7
<12880A>	French2	2373746	3.224374534531558e-6	4.6219860565356683e-7
<12880A>	Han2	2373746	1.9908644191977145e-6	5.934919727739422e-7
<12880A>	Karitiana2	2373746	1.3480802074021396e-6	3.9559113695028976e-7
<12880A>	Mbuti2	2373746	5.0935985109228565e-6	1.4111086906058963e-6
<12880A>	Orcadian2	2373746	2.75449080839379e-6	3.110648785713301e-7
<12880A>	Russian2	2373746	2.4452270066329554e-6	3.382566764718755e-7
<12880A>	Sardinian2	2373746	1.9443464529838543e-6	3.4233108745253576e-7
<12880A>	Tuscan2	2373746	2.7382879212855964e-6	5.398777478993766e-7
<12881A>	Basque2	9822799	2.3366436544594874e-6	3.3625712851653004e-7
<12881A>	BergamoItalian2	9822799	2.2549580827216397e-6	3.043229744464027e-7
<12881A>	French2	9822799	3.36148899811864e-6	4.099163605294871e-7
<12881A>	Han2	9822799	1.8882995668316295e-6	5.507373525165189e-7
<12881A>	Karitiana2	9822799	1.2521889127528718e-6	3.7126278755798666e-7
<12881A>	Mbuti2	9822799	4.89584578600347e-6	1.275679445894015e-6
<12881A>	Orcadian2	9822799	2.607748017177653e-6	2.9118881383943314e-7
<12881A>	Russian2	9822799	2.5517388059456675e-6	2.83307691037787e-7
<12881A>	Sardinian2	9822799	1.8598803425816607e-6	2.6861247038035044e-7
<12881A>	Tuscan2	9822799	2.434811774797251e-6	3.733185519746469e-7
<12883A>	Basque2	9777008	2.211213043811323e-6	3.3445276804724937e-7
<12883A>	BergamoItalian2	9777008	2.5314492940989753e-6	3.1348404579003746e-7
<12883A>	French2	9777008	3.162836414072378e-6	3.978636103263898e-7
<12883A>	Han2	9777008	1.963131091546282e-6	5.530912073641039e-7
<12883A>	Karitiana2	9777008	1.3040799393843189e-6	3.422790400091278e-7
<12883A>	Mbuti2	9777008	4.844389650047987e-6	1.2801476397454355e-6
<12883A>	Orcadian2	9777008	2.7891181810663116e-6	2.819268488496908e-7
<12883A>	Russian2	9777008	2.4903146327543653e-6	2.8755470213381147e-7
<12883A>	Sardinian2	9777008	1.8685911650303249e-6	2.707457970358134e-7
<12883A>	Tuscan2	9777008	2.6933938617349307e-6	3.813574139738036e-7
<12884A>	Basque2	16008542	2.3722454222371118e-6	3.395914387772538e-7
<12884A>	BergamoItalian2	16008542	2.3737327234422736e-6	3.05117203706313e-7
<12884A>	French2	16008542	3.230246605939408e-6	4.209719303941798e-7
<12884A>	Han2	16008542	1.960646808072434e-6	5.567135450615678e-7
<12884A>	Karitiana2	16008542	1.1618797014743753e-6	3.420379387602748e-7
<12884A>	Mbuti2	16008542	5.048441127129618e-6	1.355456443847811e-6
<12884A>	Orcadian2	16008542	2.6235993259098834e-6	3.1389710168436317e-7
<12884A>	Russian2	16008542	2.3601530167864228e-6	2.6590598029814867e-7
<12884A>	Sardinian2	16008542	2.026562299821416e-6	2.5601263626576014e-7
<12884A>	Tuscan2	16008542	2.462227145149552e-6	3.7262128326354615e-7
<12885A>	Basque2	1010328	2.2623487478465292e-6	4.068215828304696e-7
<12885A>	BergamoItalian2	1010328	2.8703549738302813e-6	5.838400546972965e-7
<12885A>	French2	1010328	3.2738796783740602e-6	6.458284693401744e-7
<12885A>	Han2	1010328	2.666013796605431e-6	8.379367759154787e-7
<12885A>	Karitiana2	1010328	8.907998194645698e-7	3.6693395353297823e-7
<12885A>	Mbuti2	1010328	5.713716013737392e-6	1.7731272516511177e-6
<12885A>	Orcadian2	1010328	2.2841021011912026e-6	4.998004505110751e-7
<12885A>	Russian2	1010328	2.1947241928837218e-6	3.4190386840791917e-7
<12885A>	Sardinian2	1010328	1.9605209701891176e-6	3.5803583810671825e-7
<12885A>	Tuscan2	1010328	2.391962478191902e-6	5.863976399113974e-7
<15558A>	Basque2	8060192	2.3336322273121817e-6	3.2634142959883683e-7
<15558A>	BergamoItalian2	8060192	2.586787014502883e-6	3.302450834979571e-7
<15558A>	French2	8060192	3.4309165530853575e-6	4.30722799948794e-7
<15558A>	Han2	8060192	1.985064375637699e-6	5.805588553976055e-7
<15558A>	Karitiana2	8060192	1.5818481743362933e-6	4.35657242806506e-7
<15558A>	Mbuti2	8060192	5.013415425971356e-6	1.4355285570087708e-6
<15558A>	Orcadian2	8060192	2.8201275144275996e-6	2.73782702770441e-7
<15558A>	Russian2	8060192	2.5298782396034805e-6	2.991169745460629e-7
<15558A>	Sardinian2	8060192	1.7727197489168431e-6	2.4947994921427563e-7
<15558A>	Tuscan2	8060192	2.6260747469373777e-6	4.5535278315167506e-7
<15569A>	Basque2	5690650	2.0710664485980123e-6	3.012255796020938e-7
<15569A>	BergamoItalian2	5690650	2.3459534499573896e-6	3.21693993603677e-7
<15569A>	French2	5690650	3.3083958909655495e-6	4.440505033206507e-7
<15569A>	Han2	5690650	2.1030535941384296e-6	5.860291620451566e-7
<15569A>	Karitiana2	5690650	1.484891884055424e-6	4.302206622376836e-7
<15569A>	Mbuti2	5690650	5.104066239437418e-6	1.4386324901258742e-6
<15569A>	Orcadian2	5690650	2.6696963777965014e-6	3.3017195141392275e-7
<15569A>	Russian2	5690650	2.6970251354338287e-6	3.1232544924069193e-7
<15569A>	Sardinian2	5690650	1.750509776833661e-6	2.696611214313596e-7
<15569A>	Tuscan2	5690650	2.386956381667005e-6	4.1030916191714573e-7
<15570A>	Basque2	14764188	2.4850994982234204e-6	3.3009496812814294e-7
<15570A>	BergamoItalian2	14764188	2.353668213924126e-6	2.796556959365562e-7
<15570A>	French2	14764188	3.105226907578926e-6	3.9334784839442977e-7
<15570A>	Han2	14764188	1.881186662509787e-6	5.434199433979674e-7
<15570A>	Karitiana2	14764188	1.2868977284765002e-6	3.5193931013749076e-7
<15570A>	Mbuti2	14764188	4.682706806250615e-6	1.2597219226019712e-6
<15570A>	Orcadian2	14764188	2.7509392738283074e-6	2.733883761323029e-7
<15570A>	Russian2	14764188	2.3544044254392693e-6	2.7215442937781035e-7
