Left	Right	Norm	RAS	StdErr
<12880A>	Basque2	1866586	1.964370603158209e-6	2.912577707269501e-7
<12880A>	BergamoItalian2	1866586	1.982228517732374e-6	3.263289444746391e-7
<12880A>	French2	1866586	2.9362532617137535e-6	3.9911330518416535e-7
<12880A>	Han2	1866586	1.4430347099446647e-6	4.4518418602042176e-7
<12880A>	Karitiana2	1866586	9.107536432824419e-7	2.56957022354333e-7
<12880A>	Mbuti2	1866586	3.9449756741111095e-6	1.002128249707139e-6
<12880A>	Orcadian2	1866586	2.761108330313281e-6	3.175429543954173e-7
<12880A>	Russian2	1866586	2.2244750110862696e-6	2.396259655079653e-7
<12880A>	Sardinian2	1866586	1.8029625291224812e-6	2.795569647489039e-7
<12880A>	Tuscan2	1866586	2.45546325394776e-6	4.282918365704884e-7
<12881A>	Basque2	7330288	1.906635929746618e-6	1.979511037239311e-7
<12881A>	BergamoItalian2	7330288	2.0258412766319704e-6	1.8869313928557015e-7
<12881A>	French2	7330288	2.9802585991374234e-6	3.1571624207916047e-7
<12881A>	Han2	7330288	1.3730041887893421e-6	4.406366799877729e-7
<12881A>	Karitiana2	7330288	1.0026891167168328e-6	2.929655741662785e-7
<12881A>	Mbuti2	7330288	3.658544086969273e-6	9.444686487721379e-7
<12881A>	Orcadian2	7330288	2.340132632421281e-6	1.9483987746416936e-7
<12881A>	Russian2	7330288	2.3043166036349557e-6	1.821599874764957e-7
<12881A>	Sardinian2	7330288	1.6265495875573983e-6	1.8173418352921097e-7
<12881A>	Tuscan2	7330288	2.0917777491598344e-6	2.5894659089830315e-7
<12883A>	Basque2	7345617	1.7956934305826442e-6	1.8177934488534216e-7
<12883A>	BergamoItalian2	7345617	2.2598510104733226e-6	2.3981154906581757e-7
<12883A>	French2	7345617	2.759363953937537e-6	2.61344278684985e-7
<12883A>	Han2	7345617	1.3877048568005604e-6	3.967374705712892e-7
<12883A>	Karitiana2	7345617	1.021017022804211e-6	2.841464998978787e-7
<12883A>	Mbuti2	7345617	3.527149715141819e-6	9.132947707509439e-7
<12883A>	Orcadian2	7345617	2.5813404730383354e-6	2.013505279255447e-7
<12883A>	Russian2	7345617	2.2314401020126804e-6	1.9507162223758654e-7
<12883A>	Sardinian2	7345617	1.5446154960371416e-6	1.5844880755484198e-7
<12883A>	Tuscan2	7345617	2.144135747888844e-6	2.647952252542638e-7
<12884A>	Basque2	11156748	1.93562121285146e-6	1.7150970328943758e-7
<12884A>	BergamoItalian2	11156748	2.0973853671338655e-6	2.1053279834724553e-7
