Left	Right	Norm	RAS	StdErr
<12880A>	Basque2	5976913	2.0555283782304123e-6	1.4334813237149914e-7
<12880A>	BergamoItalian2	5976913	1.9324356904642943e-6	1.523533493738025e-7
<12880A>	French2	5976913	2.8410601310022875e-6	1.6161587321925802e-7
<12880A>	Han2	5976913	1.1900630351832868e-6	1.5641711195949226e-7
<12880A>	Karitiana2	5976913	9.034764267105775e-7	1.952221956295181e-7
<12880A>	Mbuti2	5976913	3.658014825318083e-6	4.0311430216353094e-7
<12880A>	Orcadian2	5976913	2.8249725877916156e-6	2.067336716499533e-7
<12880A>	Russian2	5976913	2.120478086844873e-6	1.297227824222083e-7
<12880A>	Sardinian2	5976913	1.7406721753932438e-6	1.2938990509239504e-7
<12880A>	Tuscan2	5976913	2.481771665964243e-6	2.7070104604448764e-7
<12881A>	Basque2	23610469	1.963414740179153e-6	8.747971273675393e-8
<12881A>	BergamoItalian2	23610469	2.0541735109116226e-6	1.0176689527002087e-7
<12881A>	French2	23610469	2.954197987341974e-6	1.3977099248967685e-7
<12881A>	Han2	23610469	1.0957413739615008e-6	1.3185739028852184e-7
<12881A>	Karitiana2	23610469	8.640234973731356e-7	1.630381032823615e-7
<12881A>	Mbuti2	23610469	3.234312557011741e-6	3.2732329765988127e-7
<12881A>	Orcadian2	23610469	2.3946352585567697e-6	1.0335766963786544e-7
<12881A>	Russian2	23610469	2.177552825327647e-6	9.003596459192799e-8
<12881A>	Sardinian2	23610469	1.5418518858666554e-6	7.415993964387268e-8
<12881A>	Tuscan2	23610469	2.216530867444156e-6	1.4801456661628728e-7
<12883A>	Basque2	23490332	2.1204265571693026e-6	9.430215890896095e-8
<12883A>	BergamoItalian2	23490332	2.2860468723898833e-6	1.283900719495401e-7
<12883A>	French2	23490332	3.071640117893873e-6	1.1700748376372331e-7
<12883A>	Han2	23490332	1.3849211694630823e-6	1.3196697473900225e-7
<12883A>	Karitiana2	23490332	1.1196095483026808e-6	1.7029971779372426e-7
<12883A>	Mbuti2	23490332	4.390587737813317e-6	3.333648939841769e-7
<12883A>	Orcadian2	23490332	2.8522372523300244e-6	1.1489097874735921e-7
<12883A>	Russian2	23490332	2.3830340443704754e-6	9.352372860057559e-8
<12883A>	Sardinian2	23490332	1.7977936297694448e-6	7.334562326871986e-8
<12883A>	Tuscan2	23490332	2.483291140088329e-6	1.659537691187037e-7
<12884A>	Basque2	34949660	1.9422492917227952e-6	8.553412941260008e-8
<12884A>	BergamoItalian2	34949660	2.100163492291482e-6	1.154887607687034e-7
<12884A>	French2	34949660	2.6026444452260367e-6	1.0467695924411486e-7
<12884A>	Han2	34949660	8.163815632116622e-7	1.1469851449519694e-7
<12884A>	Karitiana2	34949660	6.380605705463227e-7	1.5193173350267308e-7
<12884A>	Mbuti2	34949660	2.597242069671848e-6	3.013269365817499e-7
<12884A>	Orcadian2	34949660	2.4155621806643333e-6	1.521817935638818e-7
<12884A>	Russian2	34949660	1.966803981348679e-6	8.12824735740432e-8
<12884A>	Sardinian2	34949660	1.6160606206403522e-6	7.604912113004072e-8
<12884A>	Tuscan2	34949660	1.938502406031992e-6	1.1135578112283965e-7
<12885A>	Basque2	2607556	2.3192671787754664e-6	1.881057941331511e-7
