Left	Right	Norm	RAS	StdErr
<12880A>	Basque2	2373746	1.6735994499832752e-2	2.0004408924335617e-4
<12880A>	BergamoItalian2	2373746	1.6642892710509047e-2	2.020263347961844e-4
<12880A>	French2	2373746	1.6720042757474726e-2	1.988877996969172e-4
<12880A>	Han2	2373746	1.5250612595097078e-2	1.9269523311326995e-4
<12880A>	Karitiana2	2373746	1.5654286515911983e-2	1.963301256821037e-4
<12880A>	Mbuti2	2373746	1.146848598260839e-2	1.6263148928311632e-4
<12880A>	Orcadian2	2373746	1.677003676564708e-2	2.0276795616058595e-4
<12880A>	Russian2	2373746	1.6621389365896397e-2	2.0072935605264702e-4
<12880A>	Sardinian2	2373746	1.663116182024272e-2	2.0029428239852658e-4
<12880A>	Tuscan2	2373746	1.65841950514784e-2	1.975573839707166e-4
<12881A>	Basque2	9822799	1.6825974619522066e-2	1.8266728911775046e-4
<12881A>	BergamoItalian2	9822799	1.672832763858855e-2	1.8439619961857918e-4
<12881A>	French2	9822799	1.6809071896450752e-2	1.8127220830954036e-4
<12881A>	Han2	9822799	1.5373999781265952e-2	1.7330570160889726e-4
<12881A>	Karitiana2	9822799	1.5713443795398845e-2	1.7745234226553962e-4
<12881A>	Mbuti2	9822799	1.1478551072866282e-2	1.4156614954060912e-4
<12881A>	Orcadian2	9822799	1.685886382987483e-2	1.8491878337010742e-4
<12881A>	Russian2	9822799	1.674437283056002e-2	1.807947806527208e-4
<12881A>	Sardinian2	9822799	1.6695076893600756e-2	1.8232199455344713e-4
<12881A>	Tuscan2	9822799	1.666184115817361e-2	1.8089651260658646e-4
<12883A>	Basque2	9777008	1.6795417224924898e-2	1.854866769559407e-4
<12883A>	BergamoItalian2	9777008	1.6696503674743846e-2	1.8498816739028962e-4
<12883A>	French2	9777008	1.6784415578325735e-2	1.848901094068043e-4
<12883A>	Han2	9777008	1.538519528871766e-2	1.7636594666982006e-4
<12883A>	Karitiana2	9777008	1.573969255215911e-2	1.8408047078143335e-4
<12883A>	Mbuti2	9777008	1.148338391086887e-2	1.4457203936078916e-4
<12883A>	Orcadian2	9777008	1.6824389660690914e-2	1.869508854467167e-4
<12883A>	Russian2	9777008	1.6690379946591994e-2	1.8368421467944868e-4
<12883A>	Sardinian2	9777008	1.6695033978619104e-2	1.8382763840488472e-4
<12883A>	Tuscan2	9777008	1.662409570153433e-2	1.8365733200682264e-4
<12884A>	Basque2	16008542	1.6830175504338334e-2	1.9426146524408657e-4
<12884A>	BergamoItalian2	16008542	1.671441096884401e-2	1.9759682184231452e-4
<12884A>	French2	16008542	1.680418972090505e-2	1.9500961917113226e-4
<12884A>	Han2	16008542	1.5416254526147104e-2	1.8868844445411108e-4
<12884A>	Karitiana2	16008542	1.5702732328777978e-2	1.964781749884696e-4
<12884A>	Mbuti2	16008542	1.1516641325839414e-2	1.5271825632215394e-4
<12884A>	Orcadian2	16008542	1.6833498592861814e-2	1.957550119274019e-4
<12884A>	Russian2	16008542	1.6716622967261167e-2	1.9479019229234548e-4
<12884A>	Sardinian2	16008542	1.6702945695635994e-2	1.9573122946338364e-4
<12884A>	Tuscan2	16008542	1.671155728402166e-2	1.941106473358003e-4
<12885A>	Basque2	1010328	1.6776494271921502e-2	2.037526522166713e-4
<12885A>	BergamoItalian2	1010328	1.667775217553111e-2	2.077390279598935e-4
<12885A>	French2	1010328	1.6770924507075544e-2	2.0387386391711797e-4
<12885A>	Han2	1010328	1.5403812648769952e-2	2.0289505000493395e-4
<12885A>	Karitiana2	1010328	1.5637347475275357e-2	2.0668956248668245e-4
<12885A>	Mbuti2	1010328	1.1480610077303428e-2	1.5912615118299662e-4
<12885A>	Orcadian2	1010328	1.6797248783791775e-2	2.0589562836424073e-4
<12885A>	Russian2	1010328	1.6677988861473484e-2	2.0561985269580102e-4
<12885A>	Sardinian2	1010328	1.6678361269424766e-2	2.0586197856153893e-4
<12885A>	Tuscan2	1010328	1.6639398294415273e-2	2.080416595546811e-4
<15558A>	Basque2	8060192	1.6628653865459152e-2	1.8147785836436785e-4
<15558A>	BergamoItalian2	8060192	1.653604529519892e-2	1.8457195021382043e-4
<15558A>	French2	8060192	1.663766675304242e-2	1.8270112017899483e-4
<15558A>	Han2	8060192	1.5221231502561825e-2	1.7703002628255407e-4
<15558A>	Karitiana2	8060192	1.5592103761299983e-2	1.8701244301442808e-4
<15558A>	Mbuti2	8060192	1.136933214494144e-2	1.4117517019554004e-4
<15558A>	Orcadian2	8060192	1.6694544096372745e-2	1.82613950186055e-4
<15558A>	Russian2	8060192	1.6550387924732568e-2	1.8315996888294302e-4
<15558A>	Sardinian2	8060192	1.6513423673358573e-2	1.8278841773116558e-4
<15558A>	Tuscan2	8060192	1.647248808299686e-2	1.8166271215957973e-4
<15569A>	Basque2	5690650	1.646856393089249e-2	1.7941920514480262e-4
<15569A>	BergamoItalian2	5690650	1.6369351480059392e-2	1.8239311606458946e-4
<15569A>	French2	5690650	1.6459945430054294e-2	1.8111204926878782e-4
<15569A>	Han2	5690650	1.5055230665582443e-2	1.7493692343945565e-4
<15569A>	Karitiana2	5690650	1.5423361127463488e-2	1.807329308805744e-4
<15569A>	Mbuti2	5690650	1.1244505540587705e-2	1.41853813671003e-4
<15569A>	Orcadian2	5690650	1.650543502871443e-2	1.8302277777049796e-4
<15569A>	Russian2	5690650	1.6359272017141758e-2	1.8018564178038415e-4
<15569A>	Sardinian2	5690650	1.6338731076414814e-2	1.8216683824116362e-4
<15569A>	Tuscan2	5690650	1.6349479702084408e-2	1.78669238257692e-4
<15570A>	Basque2	14764188	1.6752900748112674e-2	1.934272945657655e-4
<15570A>	BergamoItalian2	14764188	1.6657417935886484e-2	1.909876698131649e-4
<15570A>	French2	14764188	1.6720930506876622e-2	1.9141962808385968e-4
<15570A>	Han2	14764188	1.5325444374962164e-2	1.8096466174679146e-4
<15570A>	Karitiana2	14764188	1.5677282760149087e-2	1.8920374008503802e-4
<15570A>	Mbuti2	14764188	1.1503486433770421e-2	1.5030398234182538e-4
<15570A>	Orcadian2	14764188	1.6776488538972206e-2	1.9410214064846264e-4
<15570A>	Russian2	14764188	1.6644053488252025e-2	1.909328082260385e-4
<15570A>	Sardinian2	14764188	1.6640086497450156e-2	1.9233763977027747e-4
<15570A>	Tuscan2	14764188	1.6590990307086294e-2	1.901084829761826e-4
<15577A>	Basque2	14025333	1.6767049479748698e-2	1.9240077881599305e-4
<15577A>	BergamoItalian2	14025333	1.6670516842630403e-2	1.9223711596019958e-4
