Left	Right	Norm	RAS	StdErr
<12880A>	Basque2	1866586	1.694337250186271e-2	2.1803167147344115e-4
<12880A>	BergamoItalian2	1866586	1.6843049288915692e-2	2.23716409929654e-4
<12880A>	French2	1866586	1.692158633668427e-2	2.1843786196049962e-4
<12880A>	Han2	1866586	1.5446036153013945e-2	2.1448010970650781e-4
<12880A>	Karitiana2	1866586	1.5841836379357824e-2	2.1938719490970467e-4
<12880A>	Mbuti2	1866586	1.1624869243537764e-2	1.7065104021155345e-4
<12880A>	Orcadian2	1866586	1.696857669151472e-2	2.2088286695051256e-4
<12880A>	Russian2	1866586	1.6823133832010163e-2	2.204648494975357e-4
<12880A>	Sardinian2	1866586	1.6839175495138838e-2	2.195305673292855e-4
<12880A>	Tuscan2	1866586	1.6800547452229187e-2	2.1974048463883344e-4
<12881A>	Basque2	7330288	1.7043554996293012e-2	2.0066611466584537e-4
<12881A>	BergamoItalian2	7330288	1.6952096561553925e-2	2.035416773583861e-4
<12881A>	French2	7330288	1.702408187467164e-2	2.0077841826511453e-4
<12881A>	Han2	7330288	1.5566021328880767e-2	1.8978964637371933e-4
<12881A>	Karitiana2	7330288	1.5911325721445057e-2	1.9664787024288862e-4
<12881A>	Mbuti2	7330288	1.166583830614219e-2	1.6045627737630485e-4
<12881A>	Orcadian2	7330288	1.7081504322046578e-2	2.0348494114580957e-4
<12881A>	Russian2	7330288	1.6960078631230474e-2	2.0021139592759661e-4
<12881A>	Sardinian2	7330288	1.6918508312570864e-2	2.0003884705974912e-4
<12881A>	Tuscan2	7330288	1.687368900103242e-2	1.9915542744901852e-4
<12883A>	Basque2	7345617	1.7011978189235315e-2	1.9745469641537175e-4
<12883A>	BergamoItalian2	7345617	1.692120621045175e-2	1.9938641659382787e-4
<12883A>	French2	7345617	1.700304098662875e-2	1.975394935371529e-4
<12883A>	Han2	7345617	1.55784208328893e-2	1.8760086893163233e-4
<12883A>	Karitiana2	7345617	1.593639445127618e-2	1.9948125616930037e-4
<12883A>	Mbuti2	7345617	1.1669451072907564e-2	1.5814143771804106e-4
<12883A>	Orcadian2	7345617	1.7038805380342924e-2	1.991696961038654e-4
<12883A>	Russian2	7345617	1.6904443182566047e-2	1.9476564187065494e-4
<12883A>	Sardinian2	7345617	1.6909890200248245e-2	1.960720184263521e-4
<12883A>	Tuscan2	7345617	1.6852044786253715e-2	1.9799867123678543e-4
<12884A>	Basque2	11156748	1.705308324441426e-2	2.0756206444370333e-4
<12884A>	BergamoItalian2	11156748	1.6939945224181813e-2	2.1188593520597287e-4
<12884A>	French2	11156748	1.701926872487326e-2	2.0882862943940128e-4
<12884A>	Han2	11156748	1.5621562726851711e-2	2.0312642019444177e-4
<12884A>	Karitiana2	11156748	1.59206831596447e-2	2.112925065575263e-4
<12884A>	Mbuti2	11156748	1.1696736849711495e-2	1.6877116054368004e-4
<12884A>	Orcadian2	11156748	1.7053887304519483e-2	2.0945035881838266e-4
<12884A>	Russian2	11156748	1.6931008928408164e-2	2.0900580528170938e-4
<12884A>	Sardinian2	11156748	1.692156483371181e-2	2.086743800576693e-4
<12884A>	Tuscan2	11156748	1.6936020842871664e-2	2.0829846097465896e-4
<12885A>	Basque2	794995	1.7021909991048165e-2	2.0431451995402939e-4
<12885A>	BergamoItalian2	794995	1.689979182259008e-2	2.096658183010205e-4
<12885A>	French2	794995	1.6997131573638347e-2	2.0439755682595407e-4
<12885A>	Han2	794995	1.5620609502717504e-2	2.0288190142986798e-4
<12885A>	Karitiana2	794995	1.5873307379291695e-2	2.0285035454588676e-4
<12885A>	Mbuti2	794995	1.1674001380225953e-2	1.6798709092988897e-4
<12885A>	Orcadian2	794995	1.7021297182807628e-2	2.0706497686479055e-4
<12885A>	Russian2	794995	1.6903907243605857e-2	2.051960849386531e-4
<12885A>	Sardinian2	794995	1.6911451305692785e-2	2.0701689662662462e-4
<12885A>	Tuscan2	794995	1.686079786665325e-2	2.0606059437581475e-4
<15558A>	Basque2	5924929	1.6858120437673887e-2	1.9484426802769046e-4
<15558A>	BergamoItalian2	5924929	1.6771162996214815e-2	2.0022299395355584e-4
<15558A>	French2	5924929	1.6864528607074384e-2	1.9678508783945256e-4
<15558A>	Han2	5924929	1.5416338267921752e-2	1.9097978569593597e-4
<15558A>	Karitiana2	5924929	1.5795598563290797e-2	2.0055917201066285e-4
<15558A>	Mbuti2	5924929	1.1542999847838586e-2	1.5105923156009965e-4
<15558A>	Orcadian2	5924929	1.692506487289682e-2	1.9736542534067516e-4
<15558A>	Russian2	5924929	1.6773534332647704e-2	1.96279731413934e-4
<15558A>	Sardinian2	5924929	1.674370275154353e-2	1.9595492699312503e-4
<15558A>	Tuscan2	5924929	1.669790754735907e-2	1.9424538012074733e-4
<15569A>	Basque2	4208925	1.6714147968446856e-2	1.9219844176775707e-4
<15569A>	BergamoItalian2	4208925	1.662962632976354e-2	1.944513848243839e-4
<15569A>	French2	4208925	1.6708053079513712e-2	1.9265378503257837e-4
<15569A>	Han2	4208925	1.5291457266212527e-2	1.8802233520549315e-4
<15569A>	Karitiana2	4208925	1.5652250871659626e-2	1.917203884524291e-4
<15569A>	Mbuti2	4208925	1.1427880256619172e-2	1.5556391318047376e-4
