Left	Right	Norm	RAS	StdErr
<12880A>	Basque2	5976913	1.728879025645769e-2	1.6840150631790824e-4
<12880A>	BergamoItalian2	5976913	1.7196862326756296e-2	1.7126800766288584e-4
<12880A>	French2	5976913	1.7268922293807203e-2	1.6892274671332367e-4
<12880A>	Han2	5976913	1.5761011336184263e-2	1.640855100586902e-4
<12880A>	Karitiana2	5976913	1.6144303924116008e-2	1.6772491305065663e-4
<12880A>	Mbuti2	5976913	1.1810992183970675e-2	1.3278460282565153e-4
<12880A>	Orcadian2	5976913	1.7313658533967418e-2	1.72118464525557e-4
<12880A>	Russian2	5976913	1.7170016637714794e-2	1.6955248147288213e-4
<12880A>	Sardinian2	5976913	1.7177860364217597e-2	1.6953480976388444e-4
<12880A>	Tuscan2	5976913	1.715270909916206e-2	1.6945881434369942e-4
<12881A>	Basque2	23610469	1.7315672249337475e-2	1.6262930754069077e-4
<12881A>	BergamoItalian2	23610469	1.722101962481137e-2	1.6340070677554332e-4
<12881A>	French2	23610469	1.729494201524299e-2	1.6272660054642612e-4
<12881A>	Han2	23610469	1.5811804200214157e-2	1.5671756630420577e-4
<12881A>	Karitiana2	23610469	1.6176144150291977e-2	1.601852734638271e-4
<12881A>	Mbuti2	23610469	1.1853982693401401e-2	1.2825193705621234e-4
<12881A>	Orcadian2	23610469	1.734881805055336e-2	1.63979253835018e-4
<12881A>	Russian2	23610469	1.7226646181919276e-2	1.6143466318495488e-4
<12881A>	Sardinian2	23610469	1.7184248778663525e-2	1.6237927371880878e-4
<12881A>	Tuscan2	23610469	1.715905841034613e-2	1.6228748817038674e-4
<12883A>	Basque2	23490332	1.7327324076905154e-2	1.6292241003298147e-4
<12883A>	BergamoItalian2	23490332	1.7224965147363606e-2	1.644934718597686e-4
<12883A>	French2	23490332	1.731051359931659e-2	1.635632113974174e-4
<12883A>	Han2	23490332	1.5858220776434402e-2	1.5910414233198566e-4
<12883A>	Karitiana2	23490332	1.6226279815883402e-2	1.629104602655685e-4
<12883A>	Mbuti2	23490332	1.186270822164002e-2	1.297732060830456e-4
<12883A>	Orcadian2	23490332	1.7348620111194944e-2	1.6532237095772252e-4
<12883A>	Russian2	23490332	1.7210056238566942e-2	1.6279554458241982e-4
<12883A>	Sardinian2	23490332	1.7214227669362994e-2	1.6188409380943488e-4
<12883A>	Tuscan2	23490332	1.7169741009478573e-2	1.636532611216211e-4
<12884A>	Basque2	34949660	1.740443118419328e-2	1.7021847859173076e-4
<12884A>	BergamoItalian2	34949660	1.728919108225946e-2	1.7273083101612054e-4
<12884A>	French2	34949660	1.737446692009199e-2	1.7103313511093585e-4
<12884A>	Han2	34949660	1.594168768783815e-2	1.6437930351220943e-4
<12884A>	Karitiana2	34949660	1.625084192521471e-2	1.7154646952604092e-4
<12884A>	Mbuti2	34949660	1.1907374258238283e-2	1.3406623045557394e-4
<12884A>	Orcadian2	34949660	1.739926797571136e-2	1.7238048559281634e-4
<12884A>	Russian2	34949660	1.727947082846535e-2	1.7063856999973415e-4
<12884A>	Sardinian2	34949660	1.7269790541376014e-2	1.7079451504509993e-4
<12884A>	Tuscan2	34949660	1.7291899263111574e-2	1.7090358314512282e-4
<12885A>	Basque2	2607556	1.716215709817382e-2	1.652405260481879e-4
<12885A>	BergamoItalian2	2607556	1.7050410422633295e-2	1.6695518462544212e-4
<12885A>	French2	2607556	1.7136072717429365e-2	1.6456742320345694e-4
<12885A>	Han2	2607556	1.5729826406722016e-2	1.6249512534722988e-4
<12885A>	Karitiana2	2607556	1.6021880258755714e-2	1.678387661730509e-4
<12885A>	Mbuti2	2607556	1.1741419586351786e-2	1.2990779318799571e-4
<12885A>	Orcadian2	2607556	1.716493853307022e-2	1.660931672404079e-4
<12885A>	Russian2	2607556	1.7057360125393432e-2	1.659881096463409e-4
<12885A>	Sardinian2	2607556	1.7046377763463027e-2	1.6513386609341688e-4
<12885A>	Tuscan2	2607556	1.701481515002299e-2	1.6662191397069426e-4
<15558A>	Basque2	19067867	1.7210156552407048e-2	1.5963454602453786e-4
<15558A>	BergamoItalian2	19067867	1.711825187368886e-2	1.6218488248767487e-4
<15558A>	French2	19067867	1.7226895585445077e-2	1.6022632629829694e-4
<15558A>	Han2	19067867	1.576239957566713e-2	1.563571559424778e-4
<15558A>	Karitiana2	19067867	1.6145704708345216e-2	1.6392424950962704e-4
<15558A>	Mbuti2	19067867	1.1786111157582524e-2	1.246311199273168e-4
<15558A>	Orcadian2	19067867	1.727119080654219e-2	1.6106780559020474e-4
<15558A>	Russian2	19067867	1.713057479051697e-2	1.6101553808468854e-4
<15558A>	Sardinian2	19067867	1.709764572069779e-2	1.6090064218883426e-4
<15558A>	Tuscan2	19067867	1.70591795436095e-2	1.6044500892213495e-4
<15569A>	Basque2	13765417	1.71010784628229e-2	1.5790005172665962e-4
<15569A>	BergamoItalian2	13765417	1.6995703798875106e-2	1.6065503573222957e-4
<15569A>	French2	13765417	1.7088266587537128e-2	1.596384868502078e-4
<15569A>	Han2	13765417	1.5617253004395011e-2	1.549702672599229e-4
<15569A>	Karitiana2	13765417	1.600648567348158e-2	1.6102582831660313e-4
<15569A>	Mbuti2	13765417	1.1671330209083173e-2	1.25851092014953e-4
<15569A>	Orcadian2	13765417	1.7136358120107463e-2	1.6093974000622437e-4
<15569A>	Russian2	13765417	1.699033321977318e-2	1.5923547371182045e-4
<15569A>	Sardinian2	13765417	1.6965143099607467e-2	1.5900972871958434e-4
<15569A>	Tuscan2	13765417	1.697560875441214e-2	1.5905445302253932e-4
<15570A>	Basque2	33456102	1.736497731806747e-2	1.7017773546605487e-4
<15570A>	BergamoItalian2	33456102	1.7270221737128864e-2	1.694689335136155e-4
<15570A>	French2	33456102	1.7337302980576667e-2	1.7008105708965114e-4
<15570A>	Han2	33456102	1.586906762662579e-2	1.6451124415508493e-4
<15570A>	Karitiana2	33456102	1.6236153273325147e-2	1.7101885646267077e-4
<15570A>	Mbuti2	33456102	1.1902674463064743e-2	1.334035985995029e-4
<15570A>	Orcadian2	33456102	1.738421749928172e-2	1.7223962901216595e-4
<15570A>	Russian2	33456102	1.72492872314736e-2	1.6975781853236258e-4
<15570A>	Sardinian2	33456102	1.72557690441872e-2	1.6978744974849405e-4
<15570A>	Tuscan2	33456102	1.7212791755198093e-2	1.6957373695528167e-4
<15577A>	Basque2	31906738	1.733320403984888e-2	1.6652451429513538e-4
<15577A>	BergamoItalian2	31906738	1.7232002845292426e-2	1.6690681782379754e-4
<15577A>	French2	31906738	1.731333483421396e-2	1.670629847720913e-4
<15577A>	Han2	31906738	1.5839002003174816e-2	1.6382230994747287e-4
<15577A>	Karitiana2	31906738	1.6158337778058026e-2	1.6728911402058257e-4
<15577A>	Mbuti2	31906738	1.1864520163848615e-2	1.2992182772263007e-4
<15577A>	Orcadian2	31906738	1.7363783546525267e-2	1.6799066081418757e-4
<15577A>	Russian2	31906738	1.7226933723828657e-2	1.664322999395043e-4
<15577A>	Sardinian2	31906738	1.7237326051752655e-2	1.67777994390469e-4
<15577A>	Tuscan2	31906738	1.721090489831124e-2	1.6655620228980803e-4
<15579A>	Basque2	5474297	1.6604658704731084e-2	1.6059424352178196e-4
<15579A>	BergamoItalian2	5474297	1.6524176528968003e-2	1.6187014677811765e-4
<15579A>	French2	5474297	1.658227671832708e-2	1.6180378490827013e-4
<15579A>	Han2	5474297	1.5208899381612751e-2	1.614565527653765e-4
<15579A>	Karitiana2	5474297	1.5537958572580186e-2	1.646153420628363e-4
<15579A>	Mbuti2	5474297	1.137005271262144e-2	1.278012339766207e-4
<15579A>	Orcadian2	5474297	1.6598253479993722e-2	1.6362078206164744e-4
<15579A>	Russian2	5474297	1.649323151924109e-2	1.6107689167507274e-4
<15579A>	Sardinian2	5474297	1.650975599100811e-2	1.619529054613652e-4
<15579A>	Tuscan2	5474297	1.6472054159039358e-2	1.606533541254403e-4
<3DT16>	Basque2	1536537	1.6481542585697572e-2	1.78071103717855e-4
<3DT16>	BergamoItalian2	1536537	1.6373670142664977e-2	1.793623249482844e-4
<3DT16>	French2	1536537	1.6438876712823902e-2	1.7778009387640092e-4
<3DT16>	Han2	1536537	1.5031423720793856e-2	1.7134522148253928e-4
<3DT16>	Karitiana2	1536537	1.5427353848296526e-2	1.7731077479056308e-4
<3DT16>	Mbuti2	1536537	1.1270887953649259e-2	1.423003718365668e-4
<3DT16>	Orcadian2	1536537	1.647901442309255e-2	1.7819010570948048e-4
<3DT16>	Russian2	1536537	1.6337585328453585e-2	1.7911259253314022e-4
<3DT16>	Sardinian2	1536537	1.6365297168492925e-2	1.7848467714554723e-4
<3DT16>	Tuscan2	1536537	1.6324045564799296e-2	1.7982923198860427e-4
<3DT26>	Basque2	5032443	1.6261258625851736e-2	1.6523387444917522e-4
<3DT26>	BergamoItalian2	5032443	1.624515170862342e-2	1.6720697480421105e-4
<3DT26>	French2	5032443	1.621853365330638e-2	1.6543872630170133e-4
<3DT26>	Han2	5032443	1.4949200616877326e-2	1.6121394395971487e-4
<3DT26>	Karitiana2	5032443	1.5151507925673477e-2	1.716070141263345e-4
<3DT26>	Mbuti2	5032443	1.162777023189153e-2	1.3023982246366085e-4
<3DT26>	Orcadian2	5032443	1.6182276603109988e-2	1.6484821219876604e-4
<3DT26>	Russian2	5032443	1.6046001307222297e-2	1.651250818585876e-4
<3DT26>	Sardinian2	5032443	1.6329826900557676e-2	1.667484993113391e-4
<3DT26>	Tuscan2	5032443	1.625068911196146e-2	1.6839893954310477e-4
<6DT18>	Basque2	4243396	1.6999008296544514e-2	1.77025283611927e-4
<6DT18>	BergamoItalian2	4243396	1.691381148495215e-2	1.7951257627775777e-4
<6DT18>	French2	4243396	1.69415604859881e-2	1.7785488455917989e-4
<6DT18>	Han2	4243396	1.5495687583642313e-2	1.7475482174381479e-4
<6DT18>	Karitiana2	4243396	1.5877471723119884e-2	1.8136109225299151e-4
<6DT18>	Mbuti2	4243396	1.1638962583913276e-2	1.4007652281067517e-4
<6DT18>	Orcadian2	4243396	1.7002320057585226e-2	1.7880989701837138e-4
<6DT18>	Russian2	4243396	1.687548594692019e-2	1.7931378125864928e-4
<6DT18>	Sardinian2	4243396	1.68931368250263e-2	1.7781005592438197e-4
<6DT18>	Tuscan2	4243396	1.6855917603102167e-2	1.764913121129717e-4
<6DT21>	Basque2	5110888	1.6855690756488413e-2	1.727657736634872e-4
<6DT21>	BergamoItalian2	5110888	1.6754700944336866e-2	1.750811408840679e-4
<6DT21>	French2	5110888	1.6841116004167513e-2	1.7401073328046336e-4
<6DT21>	Han2	5110888	1.5422630804994624e-2	1.7098104312576032e-4
<6DT21>	Karitiana2	5110888	1.576095973928601e-2	1.7311104596077364e-4
