Left	Right	Norm	RAS	StdErr
<12880A>	Basque2	2373746	1.378752041228145e-2	1.2559683459553614e-4
<12880A>	BergamoItalian2	2373746	1.3695926185868247e-2	1.2823433825127087e-4
<12880A>	French2	2373746	1.3770323362314252e-2	1.2529717117217267e-4
<12880A>	Han2	2373746	1.2328166317656132e-2	1.1898902557755781e-4
<12880A>	Karitiana2	2373746	1.2722085682292878e-2	1.2317813356814414e-4
<12880A>	Mbuti2	2373746	8.940299425465075e-3	9.786317207303567e-5
<12880A>	Orcadian2	2373746	1.3817643894113744e-2	1.296346952894189e-4
<12880A>	Russian2	2373746	1.3672876029115452e-2	1.271981975158304e-4
<12880A>	Sardinian2	2373746	1.3686400508537335e-2	1.2510011861864364e-4
<12880A>	Tuscan2	2373746	1.3637305760599482e-2	1.2156114125390526e-4
<12881A>	Basque2	9822799	1.3937563107254967e-2	1.1123843750952676e-4
<12881A>	BergamoItalian2	9822799	1.384022008390888e-2	1.1195150488201846e-4
<12881A>	French2	9822799	1.391688944182892e-2	1.0950586240633171e-4
<12881A>	Han2	9822799	1.2508721932549231e-2	1.0422885258201309e-4
<12881A>	Karitiana2	9822799	1.2840484672444183e-2	1.1177917331530253e-4
<12881A>	Mbuti2	9822799	9.004024949785402e-3	7.858034136215321e-5
<12881A>	Orcadian2	9822799	1.3965238499660913e-2	1.1295063918616867e-4
<12881A>	Russian2	9822799	1.3852739317280479e-2	1.0848084025255173e-4
<12881A>	Sardinian2	9822799	1.3809586092674653e-2	1.1032937408348785e-4
<12881A>	Tuscan2	9822799	1.3773518118410044e-2	1.0898882393496569e-4
<12883A>	Basque2	9777008	1.3914452589761026e-2	1.1656657103253844e-4
<12883A>	BergamoItalian2	9777008	1.3815075123186965e-2	1.167779488376348e-4
<12883A>	French2	9777008	1.389957635615816e-2	1.1668090627215606e-4
<12883A>	Han2	9777008	1.2528458472129458e-2	1.0983647644393786e-4
<12883A>	Karitiana2	9777008	1.2874393679538769e-2	1.1809174006603686e-4
<12883A>	Mbuti2	9777008	9.013600628591623e-3	8.356663363260792e-5
<12883A>	Orcadian2	9777008	1.3938199152070311e-2	1.1956784760671686e-4
<12883A>	Russian2	9777008	1.3806319888456667e-2	1.1611821242611573e-4
<12883A>	Sardinian2	9777008	1.3815251754225523e-2	1.1450394693852348e-4
<12883A>	Tuscan2	9777008	1.3741124414885755e-2	1.1481796021624839e-4
<12884A>	Basque2	16008542	1.3939269482029082e-2	1.214109889413745e-4
<12884A>	BergamoItalian2	16008542	1.382493483791341e-2	1.243561522161747e-4
<12884A>	French2	16008542	1.3912385025444554e-2	1.2327221479219885e-4
<12884A>	Han2	16008542	1.255162762883192e-2	1.1683375354344258e-4
<12884A>	Karitiana2	16008542	1.2829553746993327e-2	1.2758859814834643e-4
<12884A>	Mbuti2	16008542	9.039245195698384e-3	8.833726866605142e-5
<12884A>	Orcadian2	16008542	1.3939007831424762e-2	1.244787364963773e-4
<12884A>	Russian2	16008542	1.3825560454999036e-2	1.2253536594575542e-4
<12884A>	Sardinian2	16008542	1.3815630190047685e-2	1.2143526718221669e-4
<12884A>	Tuscan2	16008542	1.3820387265748496e-2	1.2074295417108567e-4
<12885A>	Basque2	1010328	1.3830751239295789e-2	1.3579205000238063e-4
<12885A>	BergamoItalian2	1010328	1.3734500083141319e-2	1.390817799531246e-4
<12885A>	French2	1010328	1.3820721130624459e-2	1.357594287864489e-4
<12885A>	Han2	1010328	1.2481701886145693e-2	1.3461294632506206e-4
<12885A>	Karitiana2	1010328	1.2708744091027869e-2	1.4266897365406784e-4
<12885A>	Mbuti2	1010328	8.943225278415429e-3	9.661349898174057e-5
<12885A>	Orcadian2	1010328	1.3848701381364048e-2	1.3705220135817485e-4
<12885A>	Russian2	1010328	1.373081854089228e-2	1.372767899769079e-4
<12885A>	Sardinian2	1010328	1.3736133216143672e-2	1.3811729464304897e-4
<12885A>	Tuscan2	1010328	1.3694067669113392e-2	1.369890482055769e-4
<15558A>	Basque2	8060192	1.3751161262659751e-2	1.0915238490709932e-4
<15558A>	BergamoItalian2	8060192	1.3656380642049219e-2	1.1136191803937897e-4
<15558A>	French2	8060192	1.375630763748937e-2	1.107762982336424e-4
<15558A>	Han2	8060192	1.2368279772667875e-2	1.0681823641686824e-4
<15558A>	Karitiana2	8060192	1.2730807156951107e-2	1.1768605669597189e-4
<15558A>	Mbuti2	8060192	8.902630246389785e-3	7.986923264563967e-5
<15558A>	Orcadian2	8060192	1.3811156970339779e-2	1.1025899072802578e-4
<15558A>	Russian2	8060192	1.367010536635398e-2	1.1124177042907947e-4
<15558A>	Sardinian2	8060192	1.3640362699510416e-2	1.1027484795584849e-4
