Left	Right	Norm	RAS	StdErr
<12880A>	Basque2	1866586	1.3994214443858873e-2	1.39057540092022e-4
<12880A>	BergamoItalian2	1866586	1.3895046893097878e-2	1.4496836485935699e-4
<12880A>	French2	1866586	1.3972465073834105e-2	1.4102083957401738e-4
<12880A>	Han2	1866586	1.2523813097038329e-2	1.382785460598639e-4
<12880A>	Karitiana2	1866586	1.2909209647988359e-2	1.405248544361344e-4
<12880A>	Mbuti2	1866586	9.099914350194815e-3	1.0456190990745599e-4
<12880A>	Orcadian2	1866586	1.4015818595677224e-2	1.4345227388585813e-4
<12880A>	Russian2	1866586	1.3874108876475201e-2	1.4297550504797105e-4
<12880A>	Sardinian2	1866586	1.3894041355138777e-2	1.4003887829083594e-4
<12880A>	Tuscan2	1866586	1.3853009362190295e-2	1.3949729817483263e-4
<12881A>	Basque2	7330288	1.4141086693352041e-2	1.2408410393244606e-4
<12881A>	BergamoItalian2	7330288	1.4049829965753043e-2	1.2722190669318162e-4
<12881A>	French2	7330288	1.4119279435594434e-2	1.248598708510151e-4
<12881A>	Han2	7330288	1.2689416929479613e-2	1.1751033378802647e-4
<12881A>	Karitiana2	7330288	1.3025832000052386e-2	1.252156910385643e-4
<12881A>	Mbuti2	7330288	9.18522139673339e-3	9.414467358012779e-5
<12881A>	Orcadian2	7330288	1.4174356503402779e-2	1.279237464374759e-4
<12881A>	Russian2	7330288	1.4055153915774724e-2	1.236592688500787e-4
<12881A>	Sardinian2	7330288	1.4019487994930703e-2	1.2319715514003994e-4
<12881A>	Tuscan2	7330288	1.3972154527443763e-2	1.2225188755581466e-4
<12883A>	Basque2	7345617	1.411507738300981e-2	1.2603985471891922e-4
<12883A>	BergamoItalian2	7345617	1.4023743682797511e-2	1.2865983676837447e-4
<12883A>	French2	7345617	1.4103470451521265e-2	1.2711551437093866e-4
<12883A>	Han2	7345617	1.2708280501191743e-2	1.1963951584480881e-4
<12883A>	Karitiana2	7345617	1.3056745267279794e-2	1.317307051279915e-4
<12883A>	Mbuti2	7345617	9.192253384198034e-3	9.600313358837503e-5
<12883A>	Orcadian2	7345617	1.413680273032727e-2	1.299549625896656e-4
<12883A>	Russian2	7345617	1.4005376326424665e-2	1.247035442621285e-4
