Left	Right	Norm	RAS	StdErr
<12880A>	Basque2	5976913	1.4263088335941658e-2	1.0564535662504399e-4
<12880A>	BergamoItalian2	5976913	1.4173637795965912e-2	1.0827947654991907e-4
<12880A>	French2	5976913	1.424228913436134e-2	1.0645847167267314e-4
<12880A>	Han2	5976913	1.2766888299220914e-2	1.0106564809435758e-4
<12880A>	Karitiana2	5976913	1.3138989976932917e-2	1.0719258066277581e-4
<12880A>	Mbuti2	5976913	9.228076281336052e-3	7.883933927962698e-5
<12880A>	Orcadian2	5976913	1.428374351570657e-2	1.1018328485647253e-4
<12880A>	Russian2	5976913	1.4143316050479134e-2	1.0711347948044229e-4
<12880A>	Sardinian2	5976913	1.4157613959426366e-2	1.0699103107245995e-4
<12880A>	Tuscan2	5976913	1.4130301601066203e-2	1.062963041720181e-4
<12881A>	Basque2	23610469	1.4349752262540011e-2	1.002541428131862e-4
<12881A>	BergamoItalian2	23610469	1.4255229322212966e-2	1.0090797807221366e-4
<12881A>	French2	23610469	1.4326432416973104e-2	1.0002622272169017e-4
<12881A>	Han2	23610469	1.2874539652509188e-2	9.510997351260747e-5
<12881A>	Karitiana2	23610469	1.3228807526017374e-2	1.013202311133701e-4
<12881A>	Mbuti2	23610469	9.320383951866261e-3	7.243141521572672e-5
<12881A>	Orcadian2	23610469	1.4377753360172562e-2	1.0123540066428285e-4
<12881A>	Russian2	23610469	1.4258295482324412e-2	9.856300814034227e-5
<12881A>	Sardinian2	23610469	1.4221838984288646e-2	9.955589644300039e-5
<12881A>	Tuscan2	23610469	1.4194374255476804e-2	1.0003895935346006e-4
<12883A>	Basque2	23490332	1.4354386712108168e-2	1.0241635496774482e-4
<12883A>	BergamoItalian2	23490332	1.4251929261791621e-2	1.0458376498219719e-4
<12883A>	French2	23490332	1.4334777093696394e-2	1.0374425228722551e-4
<12883A>	Han2	23490332	1.2914676227567364e-2	9.913412818749235e-5
<12883A>	Karitiana2	23490332	1.3270974629051652e-2	1.0556300558068447e-4
<12883A>	Mbuti2	23490332	9.321471256577129e-3	7.631051402322961e-5
<12883A>	Orcadian2	23490332	1.4370345736607405e-2	1.0560365700451821e-4
<12883A>	Russian2	23490332	1.4235298645602275e-2	1.02945004782413e-4
<12883A>	Sardinian2	23490332	1.4243769931194878e-2	1.0148718295067306e-4
<12883A>	Tuscan2	23490332	1.4196663262713079e-2	1.0317497116006793e-4
<12884A>	Basque2	34949660	1.44216567485921e-2	1.091614901975293e-4
<12884A>	BergamoItalian2	34949660	1.4307496839740365e-2	1.1157338710332528e-4
<12884A>	French2	34949660	1.4391737342311127e-2	1.1063546187318445e-4
<12884A>	Han2	34949660	1.2990458645469669e-2	1.0299830742339926e-4
<12884A>	Karitiana2	34949660	1.3288671477776891e-2	1.1262554100022995e-4
<12884A>	Mbuti2	34949660	9.362862575383058e-3	8.059185369982866e-5
<12884A>	Orcadian2	34949660	1.4412619574729894e-2	1.1237045996709219e-4
<12884A>	Russian2	34949660	1.4296721776904019e-2	1.099138944589238e-4
<12884A>	Sardinian2	34949660	1.4291273615999526e-2	1.0851712698474095e-4
<12884A>	Tuscan2	34949660	1.430971240731192e-2	1.0881485022549798e-4
<12885A>	Basque2	2607556	1.4193431192529204e-2	1.0519069201157488e-4
<12885A>	BergamoItalian2	2607556	1.4082286248118928e-2	1.0683262365956804e-4
<12885A>	French2	2607556	1.4163741833348937e-2	1.050350841089537e-4
<12885A>	Han2	2607556	1.279261178394758e-2	1.0307551520535127e-4
<12885A>	Karitiana2	2607556	1.3073027003063422e-2	1.1080338774538574e-4
<12885A>	Mbuti2	2607556	9.1966123903693e-3	7.694750185638118e-5
<12885A>	Orcadian2	2607556	1.419298377484511e-2	1.0619303804122894e-4
<12885A>	Russian2	2607556	1.4088471450227557e-2	1.0520722881707057e-4
<12885A>	Sardinian2	2607556	1.40814956463211e-2	1.0482525516594706e-4
<12885A>	Tuscan2	2607556	1.40479884867925e-2	1.0534084501417082e-4
<15558A>	Basque2	19067867	1.4263593800177523e-2	1.0083377127865162e-4
<15558A>	BergamoItalian2	19067867	1.4170570310774669e-2	1.0301426956142598e-4
<15558A>	French2	19067867	1.4277111209780702e-2	1.019036921875775e-4
<15558A>	Han2	19067867	1.2845066316491113e-2	9.732399374701662e-5
<15558A>	Karitiana2	19067867	1.3218298092807132e-2	1.0655017954885907e-4
<15558A>	Mbuti2	19067867	9.263659499656003e-3	7.276787610087692e-5
<15558A>	Orcadian2	19067867	1.4317812991151747e-2	1.0265953720719184e-4
<15558A>	Russian2	19067867	1.418194239053313e-2	1.0250789632912578e-4
<15558A>	Sardinian2	19067867	1.4156166698989135e-2	1.015880596606861e-4
<15558A>	Tuscan2	19067867	1.4113748713127339e-2	1.0167036303474671e-4
<15569A>	Basque2	13765417	1.4158523217311628e-2	1.0132888384433857e-4
<15569A>	BergamoItalian2	13765417	1.4053395549150463e-2	1.0344416106128114e-4
<15569A>	French2	13765417	1.4143136606535281e-2	1.0308384125681431e-4
<15569A>	Han2	13765417	1.2704946540796704e-2	9.726660697803604e-5
<15569A>	Karitiana2	13765417	1.308337044929332e-2	1.0571012728116205e-4
<15569A>	Mbuti2	13765417	9.154974778791316e-3	7.568450599153824e-5
<15569A>	Orcadian2	13765417	1.4188966339453308e-2	1.0423215591814718e-4
<15569A>	Russian2	13765417	1.4046062901216735e-2	1.0237751800118829e-4
<15569A>	Sardinian2	13765417	1.4027621371172978e-2	1.0156407851069429e-4
<15569A>	Tuscan2	13765417	1.403426427256072e-2	1.0244425032549418e-4
<15570A>	Basque2	33456102	1.4380087275758135e-2	1.0528917324252165e-4
<15570A>	BergamoItalian2	33456102	1.4286568710246056e-2	1.0469658484484451e-4
<15570A>	French2	33456102	1.4352973866839237e-2	1.053799773891343e-4
<15570A>	Han2	33456102	1.2914516673125103e-2	1.0055251326667615e-4
<15570A>	Karitiana2	33456102	1.3271456429682095e-2	1.0758526992526556e-4
<15570A>	Mbuti2	33456102	9.354025381460341e-3	7.787223818165883e-5
<15570A>	Orcadian2	33456102	1.4397117245664887e-2	1.0784414486922841e-4
<15570A>	Russian2	33456102	1.4265088648688522e-2	1.049797429552208e-4
<15570A>	Sardinian2	33456102	1.4275162374311819e-2	1.0464072259941895e-4
<15570A>	Tuscan2	33456102	1.4229594051333288e-2	1.0559348909785032e-4
<15577A>	Basque2	31906738	1.435296176237728e-2	1.0630268205585048e-4
<15577A>	BergamoItalian2	31906738	1.4253227641133367e-2	1.0536401087851615e-4
<15577A>	French2	31906738	1.4332803912163308e-2	1.0663777612542455e-4
<15577A>	Han2	31906738	1.2889301454637236e-2	1.0273129879572288e-4
<15577A>	Karitiana2	31906738	1.3198770115578715e-2	1.0861060887532622e-4
<15577A>	Mbuti2	31906738	9.317073061210709e-3	7.681562438231331e-5
<15577A>	Orcadian2	31906738	1.438039634329083e-2	1.0782270464803812e-4
<15577A>	Russian2	31906738	1.4246729081923478e-2	1.0598989482645407e-4
<15577A>	Sardinian2	31906738	1.4261272119917833e-2	1.0667911358413767e-4
<15577A>	Tuscan2	31906738	1.4232208047508119e-2	1.0504225641855647e-4
<15579A>	Basque2	5474297	1.3645548590857544e-2	1.0174818008459273e-4
<15579A>	BergamoItalian2	5474297	1.3567239775262465e-2	1.0253164403232931e-4
<15579A>	French2	5474297	1.3622859140283572e-2	1.0285144195167839e-4
<15579A>	Han2	5474297	1.2277440343245847e-2	1.017343065669944e-4
<15579A>	Karitiana2	5474297	1.259636625488168e-2	1.0799748665896836e-4
<15579A>	Mbuti2	5474297	8.823108826908408e-3	7.686469219922853e-5
<15579A>	Orcadian2	5474297	1.363740965629572e-2	1.0494463017871529e-4
<15579A>	Russian2	5474297	1.3535154654878803e-2	1.0218848475689155e-4
<15579A>	Sardinian2	5474297	1.3556377123014099e-2	1.0202710184366045e-4
<15579A>	Tuscan2	5474297	1.3516377841148676e-2	1.0122822903933198e-4
<3DT16>	Basque2	1536537	1.3579283433182167e-2	1.2299861682788502e-4
<3DT16>	BergamoItalian2	1536537	1.346993271232648e-2	1.2426942053930394e-4
<3DT16>	French2	1536537	1.3534919006931717e-2	1.2252948614680913e-4
<3DT16>	Han2	1536537	1.2159181495834157e-2	1.1261715367960911e-4
<3DT16>	Karitiana2	1536537	1.2544735336669407e-2	1.2228685304840553e-4
<3DT16>	Mbuti2	1536537	8.788416597014766e-3	9.139063134679998e-5
<3DT16>	Orcadian2	1536537	1.357085145662967e-2	1.2287709713087937e-4
