Left	Right	k	Cumulative	Norm	RAS	StdErr
<ind0>	<ind0>	2	False	58074	0.0	NaN
<ind0>	<ind0>	3	False	58074	0.0	NaN
<ind0>	<ind0>	4	False	58074	2.0663291662361815e-4	NaN
<ind0>	<ind0>	5	False	58074	3.443881943726969e-5	NaN
<ind0>	<ind1>	2	False	58074	0.0	NaN
<ind0>	<ind1>	3	False	58074	0.0	NaN
<ind0>	<ind1>	4	False	58074	0.0	NaN
<ind0>	<ind1>	5	False	58074	0.0	NaN
<ind0>	<ind2>	2	False	58074	0.0	NaN
<ind0>	<ind2>	3	False	58074	0.0	NaN
<ind0>	<ind2>	4	False	58074	0.0	NaN
<ind0>	<ind2>	5	False	58074	0.0	NaN
<ind0>	<ind3>	2	False	58074	0.0	NaN
<ind0>	<ind3>	3	False	58074	0.0	NaN
<ind0>	<ind3>	4	False	58074	1.0331645831180907e-4	NaN
<ind0>	<ind3>	5	False	58074	1.7219409718634846e-5	NaN
<ind0>	<ind4>	2	False	58074	0.0	NaN
<ind0>	<ind4>	3	False	58074	0.0	NaN
<ind0>	<ind4>	4	False	58074	0.0	NaN
<ind0>	<ind4>	5	False	58074	0.0	NaN
<ind0>	<ind5>	2	False	58074	0.0	NaN
<ind0>	<ind5>	3	False	58074	0.0	NaN
<ind0>	<ind5>	4	False	58074	0.0	NaN
<ind0>	<ind5>	5	False	58074	0.0	NaN
<ind0>	<ind6>	2	False	58074	0.0	NaN
<ind0>	<ind6>	3	False	58074	0.0	NaN
<ind0>	<ind6>	4	False	58074	0.0	NaN
<ind0>	<ind6>	5	False	58074	0.0	NaN
<ind0>	<ind7>	2	False	58074	0.0	NaN
<ind0>	<ind7>	3	False	58074	0.0	NaN
<ind0>	<ind7>	4	False	58074	0.0	NaN
<ind0>	<ind7>	5	False	58074	0.0	NaN
<ind0>	<ind8>	2	False	58074	0.0	NaN
<ind0>	<ind8>	3	False	58074	0.0	NaN
<ind0>	<ind8>	4	False	58074	1.0331645831180907e-4	NaN
<ind0>	<ind8>	5	False	58074	1.7219409718634846e-5	NaN
<ind0>	<ind9>	2	False	58074	0.0	NaN
<ind0>	<ind9>	3	False	58074	0.0	NaN
<ind0>	<ind9>	4	False	58074	0.0	NaN
<ind0>	<ind9>	5	False	58074	0.0	NaN
<ind0>	<ind10>	2	False	58074	0.0	NaN
<ind0>	<ind10>	3	False	58074	0.0	NaN
<ind0>	<ind10>	4	False	58074	0.0	NaN
<ind0>	<ind10>	5	False	58074	0.0	NaN
<ind0>	<ind11>	2	False	58074	0.0	NaN
<ind0>	<ind11>	3	False	58074	0.0	NaN
<ind0>	<ind11>	4	False	58074	0.0	NaN
<ind0>	<ind11>	5	False	58074	0.0	NaN
<ind0>	<ind12>	2	False	58074	0.0	NaN
<ind0>	<ind12>	3	False	58074	0.0	NaN
<ind0>	<ind12>	4	False	58074	0.0	NaN
<ind0>	<ind12>	5	False	58074	0.0	NaN
<ind0>	<ind13>	2	False	58074	0.0	NaN
<ind0>	<ind13>	3	False	58074	0.0	NaN
<ind0>	<ind13>	4	False	58074	0.0	NaN
<ind0>	<ind13>	5	False	58074	0.0	NaN
<ind0>	<ind14>	2	False	58074	0.0	NaN
<ind0>	<ind14>	3	False	58074	0.0	NaN
<ind0>	<ind14>	4	False	58074	0.0	NaN
<ind0>	<ind14>	5	False	58074	0.0	NaN
