#Available populations in Input File and their respective sizes:  {'ind0': 2, 'ind1': 2, 'ind2': 2, 'ind3': 2, 'ind4': 2, 'ind5': 2, 'ind6': 2, 'ind7': 2, 'ind8': 2, 'ind9': 2, 'ind10': 2, 'ind11': 2, 'ind12': 2, 'ind13': 2, 'ind14': 2, 'ind15': 2, 'ind16': 2, 'ind17': 2, 'ind18': 2, 'ind19': 2, 'ind20': 2, 'ind21': 2, 'ind22': 2, 'ind23': 2, 'ind24': 2, 'ind25': 2, 'ind26': 2, 'ind27': 2, 'ind28': 2, 'ind29': 2, 'ind30': 2, 'ind31': 2, 'ind32': 2, 'ind33': 2, 'ind34': 2, 'ind35': 2, 'ind36': 2, 'ind37': 2, 'ind38': 2, 'ind39': 2, 'ind40': 2, 'ind41': 2, 'ind42': 2, 'ind43': 2, 'ind44': 2, 'ind45': 2, 'ind46': 2, 'ind47': 2, 'ind48': 2, 'ind49': 2, 'ind50': 2, 'ind51': 2, 'ind52': 2, 'ind53': 2, 'ind54': 2, 'ind55': 2, 'ind56': 2, 'ind57': 2, 'ind58': 2, 'ind59': 2, 'ind60': 2, 'ind61': 2, 'ind62': 2, 'ind63': 2, 'ind64': 2, 'ind65': 2, 'ind66': 2, 'ind67': 2, 'ind68': 2, 'ind69': 2, 'ind70': 2, 'ind71': 2, 'ind72': 2, 'ind73': 2, 'ind74': 2, 'ind75': 2, 'ind76': 2, 'ind77': 2, 'ind78': 2, 'ind79': 2, 'ind80': 2, 'ind81': 2, 'ind82': 2, 'ind83': 2, 'ind84': 2, 'ind85': 2, 'ind86': 2, 'ind87': 2, 'ind88': 2, 'ind89': 2, 'Ref': 2}
#Left Populations:  ind0 ind1 ind2 ind3
#Tested Populations:  ind0 ind1 ind2 ind3
#Populations considered for allele frequency calculation (Rights):	ind0	ind1	ind2	ind3
#Outgroup: 	Ref
TestPop	LeftPop	RAS	NumSites	RAS/site	Error	AlleleCount
ind0	ind0	2980.2	5.807400000000000e+04	5.131814581396150e-02	0.000000000000000e+00	Total [2,5]
ind0	ind0	6054.5	5.807400000000000e+04	1.042549161414747e-01	0.000000000000000e+00	Outgroup F3
ind1	ind0	1619.2	5.807400000000000e+04	2.788252918689947e-02	0.000000000000000e+00	Total [2,5]
ind1	ind0	3990.2	5.807400000000000e+04	6.870974962978268e-02	0.000000000000000e+00	Outgroup F3
ind2	ind0	1469.8	5.807400000000000e+04	2.530822743396356e-02	0.000000000000000e+00	Total [2,5]
ind2	ind0	3763.5	5.807400000000000e+04	6.480524847608224e-02	0.000000000000000e+00	Outgroup F3
ind3	ind0	1494.2	5.807400000000000e+04	2.573010297207012e-02	0.000000000000000e+00	Total [2,5]
ind3	ind0	4006.5	5.807400000000000e+04	6.898956503771050e-02	0.000000000000000e+00	Outgroup F3
ind0	ind1	1619.2	5.807400000000000e+04	2.788252918689947e-02	0.000000000000000e+00	Total [2,5]
ind0	ind1	3990.2	5.807400000000000e+04	6.870974962978268e-02	0.000000000000000e+00	Outgroup F3
ind1	ind1	2818.8	5.807400000000000e+04	4.853721114440197e-02	0.000000000000000e+00	Total [2,5]
ind1	ind1	5698.8	5.807400000000000e+04	9.812911113407033e-02	0.000000000000000e+00	Outgroup F3
ind2	ind1	1417.5	5.807400000000000e+04	2.440851327616489e-02	0.000000000000000e+00	Total [2,5]
ind2	ind1	3559.5	5.807400000000000e+04	6.129248889348073e-02	0.000000000000000e+00	Outgroup F3
ind3	ind1	1568.0	5.807400000000000e+04	2.700003443881944e-02	0.000000000000000e+00	Total [2,5]
ind3	ind1	3884.5	5.807400000000000e+04	6.688879705203706e-02	0.000000000000000e+00	Outgroup F3
ind0	ind2	1469.8	5.807400000000000e+04	2.530822743396356e-02	0.000000000000000e+00	Total [2,5]
ind0	ind2	3763.5	5.807400000000000e+04	6.480524847608224e-02	0.000000000000000e+00	Outgroup F3
ind1	ind2	1417.5	5.807400000000000e+04	2.440851327616489e-02	0.000000000000000e+00	Total [2,5]
ind1	ind2	3559.5	5.807400000000000e+04	6.129248889348073e-02	0.000000000000000e+00	Outgroup F3
ind2	ind2	3019.8	5.807400000000000e+04	5.199831249784757e-02	0.000000000000000e+00	Total [2,5]
ind2	ind2	5838.0	5.807400000000000e+04	1.005269139373902e-01	0.000000000000000e+00	Outgroup F3
ind3	ind2	1685.5	5.807400000000000e+04	2.902331508075903e-02	0.000000000000000e+00	Total [2,5]
ind3	ind2	3964.2	5.807400000000000e+04	6.826204497709819e-02	0.000000000000000e+00	Outgroup F3
ind0	ind3	1494.2	5.807400000000000e+04	2.573010297207012e-02	0.000000000000000e+00	Total [2,5]
ind0	ind3	4006.5	5.807400000000000e+04	6.898956503771050e-02	0.000000000000000e+00	Outgroup F3
ind1	ind3	1568.0	5.807400000000000e+04	2.700003443881944e-02	0.000000000000000e+00	Total [2,5]
ind1	ind3	3884.5	5.807400000000000e+04	6.688879705203706e-02	0.000000000000000e+00	Outgroup F3
ind2	ind3	1685.5	5.807400000000000e+04	2.902331508075903e-02	0.000000000000000e+00	Total [2,5]
ind2	ind3	3964.2	5.807400000000000e+04	6.826204497709819e-02	0.000000000000000e+00	Outgroup F3
ind3	ind3	2951.8	5.807400000000000e+04	5.082739263698040e-02	0.000000000000000e+00	Total [2,5]
ind3	ind3	5961.2	5.807400000000000e+04	1.026492061852120e-01	0.000000000000000e+00	Outgroup F3
