Left	Right	Norm	RAS	StdErr
<ind0>	Pop0a	58074	2.774238232446725e-5	1.5138683848602243e-5
<ind0>	Pop1a	58074	3.826535493029965e-6	2.8904264120734517e-6
<ind0>	Pop2a	58074	0.0	0.0
<ind0>	Pop3a	58074	3.826535493029965e-6	2.8904264120734517e-6
<ind0>	Pop4a	58074	9.566338732574913e-7	9.41072488074793e-7
<ind0>	Pop5a	58074	0.0	0.0
<ind0>	Pop6a	58074	0.0	0.0
<ind0>	Pop7a	58074	0.0	0.0
<ind0>	Pop8a	58074	0.0	0.0
<ind10>	Pop0a	58074	2.8699016197724736e-6	2.823217464224379e-6
<ind10>	Pop1a	58074	7.65307098605993e-6	3.5468367413151067e-6
<ind10>	Pop2a	58074	0.0	0.0
<ind10>	Pop3a	58074	0.0	0.0
<ind10>	Pop4a	58074	9.566338732574913e-7	9.41072488074793e-7
<ind10>	Pop5a	58074	0.0	0.0
<ind10>	Pop6a	58074	0.0	0.0
<ind10>	Pop7a	58074	0.0	0.0
<ind10>	Pop8a	58074	0.0	0.0
<ind20>	Pop0a	58074	0.0	0.0
<ind20>	Pop1a	58074	0.0	0.0
<ind20>	Pop2a	58074	1.1479606479089894e-5	6.133917494818279e-6
<ind20>	Pop3a	58074	0.0	0.0
<ind20>	Pop4a	58074	0.0	0.0
<ind20>	Pop5a	58074	4.783169366287456e-7	4.7053624403739646e-7
<ind20>	Pop6a	58074	1.4349508098862368e-6	1.4116087321121894e-6
<ind20>	Pop7a	58074	4.783169366287456e-7	4.7053624403739646e-7
<ind20>	Pop8a	58074	0.0	0.0
<ind30>	Pop0a	58074	2.391584683143728e-6	1.620941677894724e-6
<ind30>	Pop1a	58074	1.9132677465149825e-6	1.8821449761495858e-6
<ind30>	Pop2a	58074	0.0	0.0
<ind30>	Pop3a	58074	2.3915846831437287e-5	1.0068278342181203e-5
<ind30>	Pop4a	58074	0.0	0.0
<ind30>	Pop5a	58074	0.0	0.0
<ind30>	Pop6a	58074	3.3482185564012196e-6	2.2435461861346886e-6
<ind30>	Pop7a	58074	0.0	0.0
<ind30>	Pop8a	58074	0.0	0.0
<ind40>	Pop0a	58074	0.0	0.0
<ind40>	Pop1a	58074	1.9132677465149825e-6	1.8821449761495858e-6
<ind40>	Pop2a	58074	0.0	0.0
<ind40>	Pop3a	58074	0.0	0.0
<ind40>	Pop4a	58074	2.8699016197724736e-6	2.208504593984262e-6
<ind40>	Pop5a	58074	2.8699016197724736e-6	2.8232174642243788e-6
<ind40>	Pop6a	58074	4.783169366287456e-7	4.705362440373965e-7
<ind40>	Pop7a	58074	7.65307098605993e-6	7.185700859442866e-6
<ind40>	Pop8a	58074	1.9132677465149825e-6	1.4452132060367259e-6
<ind50>	Pop0a	58074	0.0	0.0
<ind50>	Pop1a	58074	0.0	0.0
<ind50>	Pop2a	58074	0.0	0.0
<ind50>	Pop3a	58074	0.0	0.0
<ind50>	Pop4a	58074	4.783169366287456e-7	4.705362440373965e-7
<ind50>	Pop5a	58074	1.3871191162233625e-5	8.645280745648962e-6
<ind50>	Pop6a	58074	4.783169366287456e-7	4.705362440373965e-7
<ind50>	Pop7a	58074	2.3915846831437285e-6	2.3526812201869825e-6
<ind50>	Pop8a	58074	3.3482185564012196e-6	2.2435461861346886e-6
<ind60>	Pop0a	58074	0.0	0.0
<ind60>	Pop1a	58074	0.0	0.0
<ind60>	Pop2a	58074	0.0	0.0
<ind60>	Pop3a	58074	0.0	0.0
<ind60>	Pop4a	58074	0.0	0.0
<ind60>	Pop5a	58074	0.0	0.0
<ind60>	Pop6a	58074	1.2436240352347385e-5	5.605767322345488e-6
<ind60>	Pop7a	58074	9.566338732574913e-7	9.410724880747929e-7
<ind60>	Pop8a	58074	0.0	0.0
<ind70>	Pop0a	58074	4.783169366287456e-7	4.705362440373965e-7
<ind70>	Pop1a	58074	0.0	0.0
<ind70>	Pop2a	58074	0.0	0.0
<ind70>	Pop3a	58074	2.8699016197724736e-6	2.8232174642243788e-6
<ind70>	Pop4a	58074	2.3915846831437285e-6	1.97268595515858e-6
<ind70>	Pop5a	58074	0.0	0.0
<ind70>	Pop6a	58074	2.3915846831437285e-6	1.8964891044675891e-6
<ind70>	Pop7a	58074	1.578445890874861e-5	7.743663752648114e-6
<ind70>	Pop8a	58074	5.261486302916201e-6	2.003317420163503e-6
<ind80>	Pop0a	58074	9.566338732574913e-7	9.41072488074793e-7
<ind80>	Pop1a	58074	0.0	0.0
<ind80>	Pop2a	58074	4.783169366287456e-7	4.705362440373965e-7
<ind80>	Pop3a	58074	0.0	0.0
<ind80>	Pop4a	58074	1.434950809886237e-6	1.8021960746426825e-6
<ind80>	Pop5a	58074	1.434950809886237e-6	1.011642334200812e-6
<ind80>	Pop6a	58074	4.783169366287456e-7	4.705362440373965e-7
<ind80>	Pop7a	58074	1.0044655669203658e-5	7.827573348623647e-6
<ind80>	Pop8a	58074	2.4394163768066027e-5	1.0072331915551767e-5
