Left	Right	Norm	RAS	StdErr
Pop0	Pop0	58074	1.820952577745635e-5	5.623596913869273e-6
Pop0	Pop1	58074	1.8510865447532463e-6	7.692639792070937e-7
Pop0	Pop2	58074	0.0	0.0
Pop0	Pop3	58074	1.2914557288976135e-6	3.971621248222266e-7
Pop0	Pop4	58074	3.44388194372697e-7	2.2797067230141736e-7
Pop0	Pop5	58074	2.582911457795227e-7	1.8209562015614623e-7
Pop0	Pop6	58074	2.582911457795227e-7	1.8209562015614623e-7
Pop0	Pop7	58074	1.2914557288976136e-7	9.104781007807311e-8
Pop0	Pop8	58074	7.318249130419809e-7	4.342316839122318e-7
Pop1	Pop0	58074	1.8510865447532463e-6	7.692639792070937e-7
Pop1	Pop1	58074	8.867996005096947e-6	2.1935597005061877e-6
Pop1	Pop2	58074	3.013396700761098e-7	2.964378337435597e-7
Pop1	Pop3	58074	0.0	0.0
Pop1	Pop4	58074	4.735337672624583e-7	3.27244519623463e-7
Pop1	Pop5	58074	2.582911457795227e-7	1.8209562015614623e-7
Pop1	Pop6	58074	3.013396700761098e-7	2.9643783374355967e-7
Pop1	Pop7	58074	1.721940971863485e-7	1.139853361507087e-7
Pop1	Pop8	58074	0.0	0.0
Pop2	Pop0	58074	0.0	0.0
Pop2	Pop1	58074	3.013396700761098e-7	2.964378337435597e-7
Pop2	Pop2	58074	6.1128904501153695e-6	2.667216629730273e-6
Pop2	Pop3	58074	0.0	0.0
Pop2	Pop4	58074	3.44388194372697e-7	3.3878609570692555e-7
Pop2	Pop5	58074	3.013396700761098e-7	1.8144054663068086e-7
Pop2	Pop6	58074	0.0	0.0
Pop2	Pop7	58074	4.304852429658712e-7	2.917695020210503e-7
Pop2	Pop8	58074	4.304852429658712e-8	4.2348261963365687e-8
Pop3	Pop0	58074	1.2914557288976135e-6	3.971621248222266e-7
Pop3	Pop1	58074	0.0	0.0
Pop3	Pop2	58074	0.0	0.0
Pop3	Pop3	58074	1.10204222199263e-5	4.239377549301813e-6
Pop3	Pop4	58074	9.470675345249166e-7	4.346381811208123e-7
Pop3	Pop5	58074	0.0	0.0
Pop3	Pop6	58074	8.179219616351553e-7	4.382572233957742e-7
Pop3	Pop7	58074	5.165822915590454e-7	3.6419124031229245e-7
Pop3	Pop8	58074	0.0	0.0
Pop4	Pop0	58074	3.44388194372697e-7	2.2797067230141736e-7
Pop4	Pop1	58074	4.735337672624583e-7	3.27244519623463e-7
Pop4	Pop2	58074	3.44388194372697e-7	3.3878609570692555e-7
Pop4	Pop3	58074	9.470675345249166e-7	4.346381811208123e-7
Pop4	Pop4	58074	7.275200606123225e-6	2.1724317377397164e-6
Pop4	Pop5	58074	1.4636498260839619e-6	8.002461181887841e-7
Pop4	Pop6	58074	3.8743671866928413e-7	3.8113435767029127e-7
Pop4	Pop7	58074	7.31824913041981e-7	3.5039279356872484e-7
Pop4	Pop8	58074	4.735337672624583e-7	4.215981982174741e-7
Pop5	Pop0	58074	2.582911457795227e-7	1.8209562015614623e-7
Pop5	Pop1	58074	2.582911457795227e-7	1.8209562015614623e-7
Pop5	Pop2	58074	3.013396700761098e-7	1.8144054663068086e-7
Pop5	Pop3	58074	0.0	0.0
Pop5	Pop4	58074	1.4636498260839619e-6	8.002461181887841e-7
Pop5	Pop5	58074	9.169335675173055e-6	3.266196331878245e-6
Pop5	Pop6	58074	4.304852429658712e-8	4.234826196336569e-8
Pop5	Pop7	58074	4.304852429658712e-7	2.917695020210503e-7
Pop5	Pop8	58074	9.901160588215037e-7	5.757772142650835e-7
Pop6	Pop0	58074	2.582911457795227e-7	1.8209562015614623e-7
Pop6	Pop1	58074	3.013396700761098e-7	2.9643783374355967e-7
Pop6	Pop2	58074	0.0	0.0
Pop6	Pop3	58074	8.179219616351553e-7	4.382572233957742e-7
Pop6	Pop4	58074	3.8743671866928413e-7	3.8113435767029127e-7
Pop6	Pop5	58074	4.304852429658712e-8	4.234826196336569e-8
Pop6	Pop6	58074	6.2420360230051335e-6	1.933144642498766e-6
Pop6	Pop7	58074	1.5066983503805493e-6	7.225929609222424e-7
Pop6	Pop8	58074	1.721940971863485e-7	1.300691885433054e-7
Pop7	Pop0	58074	1.2914557288976136e-7	9.104781007807311e-8
Pop7	Pop1	58074	1.721940971863485e-7	1.139853361507087e-7
Pop7	Pop2	58074	4.304852429658712e-7	2.917695020210503e-7
Pop7	Pop3	58074	5.165822915590454e-7	3.6419124031229245e-7
Pop7	Pop4	58074	7.31824913041981e-7	3.5039279356872484e-7
Pop7	Pop5	58074	4.304852429658712e-7	2.917695020210503e-7
Pop7	Pop6	58074	1.5066983503805493e-6	7.225929609222424e-7
Pop7	Pop7	58074	7.059957984640287e-6	1.7743686619763235e-6
Pop7	Pop8	58074	1.2053586803044393e-6	4.691906105211558e-7
Pop8	Pop0	58074	7.318249130419809e-7	4.342316839122318e-7
Pop8	Pop1	58074	0.0	0.0
Pop8	Pop2	58074	4.304852429658712e-8	4.2348261963365687e-8
Pop8	Pop3	58074	0.0	0.0
Pop8	Pop4	58074	4.735337672624583e-7	4.215981982174741e-7
Pop8	Pop5	58074	9.901160588215037e-7	5.757772142650835e-7
Pop8	Pop6	58074	1.721940971863485e-7	1.300691885433054e-7
Pop8	Pop7	58074	1.2053586803044393e-6	4.691906105211558e-7
Pop8	Pop8	58074	1.1924441230154633e-5	4.083089390719247e-6
