Left	Right	Norm	RAS	StdErr
<ind0>	<ind0>	58074	5.13181458139615e-2	NaN
<ind0>	<ind1>	58074	2.7882529186899475e-2	NaN
<ind0>	<ind2>	58074	2.5308227433963562e-2	NaN
<ind0>	<ind3>	58074	2.5730102972070117e-2	NaN
<ind1>	<ind0>	58074	2.7882529186899475e-2	NaN
<ind1>	<ind1>	58074	4.853721114440197e-2	NaN
<ind1>	<ind2>	58074	2.4408513276164893e-2	NaN
<ind1>	<ind3>	58074	2.7000034438819438e-2	NaN
<ind2>	<ind0>	58074	2.5308227433963562e-2	NaN
<ind2>	<ind1>	58074	2.4408513276164893e-2	NaN
<ind2>	<ind2>	58074	5.1998312497847574e-2	NaN
<ind2>	<ind3>	58074	2.9023315080759032e-2	NaN
<ind3>	<ind0>	58074	2.5730102972070117e-2	NaN
<ind3>	<ind1>	58074	2.7000034438819438e-2	NaN
<ind3>	<ind2>	58074	2.9023315080759032e-2	NaN
<ind3>	<ind3>	58074	5.0827392636980405e-2	NaN
