Left	Right	Norm	RAS	StdErr
<I0156.SG>	CEU2	597300	1.7259799682764823e-8	1.7185897151086745e-8
<I0156.SG>	FIN2	597300	1.7259799682764823e-8	1.7185897151086745e-8
<I0156.SG>	GBR2	597300	3.720445709395973e-8	2.6139896144281426e-8
<I0156.SG>	IBS2	597300	0.0	0.0
<I0156.SG>	TSI2	597300	0.0	0.0
<I0156.SG>	CHB2	597300	1.65762432596851e-8	1.6508432885759145e-8
<I0156.SG>	YRI2	597300	9.476606995631283e-8	6.65827543297737e-8
<I0157.SG>	CEU2	988516	1.0429045509142419e-8	1.0306095350473292e-8
<I0157.SG>	FIN2	988516	9.386140958228222e-8	4.698669730965975e-8
<I0157.SG>	GBR2	988516	5.620096746593437e-8	3.333495057986315e-8
<I0157.SG>	IBS2	988516	9.634451565588711e-9	9.567930137339023e-9
<I0157.SG>	TSI2	988516	4.771780256541594e-8	2.4924319394714367e-8
<I0157.SG>	CHB2	988516	3.0048042011489677e-8	2.2040891264061787e-8
<I0157.SG>	YRI2	988516	6.680492359158232e-8	3.9113567713264164e-8
<I0159.SG>	CEU2	968666	0.0	0.0
<I0159.SG>	FIN2	968666	2.1285517093643183e-8	2.1261091538545715e-8
<I0159.SG>	GBR2	968666	2.2941057312037642e-8	2.2914731991543717e-8
<I0159.SG>	IBS2	968666	3.9327526820635874e-8	3.064946268327884e-8
<I0159.SG>	TSI2	968666	9.739128104166907e-9	9.600870527198203e-9
<I0159.SG>	CHB2	968666	2.0442526317657295e-8	1.4312757655554088e-8
<I0159.SG>	YRI2	968666	1.9478256208333815e-8	1.9201741054396405e-8
<I0160.SG>	CEU2	1046667	3.939850344193695e-8	2.3834586447297445e-8
<I0160.SG>	FIN2	1046667	4.924812930242116e-8	3.21630421318203e-8
<I0160.SG>	GBR2	1046667	4.2462831487420924e-8	3.3218109212270525e-8
<I0160.SG>	IBS2	1046667	5.459506905525555e-8	3.415240821079715e-8
<I0160.SG>	TSI2	1046667	3.6053347489319684e-8	2.2138966189221747e-8
<I0160.SG>	CHB2	1046667	2.8378625003969486e-8	1.6114940405826352e-8
<I0160.SG>	YRI2	1046667	3.6053347489319684e-8	1.7852011765574626e-8
