Left	Right	k	Count
None	All	0	51353
None	All	1	18252
None	All	2	4873
None	All	3	2984
None	All	4	2106
None	All	5	1456
None	All	6	1174
None	All	7	984
None	All	8	738
None	All	9	709
None	All	10	545
None	All	11	557
None	All	12	428
None	All	13	551
None	All	14	413
None	All	15	390
None	All	16	345
None	All	17	330
None	All	18	227
None	All	19	244
None	All	20	273
None	All	21	288
None	All	22	214
None	All	23	167
None	All	24	145
None	All	25	159
None	All	26	135
None	All	27	151
None	All	28	79
None	All	29	102
None	All	30	85
None	All	31	103
None	All	32	97
None	All	33	83
None	All	34	79
None	All	35	90
None	All	36	78
None	All	37	90
None	All	38	85
None	All	39	79
None	All	40	72
None	All	41	73
None	All	42	65
None	All	43	98
None	All	44	50
None	All	45	75
None	All	46	58
None	All	47	68
None	All	48	59
None	All	49	56
None	All	50	50
None	All	51	85
None	All	52	58
None	All	53	47
None	All	54	33
None	All	55	44
None	All	56	47
None	All	57	46
None	All	58	41
None	All	59	16
None	All	60	23
None	All	61	32
None	All	62	76
None	All	63	40
None	All	64	32
None	All	65	31
None	All	66	31
None	All	67	36
None	All	68	30
None	All	69	28
None	All	70	28
None	All	71	32
None	All	72	50
None	All	73	39
None	All	74	18
None	All	75	25
None	All	76	32
None	All	77	25
None	All	78	17
None	All	79	27
None	All	80	20
None	All	81	24
None	All	82	31
None	All	83	23
None	All	84	26
None	All	85	20
None	All	86	16
None	All	87	26
None	All	88	33
None	All	89	20
None	All	90	21
None	All	91	34
None	All	92	19
None	All	93	16
None	All	94	20
None	All	95	20
None	All	96	18
None	All	97	18
None	All	98	14
None	All	99	13
None	All	100	15
None	All	101	17
None	All	102	14
None	All	103	16
None	All	104	21
None	All	105	17
None	All	106	12
None	All	107	26
None	All	108	20
None	All	109	34
None	All	110	24
None	All	111	21
None	All	112	26
None	All	113	16
None	All	114	10
None	All	115	13
None	All	116	10
None	All	117	18
None	All	118	14
None	All	119	12
None	All	120	9
None	All	121	10
None	All	122	20
None	All	123	11
None	All	124	12
None	All	125	13
None	All	126	9
None	All	127	17
None	All	128	11
None	All	129	15
None	All	130	19
None	All	131	15
None	All	132	11
None	All	133	21
None	All	134	23
None	All	135	21
None	All	136	15
None	All	137	22
None	All	138	16
None	All	139	14
None	All	140	24
None	All	141	17
None	All	142	7
None	All	143	14
None	All	144	15
None	All	145	8
None	All	146	9
None	All	147	14
None	All	148	6
None	All	149	18
None	All	150	11
None	All	151	17
None	All	152	18
None	All	153	11
None	All	154	16
None	All	155	15
None	All	156	16
None	All	157	7
None	All	158	17
None	All	159	6
None	All	160	12
None	All	161	12
None	All	162	24
None	All	163	18
None	All	164	16
None	All	165	11
None	All	166	17
None	All	167	16
None	All	168	12
None	All	169	17
None	All	170	17
None	All	171	15
None	All	172	18
None	All	173	36
None	All	174	26
None	All	175	26
None	All	176	27
None	All	177	14
None	All	178	9
None	All	179	18
None	All	180	11
None	All	181	16
None	All	182	13
None	All	183	9
None	All	184	12
None	All	185	8
None	All	186	10
None	All	187	21
None	All	188	9
None	All	189	18
None	All	190	9
None	All	191	9
None	All	192	8
None	All	193	3
None	All	194	10
None	All	195	13
None	All	196	8
None	All	197	9
None	All	198	11
None	All	199	13
None	All	200	6
None	All	201	10
None	All	202	9
None	All	203	12
None	All	204	5
None	All	205	15
None	All	206	9
None	All	207	16
None	All	208	5
None	All	209	14
None	All	210	9
None	All	211	16
None	All	212	15
None	All	213	10
None	All	214	13
None	All	215	4
None	All	216	14
None	All	217	13
None	All	218	18
None	All	219	18
None	All	220	46
None	All	221	28
None	All	222	16
None	All	223	23
None	All	224	12
None	All	225	10
None	All	226	11
None	All	227	15
None	All	228	7
None	All	229	6
None	All	230	13
None	All	231	14
None	All	232	12
None	All	233	9
None	All	234	10
None	All	235	10
None	All	236	10
None	All	237	10
None	All	238	10
None	All	239	7
None	All	240	13
None	All	241	11
None	All	242	12
None	All	243	7
None	All	244	13
None	All	245	14
None	All	246	15
None	All	247	12
None	All	248	8
None	All	249	13
None	All	250	11
None	All	251	13
None	All	252	11
None	All	253	11
None	All	254	13
None	All	255	10
None	All	256	16
None	All	257	9
None	All	258	12
None	All	259	8
None	All	260	13
None	All	261	13
None	All	262	12
None	All	263	17
None	All	264	9
None	All	265	11
None	All	266	11
None	All	267	13
None	All	268	14
None	All	269	8
None	All	270	10
None	All	271	14
None	All	272	12
None	All	273	6
None	All	274	10
None	All	275	10
None	All	276	15
None	All	277	11
None	All	278	2
None	All	279	6
None	All	280	15
None	All	281	22
None	All	282	14
None	All	283	5
None	All	284	10
None	All	285	11
None	All	286	15
None	All	287	7
None	All	288	8
None	All	289	10
None	All	290	8
None	All	291	8
None	All	292	7
None	All	293	10
None	All	294	8
None	All	295	7
None	All	296	17
None	All	297	10
None	All	298	15
None	All	299	10
None	All	300	5
None	All	301	2
None	All	302	6
None	All	303	12
None	All	304	12
None	All	305	5
None	All	306	12
None	All	307	9
None	All	308	14
None	All	309	12
None	All	310	11
None	All	311	38
None	All	312	31
None	All	313	15
None	All	314	14
None	All	315	10
None	All	316	13
None	All	317	16
None	All	318	9
None	All	319	7
None	All	320	9
None	All	321	5
None	All	322	4
None	All	323	6
None	All	324	5
None	All	325	0
None	All	326	3
None	All	327	3
None	All	328	7
None	All	329	11
None	All	330	1
None	All	331	10
None	All	332	5
None	All	333	9
None	All	334	7
None	All	335	10
None	All	336	8
None	All	337	4
None	All	338	7
None	All	339	12
None	All	340	8
None	All	341	5
None	All	342	8
None	All	343	9
None	All	344	8
None	All	345	7
None	All	346	7
None	All	347	25
None	All	348	9
None	All	349	9
None	All	350	2
None	All	351	19
None	All	352	6
None	All	353	7
None	All	354	4
None	All	355	6
None	All	356	3
None	All	357	0
None	All	358	4
None	All	359	6
None	All	360	6
None	All	361	2
None	All	362	4
None	All	363	3
None	All	364	7
None	All	365	2
None	All	366	10
None	All	367	4
None	All	368	5
None	All	369	9
None	All	370	5
None	All	371	9
None	All	372	6
None	All	373	2
None	All	374	6
None	All	375	4
None	All	376	8
None	All	377	6
None	All	378	5
None	All	379	9
None	All	380	1
None	All	381	10
None	All	382	3
None	All	383	8
None	All	384	7
None	All	385	6
None	All	386	2
None	All	387	11
None	All	388	9
None	All	389	2
None	All	390	5
None	All	391	3
None	All	392	5
None	All	393	9
None	All	394	4
None	All	395	5
None	All	396	11
None	All	397	10
None	All	398	7
None	All	399	2
None	All	400	5
None	All	401	4
None	All	402	3
None	All	403	3
None	All	404	8
None	All	405	3
None	All	406	4
None	All	407	3
None	All	408	3
None	All	409	10
None	All	410	1
None	All	411	8
None	All	412	5
None	All	413	10
None	All	414	20
None	All	415	21
None	All	416	8
None	All	417	4
None	All	418	7
None	All	419	10
None	All	420	1
None	All	421	5
None	All	422	3
None	All	423	6
None	All	424	5
None	All	425	4
None	All	426	3
None	All	427	3
None	All	428	5
None	All	429	3
None	All	430	6
None	All	431	3
None	All	432	2
None	All	433	2
None	All	434	3
