Left	Right	k	Cumulative	Norm	RAS	StdErr
<12880A>	CEU2	2	False	10355947	4.5544307840155035e-2	1.0038797906067814e-4
<12880A>	CEU2	3	False	10355947	2.567092036311598e-2	7.609798739059486e-5
<12880A>	CEU2	4	False	10355947	1.7887996064025604e-2	6.393284909128998e-5
<12880A>	CEU2	5	False	10355947	1.3595751450185952e-2	5.778775295599301e-5
<12880A>	CEU2	6	False	10355947	1.0774273881311917e-2	4.9533050971214765e-5
<12880A>	CEU2	7	False	10355947	8.746761145587244e-3	4.3778458312889444e-5
<12880A>	CEU2	8	False	10355947	7.371759086035551e-3	4.060970624969788e-5
<12880A>	CEU2	9	False	10355947	6.3442733690010815e-3	3.6306680585906975e-5
<12880A>	CEU2	10	False	10355947	5.463003752296871e-3	3.4325996455687875e-5
<12880A>	FIN2	2	False	10355947	4.554974124390242e-2	1.0038494667628095e-4
<12880A>	FIN2	3	False	10355947	2.5671213535963806e-2	7.61003326199238e-5
<12880A>	FIN2	4	False	10355947	1.7886795498815035e-2	6.394545783723916e-5
<12880A>	FIN2	5	False	10355947	1.3593642994865915e-2	5.7797432435472856e-5
<12880A>	FIN2	6	False	10355947	1.077200116955758e-2	4.953042718303953e-5
<12880A>	FIN2	7	False	10355947	8.744302774287485e-3	4.376597568094178e-5
<12880A>	FIN2	8	False	10355947	7.369976654850207e-3	4.061811828185859e-5
<12880A>	FIN2	9	False	10355947	6.34221369286453e-3	3.629056166185678e-5
<12880A>	FIN2	10	False	10355947	5.461602595137779e-3	3.430030910164737e-5
<12880A>	GBR2	2	False	10355947	4.554477438547326e-2	1.0038996863922969e-4
<12880A>	GBR2	3	False	10355947	2.5671394525637912e-2	7.609890275959709e-5
<12880A>	GBR2	4	False	10355947	1.7888871220294138e-2	6.394675933225137e-5
<12880A>	GBR2	5	False	10355947	1.359612148296493e-2	5.7794470387891056e-5
<12880A>	GBR2	6	False	10355947	1.0774849433173164e-2	4.9547488126966376e-5
<12880A>	GBR2	7	False	10355947	8.746984605923921e-3	4.377656130995792e-5
<12880A>	GBR2	8	False	10355947	7.372374670159527e-3	4.0624659390148206e-5
<12880A>	GBR2	9	False	10355947	6.344666857397503e-3	3.630276462132005e-5
<12880A>	GBR2	10	False	10355947	5.463465538261421e-3	3.4335062513724824e-5
<12880A>	IBS2	2	False	10355947	4.5539865483411e-2	1.0037089056426832e-4
<12880A>	IBS2	3	False	10355947	2.5668292449785336e-2	7.609951977252105e-5
<12880A>	IBS2	4	False	10355947	1.7886096889890596e-2	6.393820430896559e-5
<12880A>	IBS2	5	False	10355947	1.35937107073885e-2	5.779163194789297e-5
<12880A>	IBS2	6	False	10355947	1.0772774421535854e-2	4.952033155193284e-5
<12880A>	IBS2	7	False	10355947	8.744991783809945e-3	4.376010303115046e-5
<12880A>	IBS2	8	False	10355947	7.3707144862201895e-3	4.0601120494959415e-5
<12880A>	IBS2	9	False	10355947	6.342853738326119e-3	3.6298282348026846e-5
<12880A>	IBS2	10	False	10355947	5.461937313249422e-3	3.431039194949592e-5
<12880A>	TSI2	2	False	10355947	4.553359257521991e-2	1.0036688663488715e-4
<12880A>	TSI2	3	False	10355947	2.5668162779640926e-2	7.608879266548741e-5
<12880A>	TSI2	4	False	10355947	1.788744371206413e-2	6.392901804178435e-5
<12880A>	TSI2	5	False	10355947	1.359573438932284e-2	5.780757055033539e-5
<12880A>	TSI2	6	False	10355947	1.0774578307977234e-2	4.952916284331672e-5
<12880A>	TSI2	7	False	10355947	8.746714741366892e-3	4.377694863841288e-5
<12880A>	TSI2	8	False	10355947	7.372000151907201e-3	4.061214526982158e-5
<12880A>	TSI2	9	False	10355947	6.344683834690331e-3	3.631042711381915e-5
<12880A>	TSI2	10	False	10355947	5.463322300749165e-3	3.430994653202673e-5
<12880A>	CHB2	2	False	10355947	4.550637559861842e-2	1.0031758068799864e-4
<12880A>	CHB2	3	False	10355947	2.5645265459642647e-2	7.606140437655185e-5
<12880A>	CHB2	4	False	10355947	1.786752372456825e-2	6.389367264762839e-5
<12880A>	CHB2	5	False	10355947	1.3579939972062546e-2	5.774089107202989e-5
<12880A>	CHB2	6	False	10355947	1.0761466644993622e-2	4.94710231789988e-5
<12880A>	CHB2	7	False	10355947	8.736159326645548e-3	4.375114959525458e-5
<12880A>	CHB2	8	False	10355947	7.3626365852804895e-3	4.0536859491501285e-5
<12880A>	CHB2	9	False	10355947	6.336575744763607e-3	3.623689536699293e-5
<12880A>	CHB2	10	False	10355947	5.45684207602962e-3	3.427820386419456e-5
<12880A>	YRI2	2	False	10355947	4.538052892516299e-2	9.983702154571789e-5
<12880A>	YRI2	3	False	10355947	2.5503766786645097e-2	7.536425547562264e-5
<12880A>	YRI2	4	False	10355947	1.7720968858349118e-2	6.311645406172076e-5
<12880A>	YRI2	5	False	10355947	1.3429375411056087e-2	5.68236909047365e-5
<12880A>	YRI2	6	False	10355947	1.061290078978177e-2	4.854760166516661e-5
<12880A>	YRI2	7	False	10355947	8.590827776818199e-3	4.2790870379479036e-5
<12880A>	YRI2	8	False	10355947	7.2208061430099725e-3	3.960572084257833e-5
<12880A>	YRI2	9	False	10355947	6.196711347181889e-3	3.529932796168553e-5
<12880A>	YRI2	10	False	10355947	5.3223993628284975e-3	3.330720738470177e-5
<12881A>	CEU2	2	False	43213682	4.58446519632419e-2	8.008512393751181e-5
<12881A>	CEU2	3	False	43213682	2.5861674321181274e-2	6.0559695372602965e-5
<12881A>	CEU2	4	False	43213682	1.7972842275315756e-2	5.2414571996547204e-5
<12881A>	CEU2	5	False	43213682	1.3705797607837368e-2	4.674415257074631e-5
