Left	Right	Norm	RAS	StdErr
<12880A>	CEU2	10355947	0.9191717257009745	4.5947453225129314e-4
<12880A>	FIN2	10355947	0.9192025526517111	4.594335903235778e-4
<12880A>	GBR2	10355947	0.9191993930279161	4.5984756876978484e-4
<12880A>	IBS2	10355947	0.9190914802038812	4.6029785932101314e-4
<12880A>	TSI2	10355947	0.9191148893435306	4.6026097468988375e-4
<12880A>	CHB2	10355947	0.9187594249846177	4.616195372312923e-4
<12880A>	YRI2	10355947	0.9138836186635344	4.641110231447805e-4
<12881A>	CEU2	43213682	0.9181745732966161	4.600386931040275e-4
<12881A>	FIN2	43213682	0.9182069957313516	4.599831749798613e-4
<12881A>	GBR2	43213682	0.918201009796839	4.603484477965846e-4
<12881A>	IBS2	43213682	0.9180915107043379	4.608445828447089e-4
<12881A>	TSI2	43213682	0.9181142370824349	4.6081371499808745e-4
<12881A>	CHB2	43213682	0.9177639117092796	4.6228101889360433e-4
<12881A>	YRI2	43213682	0.9128358670337956	4.6441878082633905e-4
<12883A>	CEU2	42558152	0.9180739215367689	4.725266911673402e-4
<12883A>	FIN2	42558152	0.9181078672059613	4.7252481280305586e-4
<12883A>	GBR2	42558152	0.9181006197054867	4.728393658316036e-4
<12883A>	IBS2	42558152	0.9179912099477359	4.733444373234403e-4
<12883A>	TSI2	42558152	0.9180141843386117	4.7332298409415836e-4
<12883A>	CHB2	42558152	0.9176616405749053	4.7484042624728495e-4
<12883A>	YRI2	42558152	0.9127480489463948	4.764580365545672e-4
<12884A>	CEU2	67723966	0.9168115560373364	5.056750271269745e-4
<12884A>	FIN2	67723966	0.9168463911983388	5.057121195848733e-4
<12884A>	GBR2	67723966	0.9168405831036411	5.059970079534548e-4
<12884A>	IBS2	67723966	0.9167343792790926	5.065150704295757e-4
<12884A>	TSI2	67723966	0.9167544133349063	5.065043940652838e-4
<12884A>	CHB2	67723966	0.91640209284579	5.082366130082713e-4
<12884A>	YRI2	67723966	0.9114389279367006	5.092072893959328e-4
<12885A>	CEU2	4538830	0.9196412441182563	4.439066677735256e-4
<12885A>	FIN2	4538830	0.9196704060002222	4.438345529151411e-4
<12885A>	GBR2	4538830	0.9196677857410525	4.4431652448914644e-4
<12885A>	IBS2	4538830	0.9195558945702741	4.447633494115422e-4
<12885A>	TSI2	4538830	0.9195804656182157	4.447028512357169e-4
<12885A>	CHB2	4538830	0.9192223055782532	4.4577548173466527e-4
<12885A>	YRI2	4538830	0.914323326244246	4.4883544116090395e-4
<15558A>	CEU2	35422701	0.9179739369341974	4.6681837061002816e-4
<15558A>	FIN2	35422701	0.9180072200929835	4.66715971834525e-4
<15558A>	GBR2	35422701	0.9180005872568987	4.6715850441709735e-4
<15558A>	IBS2	35422701	0.91789052530387	4.676899704153787e-4
<15558A>	TSI2	35422701	0.917913181611729	4.676645697289736e-4
<15558A>	CHB2	35422701	0.9175604767078587	4.6907888670446967e-4
<15558A>	YRI2	35422701	0.9126436868294383	4.712322281250898e-4
<15569A>	CEU2	25532901	0.9182875705688637	4.7240522140802805e-4
<15569A>	FIN2	25532901	0.9183215899465416	4.7229890081004186e-4
<15569A>	GBR2	25532901	0.9183148695749793	4.727355491484431e-4
<15569A>	IBS2	25532901	0.9182026377503827	4.733816090097552e-4
<15569A>	TSI2	25532901	0.9182249122789728	4.732993034266484e-4
<15569A>	CHB2	25532901	0.9178750092899145	4.746722904725703e-4
<15569A>	YRI2	25532901	0.9129543603369209	4.7707947969522646e-4
<15570A>	CEU2	62645312	0.9172332820189603	4.894153235864778e-4
<15570A>	FIN2	62645312	0.917265990631516	4.894497326447074e-4
<15570A>	GBR2	62645312	0.9172608354911164	4.897298188212232e-4
<15570A>	IBS2	62645312	0.9171541276095467	4.902382211275664e-4
<15570A>	TSI2	62645312	0.9171759060035294	4.902123479607596e-4
<15570A>	CHB2	62645312	0.9168229874728404	4.91887686940672e-4
<15570A>	YRI2	62645312	0.911882394100179	4.933328980948212e-4
<15577A>	CEU2	59648985	0.9170763488479281	4.8113152827327705e-4
<15577A>	FIN2	59648985	0.9171095609304424	4.811568652105604e-4
<15577A>	GBR2	59648985	0.9171046375670138	4.8147476200812936e-4
<15577A>	IBS2	59648985	0.9169978128833709	4.8194253788693477e-4
<15577A>	TSI2	59648985	0.9170197752576426	4.8191486279056063e-4
<15577A>	CHB2	59648985	0.9166676119243425	4.835691742934012e-4
<15577A>	YRI2	59648985	0.9117277308718268	4.852131397874261e-4
<15579A>	CEU2	9111555	0.920061861293422	4.623038930108381e-4
<15579A>	FIN2	9111555	0.9200944533062573	4.622053531933706e-4
<15579A>	GBR2	9111555	0.9200898847548716	4.625894376543911e-4
<15579A>	IBS2	9111555	0.919982418452391	4.6310657769366035e-4
<15579A>	TSI2	9111555	0.9200058951831799	4.6307426030872586e-4
<15579A>	CHB2	9111555	0.9196570081496682	4.645480034849444e-4
