Left	Right	Norm	RAS	StdErr
<12880A>	CEU2	3246123	9.815198070493801e-5	2.317699157722192e-6
<12880A>	FIN2	3246123	9.139530830197557e-5	2.243474236129343e-6
<12880A>	GBR2	3246123	9.925236759618384e-5	2.473796892692102e-6
<12880A>	IBS2	3246123	9.738943818151538e-5	2.400851692381132e-6
<12880A>	TSI2	3246123	9.68378644455614e-5	2.4548582619961392e-6
<12880A>	CHB2	3246123	5.545076388048148e-5	2.3267440609697e-6
<12880A>	YRI2	3246123	8.630808711397157e-5	2.93369232380756e-6
<12881A>	CEU2	13377430	1.029896709160175e-4	1.9965079916607566e-6
<12881A>	FIN2	13377430	9.773693991782772e-5	2.1158354598660507e-6
<12881A>	GBR2	13377430	1.0330539379815888e-4	2.0600361621500606e-6
<12881A>	IBS2	13377430	9.847645659606538e-5	1.9042394713943263e-6
<12881A>	TSI2	13377430	9.847218500898602e-5	1.8237579055358145e-6
<12881A>	CHB2	13377430	6.465485833857167e-5	2.7482188483729363e-6
<12881A>	YRI2	13377430	8.433821529460971e-5	2.2614259099184365e-6
<12883A>	CEU2	13297297	1.020031348763167e-4	1.8293939995983618e-6
<12883A>	FIN2	13297297	9.715019913794432e-5	1.80259367920556e-6
<12883A>	GBR2	13297297	1.0193716542880441e-4	1.9296261772456532e-6
<12883A>	IBS2	13297297	9.785196695739483e-5	1.7547031107951297e-6
<12883A>	TSI2	13297297	9.831392980163722e-5	1.8662538355919904e-6
<12883A>	CHB2	13297297	6.214469268781198e-5	1.8211160854615665e-6
<12883A>	YRI2	13297297	8.447259190022926e-5	2.412520122116637e-6
<12884A>	CEU2	21593140	1.0353779883643629e-4	1.9199508047199493e-6
<12884A>	FIN2	21593140	9.837125725563317e-5	1.933623743626874e-6
<12884A>	GBR2	21593140	1.0506900167929942e-4	1.9425322014884283e-6
<12884A>	IBS2	21593140	1.0320738107433306e-4	1.8460593411475724e-6
<12884A>	TSI2	21593140	1.0259166524535974e-4	1.8443824732680829e-6
<12884A>	CHB2	21593140	6.126922946384595e-5	2.1118213009935235e-6
<12884A>	YRI2	21593140	8.643948957863465e-5	2.0659955579737695e-6
<12885A>	CEU2	1387634	9.832801658727888e-5	3.057964724578132e-6
<12885A>	FIN2	1387634	9.4394152984486e-5	3.182992767122702e-6
<12885A>	GBR2	1387634	9.842151007244362e-5	3.07906292220318e-6
<12885A>	IBS2	1387634	9.59632761678546e-5	2.9893006516387753e-6
<12885A>	TSI2	1387634	9.716092970034576e-5	3.012962784764292e-6
<12885A>	CHB2	1387634	5.86189039461529e-5	3.1114819639399873e-6
<12885A>	YRI2	1387634	8.339649325673018e-5	3.901221398559961e-6
<15558A>	CEU2	10987699	1.0018888948675614e-4	2.0197670845666123e-6
<15558A>	FIN2	10987699	9.589636668888847e-5	2.037036361053332e-6
<15558A>	GBR2	10987699	1.0036862355977373e-4	2.0862706131126218e-6
<15558A>	IBS2	10987699	9.408269929421798e-5	1.8174440715446511e-6
<15558A>	TSI2	10987699	9.470113979711472e-5	1.9298084158215888e-6
<15558A>	CHB2	10987699	5.782839428883244e-5	1.8089544603031187e-6
<15558A>	YRI2	10987699	8.212430490288666e-5	2.4020813137672375e-6
<15569A>	CEU2	7768988	1.0110711974326643e-4	2.159129315744365e-6
<15569A>	FIN2	7768988	9.70332964169744e-5	1.983878929403623e-6
<15569A>	GBR2	7768988	1.0104999258272517e-4	2.066843865450477e-6
<15569A>	IBS2	7768988	9.611167840527952e-5	2.2130353712126433e-6
<15569A>	TSI2	7768988	9.599522026365778e-5	2.1364642703866993e-6
<15569A>	CHB2	7768988	5.692663912437809e-5	1.88338795314419e-6
<15569A>	YRI2	7768988	8.498134475417484e-5	2.425613643705384e-6
<15570A>	CEU2	19946487	1.034125204526169e-4	2.190946558518909e-6
<15570A>	FIN2	19946487	9.682091455011886e-5	1.971370801906291e-6
<15570A>	GBR2	19946487	1.0363600153266937e-4	2.2068806053667338e-6
<15570A>	IBS2	19946487	1.0008207030569899e-4	1.9484708344059007e-6
<15570A>	TSI2	19946487	9.989633524845494e-5	1.9131248813992535e-6
<15570A>	CHB2	19946487	6.069581660327875e-5	1.8945874362226038e-6
<15570A>	YRI2	19946487	8.312025786080236e-5	2.209566853812448e-6
<15577A>	CEU2	18947176	1.005902970371767e-4	2.1553578849658694e-6
<15577A>	FIN2	18947176	9.560356254532036e-5	2.3266796370943686e-6
<15577A>	GBR2	18947176	1.0153717348850367e-4	2.063984811125567e-6
<15577A>	IBS2	18947176	9.774920698321621e-5	1.8367652719072543e-6
<15577A>	TSI2	18947176	9.789271373161219e-5	1.9833646251238077e-6
<15577A>	CHB2	18947176	5.774417828339651e-5	1.8288614982629852e-6
<15577A>	YRI2	18947176	8.422111986252621e-5	2.1268074692328023e-6
<15579A>	CEU2	2843881	9.046734041103119e-5	2.8826037002373475e-6
<15579A>	FIN2	2843881	8.719389881818133e-5	2.856347837678125e-6
<15579A>	GBR2	2843881	9.17878448026372e-5	2.6994557330514267e-6
<15579A>	IBS2	2843881	8.980182865799036e-5	2.6549722098445383e-6
<15579A>	TSI2	2843881	8.837520677854361e-5	2.7041034089405057e-6
<15579A>	CHB2	2843881	5.5550917221853525e-5	2.4711267055548724e-6
<15579A>	YRI2	2843881	7.56176573659794e-5	3.102004198115488e-6
<3DT16>	CEU2	908232	1.0073383311934551e-4	3.882922586813737e-6
<3DT16>	FIN2	908232	9.478594551389885e-5	3.687270788800137e-6
<3DT16>	GBR2	908232	9.966888626486669e-5	3.868986314082518e-6
<3DT16>	IBS2	908232	9.780383363344542e-5	3.64831265065044e-6
<3DT16>	TSI2	908232	9.759411167861869e-5	3.545152878517871e-6
<3DT16>	CHB2	908232	5.721048811273325e-5	3.4513973297783086e-6
<3DT16>	YRI2	908232	9.142828620671288e-5	5.047388732352606e-6
<3DT26>	CEU2	3019672	9.698943748188335e-5	2.284343820841421e-6
<3DT26>	FIN2	3019672	8.626935463162062e-5	2.0247815808214985e-6
<3DT26>	GBR2	3019672	9.535041100229921e-5	2.2920065037654343e-6
<3DT26>	IBS2	3019672	1.0475436058082115e-4	2.3931344950895923e-6
<3DT26>	TSI2	3019672	1.1121832342812623e-4	2.5971449496994315e-6
<3DT26>	CHB2	3019672	7.123257423355586e-5	2.688132061852327e-6
<3DT26>	YRI2	3019672	1.5056192164169461e-4	4.820870111941857e-6
<6DT18>	CEU2	2592404	1.0026716117191675e-4	2.557177049397755e-6
<6DT18>	FIN2	2592404	9.5745624604107e-5	2.529894952614648e-6
<6DT18>	GBR2	2592404	1.0209819738007617e-4	2.6261973114729646e-6
<6DT18>	IBS2	2592404	9.982460846600847e-5	2.7050916622048983e-6
<6DT18>	TSI2	2592404	9.842675167987115e-5	2.638138418536498e-6
<6DT18>	CHB2	2592404	5.945588086052052e-5	2.475825276527906e-6
<6DT18>	YRI2	2592404	9.017737608651677e-5	3.022431514796934e-6
<6DT21>	CEU2	3092339	1.0239138269749261e-4	3.3765063328891875e-6
<6DT21>	FIN2	3092339	9.742733591480879e-5	3.451029106229795e-6
<6DT21>	GBR2	3092339	1.0160847991392259e-4	2.79738142074957e-6
<6DT21>	IBS2	3092339	1.013703311866613e-4	2.7585882493214268e-6
<6DT21>	TSI2	3092339	1.0150122301474395e-4	2.974735769875086e-6
<6DT21>	CHB2	3092339	6.266204230122333e-5	2.507783386330821e-6
<6DT21>	YRI2	3092339	8.770830414253084e-5	3.093867562113989e-6
<6DT22>	CEU2	2842399	9.7286050690236e-5	2.3225186446408707e-6
<6DT22>	FIN2	2842399	9.245493487472717e-5	2.414328126601573e-6
<6DT22>	GBR2	2842399	9.8039909008497e-5	2.4758150245782816e-6
<6DT22>	IBS2	2842399	9.651304107149324e-5	2.404436174878971e-6
<6DT22>	TSI2	2842399	9.617462807532178e-5	2.3736342538333996e-6
<6DT22>	CHB2	2842399	5.925130201078681e-5	2.2232823458262046e-6
<6DT22>	YRI2	2842399	8.477245554095074e-5	3.0447202926425424e-6
<6DT23>	CEU2	831701	9.96777229505196e-5	3.756878895372896e-6
<6DT23>	FIN2	831701	9.27982680929012e-5	3.6062532241205182e-6
<6DT23>	GBR2	831701	1.0092353171054385e-4	3.834739478830331e-6
<6DT23>	IBS2	831701	9.805492713412748e-5	3.6268558595529643e-6
<6DT23>	TSI2	831701	9.725335701858509e-5	3.674145133242483e-6
<6DT23>	CHB2	831701	6.30165060389598e-5	3.3832930108353444e-6
<6DT23>	YRI2	831701	9.026824601171641e-5	5.1196369034292016e-6
<6DT3>	CEU2	6300843	9.839053265873663e-5	1.9893898600062918e-6
<6DT3>	FIN2	6300843	9.17591175997294e-5	1.8697389088523053e-6
<6DT3>	GBR2	6300843	9.894877148300685e-5	2.00883940556013e-6
<6DT3>	IBS2	6300843	9.400707326365844e-5	1.95673650629533e-6
<6DT3>	TSI2	6300843	9.577327683809622e-5	2.1084041310740792e-6
<6DT3>	CHB2	6300843	5.919135670331012e-5	1.9755857886911e-6
<6DT3>	YRI2	6300843	8.241452014928039e-5	2.519711219322474e-6
<M1489>	CEU2	465024	1.0120306837948822e-4	4.815286085436849e-6
<M1489>	FIN2	465024	9.24572610463649e-5	4.616769972778072e-6
<M1489>	GBR2	465024	1.0067137769571677e-4	4.671753074277692e-6
<M1489>	IBS2	465024	9.904250717628101e-5	4.652627357285037e-6
<M1489>	TSI2	465024	9.865338235486873e-5	4.747070622948604e-6
