Left	Right	Norm	RAS	StdErr
<12880A>	CEU2	10355947	1.0743839652773287e-2	7.798195745710385e-5
<12880A>	FIN2	10355947	1.0684877565827233e-2	7.746675460000505e-5
<12880A>	GBR2	10355947	1.0749376906630545e-2	7.80845928869455e-5
<12880A>	IBS2	10355947	1.0646168998814105e-2	7.689537400411457e-5
<12880A>	TSI2	10355947	1.0641039211115911e-2	7.655646525899469e-5
<12880A>	CHB2	10355947	9.608680417977704e-3	7.538462819419741e-5
<12880A>	YRI2	10355947	7.336474670751304e-3	5.894183308516427e-5
<12881A>	CEU2	43213682	1.0884178364630289e-2	7.756750167968741e-5
<12881A>	FIN2	43213682	1.083157057507278e-2	7.796899603855907e-5
<12881A>	GBR2	43213682	1.0891554664915643e-2	7.801165428049779e-5
<12881A>	IBS2	43213682	1.0760433080738945e-2	7.662098454650427e-5
<12881A>	TSI2	43213682	1.0761746377322945e-2	7.656609853663886e-5
<12881A>	CHB2	43213682	9.725804360565325e-3	7.452974993530558e-5
<12881A>	YRI2	43213682	7.418932074072549e-3	5.8223673832470644e-5
<12883A>	CEU2	42558152	1.0896666269283576e-2	8.17782263821199e-5
<12883A>	FIN2	42558152	1.0846885020836883e-2	8.203464065615491e-5
<12883A>	GBR2	42558152	1.0897426982557537e-2	8.137848970085648e-5
<12883A>	IBS2	42558152	1.0771280894053145e-2	7.943794281038974e-5
<12883A>	TSI2	42558152	1.0764475751627926e-2	7.899372302442903e-5
<12883A>	CHB2	42558152	9.767260556941965e-3	7.680382920409202e-5
<12883A>	YRI2	42558152	7.423168052168111e-3	6.230269664722859e-5
<12884A>	CEU2	67723966	1.1085957598288287e-2	8.98317899321131e-5
<12884A>	FIN2	67723966	1.1038797162460055e-2	9.040099942446963e-5
<12884A>	GBR2	67723966	1.1099884857881794e-2	8.902921046862588e-5
<12884A>	IBS2	67723966	1.09935408347805e-2	8.638144789526168e-5
<12884A>	TSI2	67723966	1.0989221902275928e-2	8.548788581188659e-5
<12884A>	CHB2	67723966	9.959683728182978e-3	8.448026316922346e-5
<12884A>	YRI2	67723966	7.59071006674639e-3	6.970240166016608e-5
<12885A>	CEU2	4538830	1.0573221887806109e-2	7.943944783388195e-5
<12885A>	FIN2	4538830	1.0523438405523946e-2	7.94546321997299e-5
<12885A>	GBR2	4538830	1.0571552036117208e-2	7.944473472065638e-5
<12885A>	IBS2	4538830	1.0463434933882158e-2	7.878665154801158e-5
<12885A>	TSI2	4538830	1.0466732406285113e-2	7.936647424872041e-5
<12885A>	CHB2	4538830	9.4812304204623e-3	7.82268998894093e-5
<12885A>	YRI2	4538830	7.194190909068975e-3	5.8081177921988234e-5
<15558A>	CEU2	35422701	1.088221137026308e-2	7.997977231972575e-5
<15558A>	FIN2	35422701	1.0845940291227377e-2	8.146799262313845e-5
<15558A>	GBR2	35422701	1.088673936759215e-2	8.009862662452087e-5
<15558A>	IBS2	35422701	1.0756257151378198e-2	7.846648603379951e-5
<15558A>	TSI2	35422701	1.0755117715264549e-2	7.895188186722369e-5
<15558A>	CHB2	35422701	9.754176627530966e-3	7.663583914403329e-5
<15558A>	YRI2	35422701	7.416691158964227e-3	6.0273250761338334e-5
