Left	Right	Norm	RAS	StdErr
<12880A>	CEU2	10355947	4.832195034418687e-2	2.9241897422494704e-4
<12880A>	FIN2	10355947	4.831272510554145e-2	2.923791844063132e-4
<12880A>	GBR2	10355947	4.832234576764364e-2	2.9089202699217353e-4
<12880A>	IBS2	10355947	4.823090815078799e-2	2.9032103989084205e-4
<12880A>	TSI2	10355947	4.82118034161802e-2	2.900359132941937e-4
<12880A>	CHB2	10355947	4.779003114857294e-2	2.8820696919750307e-4
<12880A>	YRI2	10355947	4.577011597665525e-2	2.88763374660859e-4
<12881A>	CEU2	43213682	4.889599321950534e-2	2.899769721669484e-4
<12881A>	FIN2	43213682	4.8892273988880984e-2	2.915618246047132e-4
<12881A>	GBR2	43213682	4.88925763648421e-2	2.894783183696794e-4
<12881A>	IBS2	43213682	4.878147465733963e-2	2.888027103171396e-4
<12881A>	TSI2	43213682	4.877309503614199e-2	2.8894913985836224e-4
<12881A>	CHB2	43213682	4.83725038750459e-2	2.8831557165677675e-4
<12881A>	YRI2	43213682	4.631508571091641e-2	2.8793694622246434e-4
<12883A>	CEU2	42558152	4.890131757096902e-2	2.977693959244271e-4
<12883A>	FIN2	42558152	4.8898911039647525e-2	2.978839442756505e-4
<12883A>	GBR2	42558152	4.8890312707905004e-2	2.957680336717846e-4
<12883A>	IBS2	42558152	4.878571000697497e-2	2.9504751377516797e-4
<12883A>	TSI2	42558152	4.876976017818315e-2	2.946053516449841e-4
<12883A>	CHB2	42558152	4.841161282632119e-2	2.9276695823267785e-4
<12883A>	YRI2	42558152	4.6317463735379344e-2	2.938050885032556e-4
<12884A>	CEU2	67723966	4.9651468901756105e-2	3.091488360071488e-4
<12884A>	FIN2	67723966	4.96514545926093e-2	3.0928527773069485e-4
<12884A>	GBR2	67723966	4.96563866062161e-2	3.075329261077499e-4
<12884A>	IBS2	67723966	4.957064260361998e-2	3.064255305663474e-4
<12884A>	TSI2	67723966	4.9557344926567666e-2	3.064157949545113e-4
<12884A>	CHB2	67723966	4.9182395508085515e-2	3.046835139435366e-4
<12884A>	YRI2	67723966	4.708574495587269e-2	3.0668215788424817e-4
<12885A>	CEU2	4538830	4.815808838151235e-2	2.903537708200415e-4
<12885A>	FIN2	4538830	4.8164506085189095e-2	2.9048952331770525e-4
<12885A>	GBR2	4538830	4.815983117165745e-2	2.89742074610291e-4
<12885A>	IBS2	4538830	4.806519469093303e-2	2.8941597421030494e-4
<12885A>	TSI2	4538830	4.804430930018364e-2	2.8936530099462075e-4
<12885A>	CHB2	4538830	4.7673852050195795e-2	2.8821834999965824e-4
<12885A>	YRI2	4538830	4.559491364619552e-2	2.8638444858112503e-4
<15558A>	CEU2	35422701	4.874443616337629e-2	2.9357007134266035e-4
<15558A>	FIN2	35422701	4.875867276744201e-2	2.95748201891242e-4
<15558A>	GBR2	35422701	4.8736399103456826e-2	2.9246204422628594e-4
<15558A>	IBS2	35422701	4.862976321045544e-2	2.9189227801058296e-4
<15558A>	TSI2	35422701	4.861528218195179e-2	2.9226026864369304e-4
<15558A>	CHB2	35422701	4.8254990325537435e-2	2.910303062041225e-4
<15558A>	YRI2	35422701	4.615775212570469e-2	2.9195132064265293e-4
<15569A>	CEU2	25532901	4.856532414401563e-2	3.0124879514752573e-4
<15569A>	FIN2	25532901	4.856567319840383e-2	3.009777467869445e-4
<15569A>	GBR2	25532901	4.85588798951479e-2	2.996291776005964e-4
<15569A>	IBS2	25532901	4.845425534536418e-2	2.986199106115228e-4
<15569A>	TSI2	25532901	4.8439972559699514e-2	2.983965848589305e-4
<15569A>	CHB2	25532901	4.804133686257598e-2	2.9616417494273637e-4
<15569A>	YRI2	25532901	4.5984626248455236e-2	2.970316634684089e-4
<15570A>	CEU2	62645312	4.926536900911499e-2	3.032821219255825e-4
<15570A>	FIN2	62645312	4.926411962526272e-2	3.029043821972459e-4
<15570A>	GBR2	62645312	4.925773413971494e-2	3.0210368653379473e-4
<15570A>	IBS2	62645312	4.917577680756673e-2	3.0135628413913195e-4
<15570A>	TSI2	62645312	4.915655855651336e-2	3.0168852885913865e-4
<15570A>	CHB2	62645312	4.8766722473254996e-2	3.0136421714655636e-4
<15570A>	YRI2	62645312	4.6702101036326465e-2	3.024098629055354e-4
