Left	Right	Norm	RAS	StdErr
<I0156.SG>	Basque2	641450	8.136946674634727e-5	3.878862956466558e-6
<I0156.SG>	BergamoItalian2	641450	8.067659209603243e-5	3.549038649205431e-6
<I0156.SG>	French2	641450	8.936953302131382e-5	3.7462002594754565e-6
<I0156.SG>	Han2	641450	3.41803725933432e-5	2.5474311428889857e-6
<I0156.SG>	Karitiana2	641450	3.188089484761088e-5	4.024470545610726e-6
<I0156.SG>	Mbuti2	641450	1.8231264236408845e-4	1.0791845685194728e-5
<I0156.SG>	Orcadian2	641450	8.634284103923203e-5	3.870134279147243e-6
<I0156.SG>	Russian2	641450	8.297961295077201e-5	3.3755953635725186e-6
<I0156.SG>	Sardinian2	641450	7.40184997531634e-5	3.3341440135153745e-6
<I0157.SG>	Basque2	1063039	7.35313254421208e-5	2.8792911462738733e-6
<I0157.SG>	BergamoItalian2	1063039	7.957727797380905e-5	3.0390424815499813e-6
<I0157.SG>	French2	1063039	8.533778281356358e-5	3.1162990820276886e-6
<I0157.SG>	Han2	1063039	3.7522141708817855e-5	2.342853972801795e-6
<I0157.SG>	Karitiana2	1063039	2.8456152596471083e-5	3.0451480414906607e-6
<I0157.SG>	Mbuti2	1063039	1.8401122735018293e-4	9.030412951591758e-6
<I0157.SG>	Orcadian2	1063039	8.835336890093112e-5	3.898763771282564e-6
<I0157.SG>	Russian2	1063039	8.284567341196493e-5	3.260244681571841e-6
<I0157.SG>	Sardinian2	1063039	7.221826605922578e-5	2.475725433809389e-6
<I0159.SG>	Basque2	1042128	7.788550606707302e-5	3.076186623361022e-6
<I0159.SG>	BergamoItalian2	1042128	8.357298719543089e-5	2.9452706135302058e-6
<I0159.SG>	French2	1042128	9.426781588709122e-5	3.3215549747884213e-6
<I0159.SG>	Han2	1042128	3.9738400657116965e-5	2.4551190606233346e-6
<I0159.SG>	Karitiana2	1042128	4.035012973454318e-5	4.7131690703352945e-6
<I0159.SG>	Mbuti2	1042128	1.8487812117769294e-4	9.374187827401909e-6
<I0159.SG>	Orcadian2	1042128	9.20453887843689e-5	3.409037560130133e-6
<I0159.SG>	Russian2	1042128	8.671068847937718e-5	3.5353716167273108e-6
<I0159.SG>	Sardinian2	1042128	7.934485974851461e-5	3.1579986753186907e-6
<I0160.SG>	Basque2	1129809	7.604530205252983e-5	2.8257988882250023e-6
<I0160.SG>	BergamoItalian2	1129809	8.56616029789106e-5	3.928988518223807e-6
<I0160.SG>	French2	1129809	8.491239015505772e-5	3.1528833573706663e-6
<I0160.SG>	Han2	1129809	3.324677002927046e-5	2.1809357518182643e-6
<I0160.SG>	Karitiana2	1129809	3.084592174429485e-5	3.457973650584695e-6
<I0160.SG>	Mbuti2	1129809	1.6944850363596377e-4	8.688055806383973e-6
<I0160.SG>	Orcadian2	1129809	8.939564121015144e-5	4.071039471772329e-6
<I0160.SG>	Russian2	1129809	7.881460896970594e-5	3.084803019964688e-6
<I0160.SG>	Sardinian2	1129809	7.63034577820971e-5	3.032353359859854e-6
<I0161.SG>	Basque2	579520	7.218617706607775e-5	3.620181582861748e-6
<I0161.SG>	BergamoItalian2	579520	8.315071093318609e-5	4.1857973032499085e-6
<I0161.SG>	French2	579520	8.96168943413439e-5	4.1327667592237606e-6
<I0161.SG>	Han2	579520	3.3411271397018204e-5	2.4571670457607188e-6
<I0161.SG>	Karitiana2	579520	2.881695196024295e-5	3.925097615604212e-6
<I0161.SG>	Mbuti2	579520	1.8032164549972404e-4	1.0202832433780918e-5
<I0161.SG>	Orcadian2	579520	8.501730875419447e-5	4.338039585607427e-6
<I0161.SG>	Russian2	579520	7.937603533959137e-5	3.738242802994674e-6
<I0161.SG>	Sardinian2	579520	7.394769234308857e-5	3.6066072837115934e-6
<I0769.SG>	Basque2	923720	7.626168584034606e-5	3.440724923206897e-6
<I0769.SG>	BergamoItalian2	923720	8.46779868358377e-5	3.5445805285126976e-6
<I0769.SG>	French2	923720	9.331361470349563e-5	3.958167118804441e-6
<I0769.SG>	Han2	923720	3.613107868185162e-5	2.1068862519481127e-6
<I0769.SG>	Karitiana2	923720	2.7389252154332487e-5	3.0525925306025873e-6
<I0769.SG>	Mbuti2	923720	1.9582653714208745e-4	9.925460310889758e-6
<I0769.SG>	Orcadian2	923720	9.281034212831731e-5	4.477747131347653e-6
<I0769.SG>	Russian2	923720	8.66801431366451e-5	3.6610362591955444e-6
<I0769.SG>	Sardinian2	923720	7.397624099655016e-5	2.9076558237136757e-6
<I0773.SG>	Basque2	820790	8.156098934495358e-5	3.425579365876422e-6
<I0773.SG>	BergamoItalian2	820790	8.627359007785182e-5	3.871464242370104e-6
<I0773.SG>	French2	820790	9.243480697546421e-5	3.951155105543645e-6
<I0773.SG>	Han2	820790	3.470741602602368e-5	1.981208867491886e-6
<I0773.SG>	Karitiana2	820790	2.9544706928690655e-5	3.244066866747113e-6
<I0773.SG>	Mbuti2	820790	1.9594943083289684e-4	1.054477503347099e-5
<I0773.SG>	Orcadian2	820790	9.189083312793397e-5	4.311212497056968e-6
<I0773.SG>	Russian2	820790	8.334542441926796e-5	3.4449330502547355e-6
<I0773.SG>	Sardinian2	820790	7.632382623245086e-5	3.295841671619689e-6
<I0774.SG>	Basque2	1116803	8.115924553290857e-5	3.5316884404047606e-6
<I0774.SG>	BergamoItalian2	1116803	8.763855397952907e-5	3.976254432558084e-6
<I0774.SG>	French2	1116803	8.934665173325296e-5	4.073227413592454e-6
<I0774.SG>	Han2	1116803	3.4081659880928005e-5	1.924830800770163e-6
<I0774.SG>	Karitiana2	1116803	2.5295419156288093e-5	2.583210761119274e-6
<I0774.SG>	Mbuti2	1116803	1.723670154897506e-4	8.712732419046265e-6
<I0774.SG>	Orcadian2	1116803	8.730277407922436e-5	4.003086387803189e-6
<I0774.SG>	Russian2	1116803	8.199134656531354e-5	3.3974527574015446e-6
<I0774.SG>	Sardinian2	1116803	7.806882682084486e-5	3.1304964412241466e-6
<I0777.SG>	Basque2	1111096	8.132610603504202e-5	3.1880203577633514e-6
<I0777.SG>	BergamoItalian2	1111096	9.022622707668825e-5	4.021549047366823e-6
<I0777.SG>	French2	1111096	9.461867811837025e-5	3.5547845501321324e-6
<I0777.SG>	Han2	1111096	4.060180218450971e-5	2.5618656607594594e-6
<I0777.SG>	Karitiana2	1111096	3.0330412493609934e-5	3.294912510538794e-6
<I0777.SG>	Mbuti2	1111096	2.0235275199742726e-4	1.1287165470159692e-5
<I0777.SG>	Orcadian2	1111096	9.384358396504955e-5	4.1034468754018336e-6
<I0777.SG>	Russian2	1111096	8.752619035618882e-5	3.4746220277894297e-6
<I0777.SG>	Sardinian2	1111096	8.36261373154675e-5	3.5863481675412204e-6
<I0789.SG>	Basque2	583725	7.985114756282695e-5	3.7766327793296745e-6
<I0789.SG>	BergamoItalian2	583725	8.394363784316245e-5	3.6574316607717033e-6
<I0789.SG>	French2	583725	8.87478655635563e-5	3.746191643663646e-6
<I0789.SG>	Han2	583725	3.2549573857552775e-5	2.2373962759714812e-6
<I0789.SG>	Karitiana2	583725	2.963724356503492e-5	3.434988275233041e-6
<I0789.SG>	Mbuti2	583725	1.837813658448374e-4	1.0685852464502608e-5
<I0789.SG>	Orcadian2	583725	9.132329831289107e-5	4.592017441948663e-6
