Left	Right	k	Count
None	All	0	217
None	All	1	90
None	All	2	175
None	All	3	75
None	All	4	139
None	All	5	66
None	All	6	117
None	All	7	58
None	All	8	129
None	All	9	56
None	All	10	120
None	All	11	56
None	All	12	103
None	All	13	59
None	All	14	93
None	All	15	54
None	All	16	90
None	All	17	59
None	All	18	115
None	All	19	62
None	All	20	98
None	All	21	45
None	All	22	89
None	All	23	46
None	All	24	98
None	All	25	48
None	All	26	81
None	All	27	39
None	All	28	96
None	All	29	70
None	All	30	102
None	All	31	47
None	All	32	97
None	All	33	50
None	All	34	83
None	All	35	50
None	All	36	102
None	All	37	44
None	All	38	78
None	All	39	57
None	All	40	87
None	All	41	47
None	All	42	97
None	All	43	67
None	All	44	108
None	All	45	48
None	All	46	101
None	All	47	45
None	All	48	100
None	All	49	72
None	All	50	100
None	All	51	59
None	All	52	117
None	All	53	67
None	All	54	107
None	All	55	48
None	All	56	100
None	All	57	54
None	All	58	96
None	All	59	62
None	All	60	105
None	All	61	55
None	All	62	104
None	All	63	67
None	All	64	100
None	All	65	45
None	All	66	78
None	All	67	61
None	All	68	104
None	All	69	46
None	All	70	91
None	All	71	41
None	All	72	85
None	All	73	48
None	All	74	85
None	All	75	51
None	All	76	73
None	All	77	46
None	All	78	98
None	All	79	51
None	All	80	91
None	All	81	44
None	All	82	96
None	All	83	57
None	All	84	51
None	All	85	47
None	All	86	57
None	All	87	53
None	All	88	90
None	All	89	51
None	All	90	88
None	All	91	53
None	All	92	69
None	All	93	33
None	All	94	64
None	All	95	45
None	All	96	79
None	All	97	54
None	All	98	81
None	All	99	55
None	All	100	64
None	All	101	44
None	All	102	97
None	All	103	34
None	All	104	72
None	All	105	41
None	All	106	83
None	All	107	42
None	All	108	88
None	All	109	41
None	All	110	72
None	All	111	58
None	All	112	82
None	All	113	40
None	All	114	74
None	All	115	35
None	All	116	82
None	All	117	45
None	All	118	71
None	All	119	36
None	All	120	75
None	All	121	34
None	All	122	83
None	All	123	36
None	All	124	84
None	All	125	55
None	All	126	79
None	All	127	39
None	All	128	84
None	All	129	43
None	All	130	71
None	All	131	47
None	All	132	79
None	All	133	37
None	All	134	72
None	All	135	50
None	All	136	78
None	All	137	45
None	All	138	71
None	All	139	43
None	All	140	75
None	All	141	48
None	All	142	72
None	All	143	42
None	All	144	88
None	All	145	56
None	All	146	98
None	All	147	61
None	All	148	96
None	All	149	33
None	All	150	89
None	All	151	49
None	All	152	105
None	All	153	39
None	All	154	77
None	All	155	46
None	All	156	87
None	All	157	62
None	All	158	108
None	All	159	51
None	All	160	92
None	All	161	65
None	All	162	82
None	All	163	54
None	All	164	112
None	All	165	45
None	All	166	86
None	All	167	54
None	All	168	96
None	All	169	63
None	All	170	94
None	All	171	53
None	All	172	76
None	All	173	60
None	All	174	71
None	All	175	79
None	All	176	113
None	All	177	45
None	All	178	113
None	All	179	56
None	All	180	102
None	All	181	67
None	All	182	80
None	All	183	57
None	All	184	98
None	All	185	46
None	All	186	87
None	All	187	50
None	All	188	96
None	All	189	48
None	All	190	96
None	All	191	65
None	All	192	94
None	All	193	55
None	All	194	108
None	All	195	60
None	All	196	99
None	All	197	57
None	All	198	103
None	All	199	62
None	All	200	99
None	All	201	64
None	All	202	97
None	All	203	68
None	All	204	113
None	All	205	63
None	All	206	110
None	All	207	70
None	All	208	134
None	All	209	63
None	All	210	111
None	All	211	60
None	All	212	90
None	All	213	75
None	All	214	105
None	All	215	78
None	All	216	107
None	All	217	77
None	All	218	124
None	All	219	62
None	All	220	123
None	All	221	77
None	All	222	154
None	All	223	70
None	All	224	132
None	All	225	66
None	All	226	131
None	All	227	59
None	All	228	149
None	All	229	56
None	All	230	105
None	All	231	93
None	All	232	138
None	All	233	92
None	All	234	103
None	All	235	82
None	All	236	132
None	All	237	75
None	All	238	145
None	All	239	72
None	All	240	143
None	All	241	79
None	All	242	138
None	All	243	90
None	All	244	160
None	All	245	74
None	All	246	161
None	All	247	85
None	All	248	190
None	All	249	66
None	All	250	151
None	All	251	86
None	All	252	169
None	All	253	112
None	All	254	165
None	All	255	84
None	All	256	178
None	All	257	84
None	All	258	164
None	All	259	81
None	All	260	168
None	All	261	93
None	All	262	184
None	All	263	101
None	All	264	189
None	All	265	88
None	All	266	150
None	All	267	99
None	All	268	161
None	All	269	70
None	All	270	177
None	All	271	88
None	All	272	159
None	All	273	97
None	All	274	195
None	All	275	105
None	All	276	153
None	All	277	110
None	All	278	173
None	All	279	87
None	All	280	176
None	All	281	107
None	All	282	185
None	All	283	103
None	All	284	175
None	All	285	103
None	All	286	208
None	All	287	92
None	All	288	205
None	All	289	124
None	All	290	235
None	All	291	114
None	All	292	216
None	All	293	115
None	All	294	209
None	All	295	123
None	All	296	228
None	All	297	106
None	All	298	269
None	All	299	127
None	All	300	258
None	All	301	143
None	All	302	282
None	All	303	123
None	All	304	227
None	All	305	146
None	All	306	249
None	All	307	137
None	All	308	282
None	All	309	144
None	All	310	271
None	All	311	152
None	All	312	308
None	All	313	148
None	All	314	312
None	All	315	165
None	All	316	334
None	All	317	148
None	All	318	346
None	All	319	165
None	All	320	342
None	All	321	198
None	All	322	360
None	All	323	195
None	All	324	398
None	All	325	201
None	All	326	404
None	All	327	218
None	All	328	477
None	All	329	192
None	All	330	452
