Left	Right	k	Cumulative	Norm	RAS	StdErr
<12880A>	Basque2	2	False	7574391	0.13931591520502626	8.613829394969931e-4
<12880A>	Basque2	3	False	7574391	4.041440741698227e-2	1.8909675459631643e-4
<12880A>	Basque2	4	False	7574391	3.9330903680195956e-2	4.3466908508852867e-4
<12880A>	Basque2	5	False	7574391	1.5974158689394804e-2	1.1131074905847054e-4
<12880A>	Basque2	6	False	7574391	1.5925894554552626e-2	1.884423136196155e-4
<12880A>	Basque2	7	False	7574391	8.293148270144438e-3	6.502028184287807e-5
<12880A>	Basque2	8	False	7574391	8.998834424601334e-3	2.1108894054381293e-4
<12880A>	Basque2	9	False	7574391	5.245268469202906e-3	5.924519416883884e-5
<12880A>	Basque2	10	False	7574391	5.923955753387587e-3	9.257217761612803e-5
<12880A>	BergamoItalian2	2	False	7574391	0.13946223531370364	8.636842728845842e-4
<12880A>	BergamoItalian2	3	False	7574391	4.043397680420777e-2	1.892801052325442e-4
<12880A>	BergamoItalian2	4	False	7574391	3.94153470556247e-2	4.371224300612117e-4
<12880A>	BergamoItalian2	5	False	7574391	1.5994077939731392e-2	1.1181263735491767e-4
<12880A>	BergamoItalian2	6	False	7574391	1.596176511088482e-2	1.8975785313614268e-4
<12880A>	BergamoItalian2	7	False	7574391	8.304205579035988e-3	6.54008732762206e-5
<12880A>	BergamoItalian2	8	False	7574391	9.016625891111248e-3	2.1188304863739712e-4
<12880A>	BergamoItalian2	9	False	7574391	5.252019601311843e-3	5.951658839037999e-5
<12880A>	BergamoItalian2	10	False	7574391	5.9304437808927425e-3	9.296894865614411e-5
<12880A>	French2	2	False	7574391	0.13904437739868936	8.627698068770719e-4
<12880A>	French2	3	False	7574391	4.034178355826784e-2	1.8912827301512542e-4
<12880A>	French2	4	False	7574391	3.924600366195469e-2	4.347844283176296e-4
<12880A>	French2	5	False	7574391	1.594270341084442e-2	1.1126772069869978e-4
<12880A>	French2	6	False	7574391	1.588833752696826e-2	1.8833306178806596e-4
<12880A>	French2	7	False	7574391	8.278368010556378e-3	6.507151655872761e-5
<12880A>	French2	8	False	7574391	8.974549901107553e-3	2.1131937485641288e-4
<12880A>	French2	9	False	7574391	5.234002920549598e-3	5.915251304243038e-5
<12880A>	French2	10	False	7574391	5.900966925160155e-3	9.213802462310144e-5
<12880A>	Han2	2	False	7574391	0.13905435838276167	8.625823656566561e-4
<12880A>	Han2	3	False	7574391	4.029625573517311e-2	1.887404888352374e-4
<12880A>	Han2	4	False	7574391	3.923824456007254e-2	4.346820244326323e-4
<12880A>	Han2	5	False	7574391	1.5929220601536162e-2	1.1100668368199294e-4
<12880A>	Han2	6	False	7574391	1.5884617846056912e-2	1.8808045995901318e-4
<12880A>	Han2	7	False	7574391	8.269577861643559e-3	6.476172476123411e-5
<12880A>	Han2	8	False	7574391	8.970899016725375e-3	2.110387131261423e-4
<12880A>	Han2	9	False	7574391	5.227005985929978e-3	5.888105040457725e-5
<12880A>	Han2	10	False	7574391	5.899479937322426e-3	9.208903723497283e-5
<12880A>	Karitiana2	2	False	7574391	0.13924689126822212	8.582699555235808e-4
<12880A>	Karitiana2	3	False	7574391	4.041137432699211e-2	1.8851653798813867e-4
<12880A>	Karitiana2	4	False	7574391	3.925648939960979e-2	4.3227885101603295e-4
<12880A>	Karitiana2	5	False	7574391	1.594553938395841e-2	1.1084801186054971e-4
<12880A>	Karitiana2	6	False	7574391	1.5847742742617844e-2	1.833633647047856e-4
<12880A>	Karitiana2	7	False	7574391	8.257389934055427e-3	6.386081953294277e-5
<12880A>	Karitiana2	8	False	7574391	8.870739574970447e-3	1.543524413077419e-4
<12880A>	Karitiana2	9	False	7574391	5.2054614027715225e-3	5.16151545827612e-5
<12880A>	Karitiana2	10	False	7574391	5.84705093782457e-3	8.381008909056222e-5
<12880A>	Mbuti2	2	False	7574391	0.13702870033319678	8.201013829253207e-4
<12880A>	Mbuti2	3	False	7574391	3.892294923296631e-2	1.7843011800261285e-4
<12880A>	Mbuti2	4	False	7574391	3.7679518933061325e-2	4.2060506144366537e-4
<12880A>	Mbuti2	5	False	7574391	1.4855559764714846e-2	1.0525104394394358e-4
<12880A>	Mbuti2	6	False	7574391	1.4756637920401163e-2	1.8338867255840045e-4
<12880A>	Mbuti2	7	False	7574391	7.4644224922445455e-3	6.038850220615804e-5
<12880A>	Mbuti2	8	False	7574391	8.138566099661591e-3	2.094496324374534e-4
<12880A>	Mbuti2	9	False	7574391	4.650238847285187e-3	5.5889144056751906e-5
<12880A>	Mbuti2	10	False	7574391	5.2831670199323935e-3	8.848797454708117e-5
<12880A>	Orcadian2	2	False	7574391	0.13939952400133548	8.620594267956934e-4
<12880A>	Orcadian2	3	False	7574391	4.042971903615746e-2	1.8906660590817075e-4
<12880A>	Orcadian2	4	False	7574391	3.9376758017702226e-2	4.357288972360188e-4
<12880A>	Orcadian2	5	False	7574391	1.598764736434815e-2	1.1149052996151646e-4
<12880A>	Orcadian2	6	False	7574391	1.5948299189486502e-2	1.89186586610328e-4
<12880A>	Orcadian2	7	False	7574391	8.299504515635957e-3	6.533504371718928e-5
<12880A>	Orcadian2	8	False	7574391	9.010061768560765e-3	2.1171465500878823e-4
<12880A>	Orcadian2	9	False	7574391	5.2487641986916625e-3	5.931855849733022e-5
<12880A>	Orcadian2	10	False	7574391	5.932896377157833e-3	9.308119677891967e-5
<12880A>	Russian2	2	False	7574391	0.13946556173983815	8.635641760725892e-4
<12880A>	Russian2	3	False	7574391	4.04385474112991e-2	1.894259069488052e-4
<12880A>	Russian2	4	False	7574391	3.940509655438333e-2	4.3701811428722764e-4
<12880A>	Russian2	5	False	7574391	1.5991720453599624e-2	1.1176699765081824e-4
<12880A>	Russian2	6	False	7574391	1.595128959514053e-2	1.89561218460813e-4
<12880A>	Russian2	7	False	7574391	8.301571416908229e-3	6.535918943004607e-5
<12880A>	Russian2	8	False	7574391	9.00620261087656e-3	2.1160065067552116e-4
<12880A>	Russian2	9	False	7574391	5.248991376795613e-3	5.937021018569953e-5
<12880A>	Russian2	10	False	7574391	5.925828687515722e-3	9.265511360678046e-5
<12880A>	Sardinian2	2	False	7574391	0.13945334147859378	8.630576799871949e-4
<12880A>	Sardinian2	3	False	7574391	4.0436155197163676e-2	1.8923890065531532e-4
<12880A>	Sardinian2	4	False	7574391	3.939655905110953e-2	4.3642305588107317e-4
<12880A>	Sardinian2	5	False	7574391	1.5989084392801604e-2	1.1172067587470964e-4
<12880A>	Sardinian2	6	False	7574391	1.5949652433595488e-2	1.8930335770001887e-4
<12880A>	Sardinian2	7	False	7574391	8.302376033623339e-3	6.530149449691972e-5
<12880A>	Sardinian2	8	False	7574391	9.00942957759804e-3	2.116410063096677e-4
<12880A>	Sardinian2	9	False	7574391	5.247027577733765e-3	5.9302472434879794e-5
<12880A>	Sardinian2	10	False	7574391	5.926561772932792e-3	9.244537775029971e-5
<12880A>	Tuscan2	2	False	7574391	0.13950085227974088	8.636569149147431e-4
<12880A>	Tuscan2	3	False	7574391	4.043625421502535e-2	1.8928715315119112e-4
<12880A>	Tuscan2	4	False	7574391	3.943068382219332e-2	4.368166136413642e-4
<12880A>	Tuscan2	5	False	7574391	1.599674262040781e-2	1.1171295393389725e-4
<12880A>	Tuscan2	6	False	7574391	1.5967037261917606e-2	1.8951809990540368e-4
<12880A>	Tuscan2	7	False	7574391	8.305255168369306e-3	6.5312007553718e-5
<12880A>	Tuscan2	8	False	7574391	9.020285151197863e-3	2.1177527298981197e-4
<12880A>	Tuscan2	9	False	7574391	5.251841369160897e-3	5.937352748740225e-5
<12880A>	Tuscan2	10	False	7574391	5.940686628579549e-3	9.319228662703649e-5
<12881A>	Basque2	2	False	31745538	0.14270007991434178	8.596581482735975e-4
<12881A>	Basque2	3	False	31745538	4.1138701580225506e-2	1.7677129020331558e-4
