Left	Right	Norm	RAS	StdErr
<12880A>	Basque2	7574391	0.8833734996931535	7.116485229447109e-4
<12880A>	BergamoItalian2	7574391	0.8836436619128838	7.103275490125611e-4
<12880A>	French2	7574391	0.8826490574520275	7.160596112778641e-4
<12880A>	Han2	7574391	0.8823697402675337	7.17380577964911e-4
<12880A>	Karitiana2	7574391	0.8826791619286605	7.366661400703229e-4
<12880A>	Mbuti2	7574391	0.8693136997596628	7.223116921100009e-4
<12880A>	Orcadian2	7574391	0.8835845680530617	7.104584071830208e-4
<12880A>	Russian2	7574391	0.8836192013439641	7.122153042112584e-4
<12880A>	Sardinian2	7574391	0.8836075427358858	7.133695450330084e-4
<12880A>	Tuscan2	7574391	0.8837237871665196	7.129315378639879e-4
<12881A>	Basque2	31745538	0.8807526798464599	6.890033109012712e-4
<12881A>	BergamoItalian2	31745538	0.8810726707482524	6.873448575032649e-4
<12881A>	French2	31745538	0.8798979451488983	6.925699600360458e-4
<12881A>	Han2	31745538	0.8796093983553351	6.94700902560827e-4
<12881A>	Karitiana2	31745538	0.8799501413395646	7.131227268382998e-4
<12881A>	Mbuti2	31745538	0.8662704546497844	6.978320763816284e-4
<12881A>	Orcadian2	31745538	0.8809896031082434	6.873490472721312e-4
<12881A>	Russian2	31745538	0.8810075710824998	6.888032123255215e-4
<12881A>	Sardinian2	31745538	0.8810203905966678	6.891940956834122e-4
<12881A>	Tuscan2	31745538	0.881104143937749	6.900853882634783e-4
<12883A>	Basque2	31279125	0.8811630402370058	6.94994760689322e-4
<12883A>	BergamoItalian2	31279125	0.8814734955021954	6.934911005512754e-4
<12883A>	French2	31279125	0.8803367999486051	6.985089454041921e-4
<12883A>	Han2	31279125	0.8800587844387487	7.007928917999783e-4
<12883A>	Karitiana2	31279125	0.8803987547605778	7.193715593932201e-4
<12883A>	Mbuti2	31279125	0.8667932657671651	7.027948559782183e-4
<12883A>	Orcadian2	31279125	0.8813931028589257	6.934458937938892e-4
<12883A>	Russian2	31279125	0.8814139698322991	6.95022697031796e-4
<12883A>	Sardinian2	31279125	0.8814299011782522	6.954336501441452e-4
<12883A>	Tuscan2	31279125	0.8815121213695489	6.962458282142153e-4
<12884A>	Basque2	50146916	0.8786590566160222	7.238291518577162e-4
<12884A>	BergamoItalian2	50146916	0.8789647692392313	7.21637096367874e-4
<12884A>	French2	50146916	0.8777372095101874	7.270380165146879e-4
<12884A>	Han2	50146916	0.8775034714192774	7.29987372377476e-4
<12884A>	Karitiana2	50146916	0.877921623335726	7.435655833180123e-4
<12884A>	Mbuti2	50146916	0.8638992892584714	7.304919632150297e-4
<12884A>	Orcadian2	50146916	0.8788852807250341	7.221619269955103e-4
<12884A>	Russian2	50146916	0.8788867265103042	7.232775997507286e-4
<12884A>	Sardinian2	50146916	0.8789304238492517	7.237166592892168e-4
<12884A>	Tuscan2	50146916	0.87900273368755	7.247349151340746e-4
<12885A>	Basque2	3305708	0.8829639376438987	6.960482738770927e-4
<12885A>	BergamoItalian2	3305708	0.8833036825999148	6.948680143848371e-4
<12885A>	French2	3305708	0.8821745366127091	7.010614638401989e-4
<12885A>	Han2	3305708	0.8818753608860405	7.032046109569951e-4
<12885A>	Karitiana2	3305708	0.8820744905478638	7.241681904850274e-4
<12885A>	Mbuti2	3305708	0.8686181323610308	7.129020583581566e-4
<12885A>	Orcadian2	3305708	0.8832073073418666	6.954663536228289e-4
<12885A>	Russian2	3305708	0.8832263966500923	6.966254668585756e-4
<12885A>	Sardinian2	3305708	0.8832089827655674	6.983012826744452e-4
<12885A>	Tuscan2	3305708	0.8833269353090674	6.982101683017802e-4
<15558A>	Basque2	25977407	0.8798575926271234	6.952684341230257e-4
<15558A>	BergamoItalian2	25977407	0.8802070141180867	6.936950249896574e-4
<15558A>	French2	25977407	0.8789475600855975	6.994271809260509e-4
<15558A>	Han2	25977407	0.8786740755397925	7.009804911700286e-4
<15558A>	Karitiana2	25977407	0.8789806773247385	7.208137045446879e-4
<15558A>	Mbuti2	25977407	0.8653291772836226	7.049744074484708e-4
<15558A>	Orcadian2	25977407	0.8801145371615428	6.935317030487522e-4
<15558A>	Russian2	25977407	0.8801323078132164	6.948716169045677e-4
<15558A>	Sardinian2	25977407	0.8801392583474361	6.956359894243107e-4
<15558A>	Tuscan2	25977407	0.8802387718425217	6.962868383979003e-4
<15569A>	Basque2	18716980	0.879721904159471	6.953315017311688e-4
<15569A>	BergamoItalian2	18716980	0.8800854197632438	6.943026223569651e-4
<15569A>	French2	18716980	0.8787507632929573	6.992567332587432e-4
<15569A>	Han2	18716980	0.8784804484415321	7.010447762503769e-4
<15569A>	Karitiana2	18716980	0.8787372775950072	7.211382857433667e-4
<15569A>	Mbuti2	18716980	0.8650234318104161	7.059315456113326e-4
<15569A>	Orcadian2	18716980	0.8799867656164582	6.937285351193916e-4
<15569A>	Russian2	18716980	0.8799988961429945	6.956401536012804e-4
<15569A>	Sardinian2	18716980	0.8800060375042615	6.957757672272176e-4
<15569A>	Tuscan2	18716980	0.8800926440412223	6.968992253195223e-4
<15570A>	Basque2	46296646	0.879972754294975	7.113378179993504e-4
<15570A>	BergamoItalian2	46296646	0.8802702111509223	7.094605497111403e-4
<15570A>	French2	46296646	0.8790852930336059	7.144471257875217e-4
<15570A>	Han2	46296646	0.8788584445258797	7.175606405033074e-4
<15570A>	Karitiana2	46296646	0.8792534301513034	7.3243115918076e-4
<15570A>	Mbuti2	46296646	0.865481427590315	7.177807208595558e-4
<15570A>	Orcadian2	46296646	0.8801934269709548	7.098309220281537e-4
<15570A>	Russian2	46296646	0.8802014855883332	7.110885469261446e-4
<15570A>	Sardinian2	46296646	0.880235927142173	7.114500903103607e-4
<15570A>	Tuscan2	46296646	0.880313367264945	7.125557675172083e-4
<15577A>	Basque2	44081970	0.8798798525090011	7.049802727860386e-4
<15577A>	BergamoItalian2	44081970	0.8801750942618863	7.030697661739137e-4
<15577A>	French2	44081970	0.8790078870724547	7.079263945979408e-4
<15577A>	Han2	44081970	0.8787740060385282	7.109524309622276e-4
<15577A>	Karitiana2	44081970	0.8791758728115074	7.262802684266879e-4
<15577A>	Mbuti2	44081970	0.8654751457134856	7.126020688478882e-4
<15577A>	Orcadian2	44081970	0.880102484251349	7.032421686050117e-4
<15577A>	Russian2	44081970	0.8801085134570201	7.045184164134426e-4
<15577A>	Sardinian2	44081970	0.8801431859608246	7.050281060162239e-4
<15577A>	Tuscan2	44081970	0.8802211595806593	7.061658255441811e-4
<15579A>	Basque2	6623553	0.8835226853825051	7.386101693516501e-4
<15579A>	BergamoItalian2	6623553	0.8838566702795304	7.384189686847061e-4
<15579A>	French2	6623553	0.8826901048889791	7.462883112839662e-4
<15579A>	Han2	6623553	0.8824677509721378	7.454188901364465e-4
<15579A>	Karitiana2	6623553	0.8824910135089095	7.74687575814215e-4
<15579A>	Mbuti2	6623553	0.8689397861348243	7.531024440193003e-4
<15579A>	Orcadian2	6623553	0.8837679019797295	7.366360251368362e-4
<15579A>	Russian2	6623553	0.8838037169581819	7.396854432985628e-4
<15579A>	Sardinian2	6623553	0.8837661134904047	7.423991970216465e-4
<15579A>	Tuscan2	6623553	0.8839048946489397	7.400855316380959e-4
<3DT16>	Basque2	2143168	0.8828998651040094	8.244537327109654e-4
<3DT16>	BergamoItalian2	2143168	0.8832115354465909	8.233878459466975e-4
<3DT16>	French2	2143168	0.881898764603834	8.315770729799525e-4
<3DT16>	Han2	2143168	0.8816793643802099	8.317265062214774e-4
<3DT16>	Karitiana2	2143168	0.882076440111088	8.490134852224423e-4
<3DT16>	Mbuti2	2143168	0.8681391074080359	8.347868832126933e-4
<3DT16>	Orcadian2	2143168	0.883132927875573	8.238467738247634e-4
<3DT16>	Russian2	2143168	0.8831536447141706	8.256116446867773e-4
<3DT16>	Sardinian2	2143168	0.8831736835017507	8.275215790427344e-4
<3DT16>	Tuscan2	2143168	0.8832259455783832	8.285909612132824e-4
<3DT26>	Basque2	6877701	0.8835201375188224	7.259631479415962e-4
<3DT26>	BergamoItalian2	6877701	0.8837958061858158	7.234066134208775e-4
<3DT26>	French2	6877701	0.8827193071548887	7.301565430164701e-4
<3DT26>	Han2	6877701	0.8825460857885689	7.321444962081784e-4
<3DT26>	Karitiana2	6877701	0.88299511711835	7.478305608420405e-4
<3DT26>	Mbuti2	6877701	0.8693179992452756	7.300928852624835e-4
<3DT26>	Orcadian2	6877701	0.883718578903933	7.24144759767784e-4
<3DT26>	Russian2	6877701	0.8837421836162932	7.256073624498099e-4
<3DT26>	Sardinian2	6877701	0.8838070728084226	7.278549509807344e-4
<3DT26>	Tuscan2	6877701	0.8838764217868744	7.273200731535621e-4
<6DT18>	Basque2	6049966	0.8813773695666398	7.768114867185982e-4
<6DT18>	BergamoItalian2	6049966	0.8816942938191702	7.751517262978208e-4
<6DT18>	French2	6049966	0.8804475512754928	7.816027801169544e-4
<6DT18>	Han2	6049966	0.8802065621845642	7.842637876124605e-4
<6DT18>	Karitiana2	6049966	0.8806507259710191	7.971206332230969e-4
<6DT18>	Mbuti2	6049966	0.8667891386797533	7.836726134021326e-4
<6DT18>	Orcadian2	6049966	0.8816034732197744	7.756755736225789e-4
